ID	Time	DS test
Ind. 1	10	1
Ind. 2	10	0
Ind. 3	10	0
Ind. 4	10	0
Ind. 5	10	0
Ind. 6	10	0
Ind. 7	10	0
Ind. 8	10	0
Ind. 9	10	0
Ind. 10	10	0
Ind. 11	10	0
Ind. 12	10	0
Ind. 13	10	0
Ind. 14	10	0
Ind. 15	10	0
Ind. 16	10	0
Ind. 17	10	0
Ind. 18	10	0
Ind. 19	10	0
Ind. 20	10	0
Ind. 21	10	0
Ind. 22	10	0
Ind. 23	10	0
Ind. 24	10	0
Ind. 25	10	0
Ind. 26	10	0
Ind. 27	10	0
Ind. 28	10	0
Ind. 29	10	0
Ind. 30	10	1
Ind. 31	10	0
Ind. 32	10	0
Ind. 33	10	0
Ind. 34	10	0
Ind. 35	10	1
Ind. 36	10	0
Ind. 37	10	0
Ind. 38	10	0
Ind. 39	10	0
Ind. 40	10	1
Ind. 41	10	0
Ind. 42	10	0
Ind. 43	10	0
Ind. 44	10	0
Ind. 45	10	0
Ind. 46	10	0
Ind. 47	10	0
Ind. 48	10	0
Ind. 49	10	0
Ind. 50	10	1
Ind. 51	10	0
Ind. 52	10	0
Ind. 53	10	0
Ind. 54	10	0
Ind. 55	10	0
Ind. 56	10	0
Ind. 57	10	0
Ind. 58	10	0
Ind. 59	10	1
Ind. 60	10	0
Ind. 61	10	1
Ind. 62	10	1
Ind. 63	10	0
Ind. 64	10	0
Ind. 65	10	0
Ind. 66	10	1
Ind. 67	10	0
Ind. 68	10	0
Ind. 69	10	0
Ind. 70	10	0
Ind. 71	10	0
Ind. 72	10	0
Ind. 73	10	0
Ind. 74	10	0
Ind. 75	10	0
Ind. 76	10	0
Ind. 77	10	0
Ind. 78	10	0
Ind. 79	10	0
Ind. 80	10	0
Ind. 81	10	1
Ind. 82	10	0
Ind. 83	10	0
Ind. 84	10	0
Ind. 85	10	0
Ind. 86	10	0
Ind. 87	10	0
Ind. 88	10	0
Ind. 89	10	0
Ind. 90	10	0
Ind. 91	10	0
Ind. 92	10	0
Ind. 93	10	0
Ind. 94	10	0
Ind. 95	10	0
Ind. 96	10	0
Ind. 97	10	1
Ind. 98	10	0
Ind. 99	10	0
Ind. 100	10	0
Ind. 101	10	1
Ind. 102	10	0
Ind. 103	10	0
Ind. 104	10	0
Ind. 105	10	0
Ind. 106	10	0
Ind. 107	10	0
Ind. 108	10	0
Ind. 109	10	0
Ind. 110	10	0
Ind. 111	10	0
Ind. 112	10	0
Ind. 113	10	0
Ind. 114	10	0
Ind. 115	10	0
Ind. 116	10	0
Ind. 117	10	0
Ind. 118	10	0
Ind. 119	10	0
Ind. 120	10	0
Ind. 1	20	1
Ind. 2	20	0
Ind. 3	20	0
Ind. 4	20	0
Ind. 5	20	0
Ind. 6	20	0
Ind. 7	20	0
Ind. 8	20	0
Ind. 9	20	0
Ind. 10	20	0
Ind. 11	20	0
Ind. 12	20	0
