ID	Time	Group	DS
Ind. 1	0	G1	I
Ind. 2	0	G1	S
Ind. 3	0	G1	S
Ind. 4	0	G1	S
Ind. 5	0	G1	S
Ind. 6	0	G1	S
Ind. 7	0	G1	S
Ind. 8	0	G1	S
Ind. 9	0	G1	S
Ind. 10	0	G1	S
Ind. 11	0	G1	S
Ind. 12	0	G1	S
Ind. 13	0	G1	S
Ind. 14	0	G1	S
Ind. 15	0	G1	S
Ind. 16	0	G1	S
Ind. 17	0	G1	S
Ind. 18	0	G1	S
Ind. 19	0	G1	S
Ind. 20	0	G1	S
Ind. 21	0	G2	I
Ind. 22	0	G2	S
Ind. 23	0	G2	S
Ind. 24	0	G2	S
Ind. 25	0	G2	S
Ind. 26	0	G2	S
Ind. 27	0	G2	S
Ind. 28	0	G2	S
Ind. 29	0	G2	S
Ind. 30	0	G2	S
Ind. 31	0	G2	S
Ind. 32	0	G2	S
Ind. 33	0	G2	S
Ind. 34	0	G2	S
Ind. 35	0	G2	S
Ind. 36	0	G2	S
Ind. 37	0	G2	S
Ind. 38	0	G2	S
Ind. 39	0	G2	S
Ind. 40	0	G2	S
Ind. 41	0	G3	I
Ind. 42	0	G3	S
Ind. 43	0	G3	S
Ind. 44	0	G3	S
Ind. 45	0	G3	S
Ind. 46	0	G3	S
Ind. 47	0	G3	S
Ind. 48	0	G3	S
Ind. 49	0	G3	S
Ind. 50	0	G3	S
Ind. 51	0	G3	S
Ind. 52	0	G3	S
Ind. 53	0	G3	S
Ind. 54	0	G3	S
Ind. 55	0	G3	S
Ind. 56	0	G3	S
Ind. 57	0	G3	S
Ind. 58	0	G3	S
Ind. 59	0	G3	S
Ind. 60	0	G3	S
Ind. 61	0	G4	I
Ind. 62	0	G4	S
Ind. 63	0	G4	S
Ind. 64	0	G4	S
Ind. 65	0	G4	S
Ind. 66	0	G4	S
Ind. 67	0	G4	S
Ind. 68	0	G4	S
Ind. 69	0	G4	S
Ind. 70	0	G4	S
Ind. 71	0	G4	S
Ind. 72	0	G4	S
Ind. 73	0	G4	S
Ind. 74	0	G4	S
Ind. 75	0	G4	S
Ind. 76	0	G4	S
Ind. 77	0	G4	S
Ind. 78	0	G4	S
Ind. 79	0	G4	S
Ind. 80	0	G4	S
Ind. 81	0	G5	I
Ind. 82	0	G5	S
Ind. 83	0	G5	S
Ind. 84	0	G5	S
Ind. 85	0	G5	S
Ind. 86	0	G5	S
Ind. 87	0	G5	S
Ind. 88	0	G5	S
Ind. 89	0	G5	S
Ind. 90	0	G5	S
Ind. 91	0	G5	S
Ind. 92	0	G5	S
Ind. 93	0	G5	S
Ind. 94	0	G5	S
Ind. 95	0	G5	S
Ind. 96	0	G5	S
Ind. 97	0	G5	S
Ind. 98	0	G5	S
Ind. 99	0	G5	S
Ind. 100	0	G5	S
Ind. 101	0	G6	I
Ind. 102	0	G6	S
Ind. 103	0	G6	S
Ind. 104	0	G6	S
Ind. 105	0	G6	S
Ind. 106	0	G6	S
Ind. 107	0	G6	S
Ind. 108	0	G6	S
Ind. 109	0	G6	S
Ind. 110	0	G6	S
Ind. 111	0	G6	S
Ind. 112	0	G6	S
Ind. 113	0	G6	S
Ind. 114	0	G6	S
Ind. 115	0	G6	S
Ind. 116	0	G6	S
Ind. 117	0	G6	S
Ind. 118	0	G6	S
Ind. 119	0	G6	S
Ind. 120	0	G6	S
