ID	Time
Ind. 1	14.6508
Ind. 2	17.8815
Ind. 3	20.5371
Ind. 4	32.094
Ind. 5	9.28955
Ind. 6	13.4939
Ind. 7	11.4971
Ind. 8	6.67674
Ind. 9	22.7363
Ind. 10	15.446
Ind. 11	8.75224
Ind. 12	13.3505
Ind. 13	18.8924
Ind. 14	26.2731
Ind. 15	9.62572
Ind. 16	12.7107
Ind. 17	12.5692
Ind. 18	14.0244
Ind. 19	29.7245
Ind. 20	13.2878
Ind. 21	25.1264
Ind. 22	14.7769
Ind. 23	16.0743
Ind. 24	11.0304
Ind. 25	16.6986
Ind. 26	15.1972
Ind. 27	16.9711
Ind. 28	17.1284
Ind. 29	23.7015
Ind. 30	26.9882
Ind. 31	23.4014
Ind. 32	18.9451
Ind. 33	23.029
Ind. 34	35.5453
Ind. 35	18.2244
Ind. 36	27.3513
Ind. 37	24.4077
Ind. 38	14.3029
Ind. 39	16.5675
Ind. 40	13.7427
Ind. 41	21.2412
Ind. 42	18.3946
Ind. 43	59.2688
Ind. 44	21.7015
Ind. 45	35.4095
Ind. 46	20.3843
Ind. 47	21.0064
Ind. 48	18.1091
Ind. 49	19.9912
Ind. 50	15.5536
Ind. 51	18.0204
Ind. 52	26.8427
Ind. 53	23.2558
Ind. 54	18.2358
Ind. 55	23.8499
Ind. 56	19.033
Ind. 57	17.5424
Ind. 58	25.2044
Ind. 59	21.2724
Ind. 60	23.6155
Ind. 61	15.8611
Ind. 62	19.141
Ind. 63	17.6501
Ind. 64	29.2183
Ind. 65	16.8411
Ind. 66	17.3571
Ind. 67	26.1127
Ind. 68	40.9374
Ind. 69	20.3077
Ind. 70	30.1654
Ind. 71	34.9662
Ind. 72	22.167
Ind. 73	29.6537
Ind. 74	16.7562
Ind. 75	19.8536
Ind. 76	18.8801
Ind. 77	17.8188
Ind. 78	20.464
Ind. 79	24.2578
Ind. 80	18.575
Ind. 81	18.1061
Ind. 82	49.4317
Ind. 83	23.5966
Ind. 84	21.3422
Ind. 85	25.6594
Ind. 86	27.0044
Ind. 87	19.7301
Ind. 88	21.409
Ind. 89	19.8923
Ind. 90	26.1826
Ind. 91	32.3645
Ind. 92	20.0207
Ind. 93	21.1692
Ind. 94	18.4939
Ind. 95	26.5601
Ind. 96	19.222
Ind. 97	18.2274
Ind. 98	19.6528
Ind. 99	24.5773
Ind. 100	27.4468
Ind. 101	44.7064
Ind. 102	19.1873
Ind. 103	21.8627
Ind. 104	21.7761
Ind. 105	28.1872
Ind. 106	33.2036
Ind. 107	26.2984
Ind. 108	36.904
Ind. 109	56.6109
Ind. 110	21.8303
Ind. 111	27.3199
Ind. 112	45.7253
Ind. 113	20.6657
Ind. 114	36.7312
Ind. 115	23.0815
Ind. 116	36.5915
Ind. 117	35.5184
Ind. 118	31.7026
Ind. 119	27.1554
Ind. 120	30.979
Ind. 121	33.6598
Ind. 122	27.6928
Ind. 123	36.8617
Ind. 124	43.028
Ind. 125	21.8824
Ind. 126	31.8718
Ind. 127	23.2986
Ind. 128	28.0043
Ind. 129	86.8144
Ind. 130	23.188
Ind. 131	35.2902
Ind. 132	28.2167
Ind. 133	46.3478
Ind. 134	41.6723
Ind. 135	32.4237
Ind. 136	37.7338
Ind. 137	36.2991
Ind. 138	27.2616
Ind. 139	35.0892
Ind. 140	35.5484
Ind. 141	24.7713
Ind. 142	38.6638
Ind. 143	29.1797
Ind. 144	37.7965
Ind. 145	45.4158
Ind. 146	36.3499
Ind. 147	38.4562
Ind. 148	64.9361
Ind. 149	26.9476
Ind. 150	27.7735
Ind. 151	27.1179
Ind. 152	24.838
Ind. 153	27.4981
Ind. 154	32.7225
Ind. 155	37.6194
Ind. 156	36.0784
Ind. 157	32.7779
Ind. 158	28.6047
Ind. 159	32.5559
Ind. 160	46.0221
Ind. 161	34.219
Ind. 162	35.6493
Ind. 163	54.0055
Ind. 164	26.5907
Ind. 165	33.0889
Ind. 166	30.0068
Ind. 167	33.0065
Ind. 168	32.0619
Ind. 169	37.6589
Ind. 170	56.0262
Ind. 171	30.6971
Ind. 172	30.983
Ind. 173	31.3362
Ind. 174	50.7301
Ind. 175	30.4477
Ind. 176	43.3972
Ind. 177	29.1937
Ind. 178	40.3094
Ind. 179	33.5388
Ind. 180	28.153
Ind. 181	35.918
Ind. 182	29.2218
Ind. 183	55.5926
Ind. 184	33.0861
Ind. 185	36.449
Ind. 186	36.1759
Ind. 187	56.2032
Ind. 188	29.5418
Ind. 189	55.5204
Ind. 190	29.5632
Ind. 191	35.0863
Ind. 192	40.1259
Ind. 193	34.0674
Ind. 194	75.88
Ind. 195	32.0392
Ind. 196	43.2616
Ind. 197	32.0907
Ind. 198	51.363
Ind. 199	38.0289
Ind. 200	35.2022
Ind. 201	39.8895
Ind. 202	76.4049
Ind. 203	39.6585
Ind. 204	31.7308
Ind. 205	42.2819
Ind. 206	36.8493
Ind. 207	37.2678
Ind. 208	46.4478
Ind. 209	33.7632
Ind. 210	37.2937
Ind. 211	42.5578
Ind. 212	38.1511
Ind. 213	34.0588
Ind. 214	42.3861
Ind. 215	33.162
Ind. 216	38.335
Ind. 217	52.1938
Ind. 218	54.5785
Ind. 219	44.4179
Ind. 220	46.1825
Ind. 221	34.2213
Ind. 222	39.5918
Ind. 223	37.4654
Ind. 224	36.3935
Ind. 225	35.5374
Ind. 226	40.3955
Ind. 227	36.6461
Ind. 228	56.5283
Ind. 229	39.5998
Ind. 230	51.9731
Ind. 231	35.8152
Ind. 232	39.547
Ind. 233	35.2052
Ind. 234	35.4709
Ind. 235	67.6897
Ind. 236	44.4725
Ind. 237	43.1456
Ind. 238	41.1616
Ind. 239	40.9517
Ind. 240	61.9515
Ind. 241	44.3412
Ind. 242	37.128
Ind. 243	39.6772
Ind. 244	43.7698
Ind. 245	47.7504
Ind. 246	53.0954
Ind. 247	46.105
Ind. 248	38.3053
Ind. 249	51.0024
Ind. 250	48.5193
Ind. 251	37.5797
Ind. 252	39.4488
Ind. 253	38.975
Ind. 254	41.5631
Ind. 255	40.8238
Ind. 256	70.0593
Ind. 257	54.9945
Ind. 258	44.5497
Ind. 259	43.7626
Ind. 260	38.0227
Ind. 261	49.8589
Ind. 262	40.761
Ind. 263	54.3105
Ind. 264	48.2041
Ind. 265	51.3173
Ind. 266	50.2847
Ind. 267	40.5052
Ind. 268	64.6394
Ind. 269	52.6179
Ind. 270	39.8028
Ind. 271	54.9011
Ind. 272	41.5746
Ind. 273	49.5042
Ind. 274	41.7315
Ind. 275	42.9398
Ind. 276	42.6608
Ind. 277	63.2256
Ind. 278	60.2127
Ind. 279	44.3245
Ind. 280	59.4832
Ind. 281	57.6081
Ind. 282	41.8592
Ind. 283	54.4368
Ind. 284	59.5561
Ind. 285	41.9771
Ind. 286	41.5467
Ind. 287	41.5321
Ind. 288	45.4886
Ind. 289	43.3325
Ind. 290	48.1233
Ind. 291	44.7061
Ind. 292	46.6277
Ind. 293	46.4932
Ind. 294	46.326
Ind. 295	51.9682
Ind. 296	56.074
Ind. 297	55.6903
Ind. 298	47.1953
Ind. 299	46.282
Ind. 300	44.3907
Ind. 301	57.5291
Ind. 302	47.0744
Ind. 303	48.3663
Ind. 304	49.043
Ind. 305	51.1241
Ind. 306	83.237
Ind. 307	59.4374
Ind. 308	48.6385
Ind. 309	46.4871
Ind. 310	66.2868
Ind. 311	45.3752
Ind. 312	45.7063
Ind. 313	58.2434
Ind. 314	48.9747
Ind. 315	58.3453
Ind. 316	48.918
Ind. 317	47.342
Ind. 318	56.9569
Ind. 319	53.6189
Ind. 320	50.714
Ind. 321	47.9744
Ind. 322	49.6114
Ind. 323	50.2789
Ind. 324	57.7608
Ind. 325	60.3396
Ind. 326	68.6831
Ind. 327	58.1805
Ind. 328	54.8785
Ind. 329	50.4738
Ind. 330	62.5472
Ind. 331	57.214
Ind. 332	53.8985
Ind. 333	79.9165
Ind. 334	77.0038
Ind. 335	70.0738
Ind. 336	48.4968
Ind. 337	64.5857
Ind. 338	48.9546
Ind. 339	71.7966
Ind. 340	52.8536
Ind. 341	61.0816
Ind. 342	53.4706
Ind. 343	62.309
Ind. 344	55.1869
Ind. 345	55.0107
Ind. 346	54.8447
Ind. 347	50.7275
Ind. 348	53.4686
Ind. 349	90.9336
Ind. 350	67.0449
