ID	Time	Pop	Capture name
Ind. 1	0	P	Cap:t=0
Ind. 6	10	P	Cap:t=10
Ind. 11	10	P	Cap:t=10
Ind. 12	10	P	Cap:t=10
Ind. 14	10	P	Cap:t=10
Ind. 17	10	P	Cap:t=10
Ind. 43	20	P	Cap:t=20
Ind. 44	20	P	Cap:t=20
Ind. 50	20	P	Cap:t=20
Ind. 52	20	P	Cap:t=20
Ind. 57	20	P	Cap:t=20
Ind. 59	20	P	Cap:t=20
Ind. 60	20	P	Cap:t=20
Ind. 64	20	P	Cap:t=20
Ind. 66	20	P	Cap:t=20
Ind. 67	20	P	Cap:t=20
Ind. 73	20	P	Cap:t=20
Ind. 76	20	P	Cap:t=20
Ind. 77	20	P	Cap:t=20
Ind. 78	20	P	Cap:t=20
Ind. 82	20	P	Cap:t=20
Ind. 84	20	P	Cap:t=20
Ind. 85	20	P	Cap:t=20
Ind. 86	20	P	Cap:t=20
Ind. 88	20	P	Cap:t=20
Ind. 39	30	P	Cap:t=30
Ind. 57	30	P	Cap:t=30
Ind. 96	30	P	Cap:t=30
Ind. 98	30	P	Cap:t=30
Ind. 106	30	P	Cap:t=30
Ind. 109	30	P	Cap:t=30
Ind. 115	30	P	Cap:t=30
Ind. 117	30	P	Cap:t=30
Ind. 120	30	P	Cap:t=30
Ind. 124	30	P	Cap:t=30
Ind. 125	30	P	Cap:t=30
Ind. 126	30	P	Cap:t=30
Ind. 128	30	P	Cap:t=30
Ind. 134	30	P	Cap:t=30
Ind. 140	30	P	Cap:t=30
Ind. 142	30	P	Cap:t=30
Ind. 143	30	P	Cap:t=30
Ind. 148	30	P	Cap:t=30
Ind. 151	30	P	Cap:t=30
Ind. 159	30	P	Cap:t=30
Ind. 161	30	P	Cap:t=30
Ind. 163	30	P	Cap:t=30
Ind. 164	30	P	Cap:t=30
Ind. 169	30	P	Cap:t=30
Ind. 174	30	P	Cap:t=30
Ind. 175	30	P	Cap:t=30
Ind. 39	40	P	Cap:t=40
Ind. 57	40	P	Cap:t=40
Ind. 87	40	P	Cap:t=40
Ind. 114	40	P	Cap:t=40
Ind. 127	40	P	Cap:t=40
Ind. 128	40	P	Cap:t=40
Ind. 153	40	P	Cap:t=40
Ind. 156	40	P	Cap:t=40
Ind. 160	40	P	Cap:t=40
Ind. 178	40	P	Cap:t=40
Ind. 179	40	P	Cap:t=40
Ind. 194	40	P	Cap:t=40
Ind. 196	40	P	Cap:t=40
Ind. 198	40	P	Cap:t=40
Ind. 208	40	P	Cap:t=40
Ind. 210	40	P	Cap:t=40
Ind. 224	40	P	Cap:t=40
Ind. 227	40	P	Cap:t=40
Ind. 229	40	P	Cap:t=40
Ind. 231	40	P	Cap:t=40
Ind. 239	40	P	Cap:t=40
Ind. 240	40	P	Cap:t=40
Ind. 242	40	P	Cap:t=40
Ind. 243	40	P	Cap:t=40
Ind. 247	40	P	Cap:t=40
Ind. 249	40	P	Cap:t=40
Ind. 251	40	P	Cap:t=40
Ind. 254	40	P	Cap:t=40
Ind. 255	40	P	Cap:t=40
Ind. 257	40	P	Cap:t=40
Ind. 258	40	P	Cap:t=40
Ind. 260	40	P	Cap:t=40
Ind. 262	40	P	Cap:t=40
Ind. 108	50	P	Cap:t=50
Ind. 129	50	P	Cap:t=50
Ind. 156	50	P	Cap:t=50
Ind. 174	50	P	Cap:t=50
Ind. 184	50	P	Cap:t=50
Ind. 198	50	P	Cap:t=50
Ind. 240	50	P	Cap:t=50
Ind. 242	50	P	Cap:t=50
Ind. 244	50	P	Cap:t=50
Ind. 245	50	P	Cap:t=50
Ind. 256	50	P	Cap:t=50
Ind. 261	50	P	Cap:t=50
Ind. 263	50	P	Cap:t=50
Ind. 266	50	P	Cap:t=50
Ind. 267	50	P	Cap:t=50
Ind. 273	50	P	Cap:t=50
Ind. 278	50	P	Cap:t=50
Ind. 283	50	P	Cap:t=50
Ind. 284	50	P	Cap:t=50
Ind. 291	50	P	Cap:t=50
Ind. 292	50	P	Cap:t=50
Ind. 297	50	P	Cap:t=50
Ind. 299	50	P	Cap:t=50
Ind. 304	50	P	Cap:t=50
Ind. 305	50	P	Cap:t=50
Ind. 309	50	P	Cap:t=50
Ind. 313	50	P	Cap:t=50
Ind. 317	50	P	Cap:t=50
Ind. 318	50	P	Cap:t=50
Ind. 319	50	P	Cap:t=50
Ind. 322	50	P	Cap:t=50
Ind. 323	50	P	Cap:t=50
Ind. 328	50	P	Cap:t=50
Ind. 198	60	P	Cap:t=60
Ind. 225	60	P	Cap:t=60
Ind. 241	60	P	Cap:t=60
Ind. 244	60	P	Cap:t=60
Ind. 256	60	P	Cap:t=60
Ind. 259	60	P	Cap:t=60
Ind. 321	60	P	Cap:t=60
Ind. 328	60	P	Cap:t=60
Ind. 329	60	P	Cap:t=60
Ind. 339	60	P	Cap:t=60
Ind. 341	60	P	Cap:t=60
Ind. 344	60	P	Cap:t=60
Ind. 346	60	P	Cap:t=60
Ind. 353	60	P	Cap:t=60
Ind. 354	60	P	Cap:t=60
Ind. 355	60	P	Cap:t=60
Ind. 358	60	P	Cap:t=60
Ind. 363	60	P	Cap:t=60
Ind. 364	60	P	Cap:t=60
Ind. 365	60	P	Cap:t=60
Ind. 367	60	P	Cap:t=60
Ind. 376	60	P	Cap:t=60
Ind. 380	60	P	Cap:t=60
Ind. 387	60	P	Cap:t=60
Ind. 391	60	P	Cap:t=60
Ind. 392	60	P	Cap:t=60
Ind. 394	60	P	Cap:t=60
Ind. 397	60	P	Cap:t=60
Ind. 399	60	P	Cap:t=60
Ind. 400	60	P	Cap:t=60
Ind. 402	60	P	Cap:t=60
Ind. 403	60	P	Cap:t=60
Ind. 404	60	P	Cap:t=60
Ind. 405	60	P	Cap:t=60
Ind. 406	60	P	Cap:t=60
Ind. 408	60	P	Cap:t=60
Ind. 240	70	P	Cap:t=70
Ind. 241	70	P	Cap:t=70
Ind. 244	70	P	Cap:t=70
Ind. 334	70	P	Cap:t=70
Ind. 336	70	P	Cap:t=70
Ind. 364	70	P	Cap:t=70
Ind. 376	70	P	Cap:t=70
Ind. 377	70	P	Cap:t=70
Ind. 380	70	P	Cap:t=70
Ind. 420	70	P	Cap:t=70
Ind. 427	70	P	Cap:t=70
Ind. 439	70	P	Cap:t=70
Ind. 444	70	P	Cap:t=70
Ind. 445	70	P	Cap:t=70
Ind. 446	70	P	Cap:t=70
Ind. 448	70	P	Cap:t=70
Ind. 450	70	P	Cap:t=70
Ind. 451	70	P	Cap:t=70
Ind. 455	70	P	Cap:t=70
Ind. 461	70	P	Cap:t=70
Ind. 463	70	P	Cap:t=70
Ind. 467	70	P	Cap:t=70
Ind. 468	70	P	Cap:t=70
Ind. 470	70	P	Cap:t=70
Ind. 473	70	P	Cap:t=70
Ind. 476	70	P	Cap:t=70
Ind. 477	70	P	Cap:t=70
Ind. 261	80	P	Cap:t=80
Ind. 329	80	P	Cap:t=80
Ind. 347	80	P	Cap:t=80
Ind. 364	80	P	Cap:t=80
Ind. 411	80	P	Cap:t=80
Ind. 436	80	P	Cap:t=80
Ind. 441	80	P	Cap:t=80
Ind. 450	80	P	Cap:t=80
Ind. 454	80	P	Cap:t=80
Ind. 457	80	P	Cap:t=80
Ind. 461	80	P	Cap:t=80
Ind. 464	80	P	Cap:t=80
Ind. 468	80	P	Cap:t=80
