ID	Time	DS	Capture name
Ind. 7	0	I	Cap:t=0
Ind. 9	0	I	Cap:t=0
Ind. 14	0	I	Cap:t=0
Ind. 15	0	I	Cap:t=0
Ind. 21	0	I	Cap:t=0
Ind. 23	0	I	Cap:t=0
Ind. 24	0	I	Cap:t=0
Ind. 26	0	I	Cap:t=0
Ind. 30	0	I	Cap:t=0
Ind. 32	0	I	Cap:t=0
Ind. 33	0	I	Cap:t=0
Ind. 34	0	I	Cap:t=0
Ind. 36	0	I	Cap:t=0
Ind. 37	0	I	Cap:t=0
Ind. 38	0	I	Cap:t=0
Ind. 42	0	I	Cap:t=0
Ind. 43	0	I	Cap:t=0
Ind. 46	0	I	Cap:t=0
Ind. 51	0	I	Cap:t=0
Ind. 52	0	I	Cap:t=0
Ind. 54	0	I	Cap:t=0
Ind. 55	0	I	Cap:t=0
Ind. 57	0	I	Cap:t=0
Ind. 58	0	I	Cap:t=0
Ind. 62	0	I	Cap:t=0
Ind. 63	0	I	Cap:t=0
Ind. 64	0	I	Cap:t=0
Ind. 69	0	I	Cap:t=0
Ind. 72	0	I	Cap:t=0
Ind. 75	0	I	Cap:t=0
Ind. 77	0	I	Cap:t=0
Ind. 78	0	I	Cap:t=0
Ind. 79	0	I	Cap:t=0
Ind. 80	0	I	Cap:t=0
Ind. 83	0	I	Cap:t=0
Ind. 85	0	I	Cap:t=0
Ind. 86	0	I	Cap:t=0
Ind. 88	0	I	Cap:t=0
Ind. 89	0	I	Cap:t=0
Ind. 90	0	I	Cap:t=0
Ind. 91	0	I	Cap:t=0
Ind. 92	0	I	Cap:t=0
Ind. 93	0	I	Cap:t=0
Ind. 94	0	I	Cap:t=0
Ind. 95	0	I	Cap:t=0
Ind. 97	0	I	Cap:t=0
Ind. 99	0	I	Cap:t=0
Ind. 100	0	I	Cap:t=0
Ind. 104	0	S	Cap:t=0
Ind. 105	0	S	Cap:t=0
Ind. 109	0	S	Cap:t=0
Ind. 110	0	S	Cap:t=0
Ind. 112	0	S	Cap:t=0
Ind. 113	0	S	Cap:t=0
Ind. 114	0	S	Cap:t=0
Ind. 115	0	S	Cap:t=0
Ind. 117	0	S	Cap:t=0
Ind. 119	0	S	Cap:t=0
Ind. 120	0	S	Cap:t=0
Ind. 122	0	S	Cap:t=0
Ind. 125	0	S	Cap:t=0
Ind. 128	0	S	Cap:t=0
Ind. 129	0	S	Cap:t=0
Ind. 131	0	S	Cap:t=0
Ind. 135	0	S	Cap:t=0
Ind. 136	0	S	Cap:t=0
Ind. 137	0	S	Cap:t=0
Ind. 139	0	S	Cap:t=0
Ind. 140	0	S	Cap:t=0
Ind. 143	0	S	Cap:t=0
Ind. 146	0	S	Cap:t=0
Ind. 148	0	S	Cap:t=0
Ind. 149	0	S	Cap:t=0
Ind. 150	0	S	Cap:t=0
Ind. 154	0	S	Cap:t=0
Ind. 155	0	S	Cap:t=0
Ind. 157	0	S	Cap:t=0
Ind. 159	0	S	Cap:t=0
Ind. 160	0	S	Cap:t=0
Ind. 161	0	S	Cap:t=0
Ind. 162	0	S	Cap:t=0
Ind. 165	0	S	Cap:t=0
Ind. 167	0	S	Cap:t=0
Ind. 168	0	S	Cap:t=0
Ind. 172	0	S	Cap:t=0
Ind. 176	0	S	Cap:t=0
Ind. 177	0	S	Cap:t=0
Ind. 180	0	S	Cap:t=0
Ind. 181	0	S	Cap:t=0
Ind. 182	0	S	Cap:t=0
Ind. 183	0	S	Cap:t=0
Ind. 185	0	S	Cap:t=0
Ind. 186	0	S	Cap:t=0
Ind. 187	0	S	Cap:t=0
Ind. 189	0	S	Cap:t=0
Ind. 190	0	S	Cap:t=0
Ind. 191	0	S	Cap:t=0
Ind. 192	0	S	Cap:t=0
Ind. 193	0	S	Cap:t=0
Ind. 194	0	S	Cap:t=0
Ind. 196	0	S	Cap:t=0
Ind. 197	0	S	Cap:t=0
Ind. 200	0	S	Cap:t=0
Ind. 1	5	I	Cap:t=5
Ind. 2	5	I	Cap:t=5
Ind. 13	5	I	Cap:t=5
Ind. 17	5	I	Cap:t=5
Ind. 19	5	I	Cap:t=5
Ind. 20	5	S	Cap:t=5
Ind. 22	5	I	Cap:t=5
Ind. 23	5	I	Cap:t=5
Ind. 24	5	I	Cap:t=5
Ind. 25	5	I	Cap:t=5
Ind. 26	5	S	Cap:t=5
Ind. 27	5	S	Cap:t=5
Ind. 29	5	I	Cap:t=5
Ind. 33	5	I	Cap:t=5
Ind. 34	5	S	Cap:t=5
Ind. 35	5	I	Cap:t=5
Ind. 36	5	I	Cap:t=5
Ind. 37	5	I	Cap:t=5
Ind. 48	5	I	Cap:t=5
Ind. 49	5	S	Cap:t=5
Ind. 53	5	I	Cap:t=5
Ind. 58	5	I	Cap:t=5
Ind. 61	5	I	Cap:t=5
Ind. 63	5	I	Cap:t=5
Ind. 66	5	I	Cap:t=5
Ind. 67	5	I	Cap:t=5
Ind. 73	5	S	Cap:t=5
Ind. 74	5	I	Cap:t=5
Ind. 75	5	I	Cap:t=5
Ind. 76	5	I	Cap:t=5
Ind. 77	5	I	Cap:t=5
Ind. 80	5	S	Cap:t=5
Ind. 81	5	I	Cap:t=5
Ind. 86	5	I	Cap:t=5
Ind. 88	5	S	Cap:t=5
Ind. 93	5	S	Cap:t=5
Ind. 95	5	I	Cap:t=5
Ind. 104	5	S	Cap:t=5
Ind. 106	5	S	Cap:t=5
Ind. 107	5	S	Cap:t=5
Ind. 109	5	I	Cap:t=5
Ind. 113	5	S	Cap:t=5
Ind. 115	5	S	Cap:t=5
Ind. 119	5	I	Cap:t=5
Ind. 121	5	S	Cap:t=5
Ind. 127	5	S	Cap:t=5
Ind. 128	5	S	Cap:t=5
Ind. 130	5	S	Cap:t=5
Ind. 131	5	S	Cap:t=5
Ind. 135	5	S	Cap:t=5
Ind. 137	5	S	Cap:t=5
Ind. 138	5	S	Cap:t=5
Ind. 140	5	I	Cap:t=5
Ind. 141	5	I	Cap:t=5
Ind. 142	5	I	Cap:t=5
Ind. 145	5	S	Cap:t=5
Ind. 150	5	S	Cap:t=5
Ind. 156	5	I	Cap:t=5
Ind. 157	5	S	Cap:t=5
Ind. 158	5	S	Cap:t=5
Ind. 160	5	S	Cap:t=5
Ind. 161	5	S	Cap:t=5
Ind. 167	5	I	Cap:t=5
Ind. 168	5	S	Cap:t=5
Ind. 169	5	S	Cap:t=5
Ind. 170	5	I	Cap:t=5
Ind. 174	5	S	Cap:t=5
Ind. 175	5	S	Cap:t=5
Ind. 176	5	S	Cap:t=5
Ind. 178	5	S	Cap:t=5
Ind. 181	5	I	Cap:t=5
Ind. 183	5	S	Cap:t=5
Ind. 185	5	S	Cap:t=5
Ind. 186	5	S	Cap:t=5
Ind. 187	5	I	Cap:t=5
Ind. 188	5	I	Cap:t=5
Ind. 189	5	S	Cap:t=5
Ind. 190	5	S	Cap:t=5
Ind. 191	5	I	Cap:t=5
Ind. 192	5	S	Cap:t=5
Ind. 197	5	S	Cap:t=5
Ind. 199	5	S	Cap:t=5
Ind. 201	5	S	Cap:t=5
Ind. 202	5	I	Cap:t=5
Ind. 204	5	S	Cap:t=5
Ind. 207	5	S	Cap:t=5
Ind. 210	5	S	Cap:t=5
Ind. 211	5	S	Cap:t=5
Ind. 214	5	S	Cap:t=5
Ind. 216	5	S	Cap:t=5
Ind. 217	5	I	Cap:t=5
Ind. 218	5	S	Cap:t=5
Ind. 220	5	I	Cap:t=5
Ind. 224	5	S	Cap:t=5
Ind. 226	5	S	Cap:t=5
Ind. 228	5	S	Cap:t=5
Ind. 230	5	I	Cap:t=5
Ind. 231	5	S	Cap:t=5
Ind. 232	5	I	Cap:t=5
Ind. 235	5	S	Cap:t=5
Ind. 236	5	S	Cap:t=5
Ind. 5	10	I	Cap:t=10
Ind. 6	10	S	Cap:t=10
Ind. 8	10	I	Cap:t=10
Ind. 15	10	S	Cap:t=10
Ind. 16	10	I	Cap:t=10
Ind. 19	10	I	Cap:t=10
Ind. 21	10	I	Cap:t=10
Ind. 22	10	I	Cap:t=10
Ind. 23	10	I	Cap:t=10
Ind. 24	10	I	Cap:t=10
Ind. 26	10	S	Cap:t=10
Ind. 27	10	S	Cap:t=10
Ind. 29	10	I	Cap:t=10
Ind. 34	10	S	Cap:t=10
Ind. 35	10	S	Cap:t=10
Ind. 36	10	I	Cap:t=10
Ind. 37	10	I	Cap:t=10
Ind. 44	10	S	Cap:t=10
Ind. 47	10	S	Cap:t=10
Ind. 53	10	I	Cap:t=10
Ind. 56	10	I	Cap:t=10
Ind. 60	10	I	Cap:t=10
Ind. 61	10	I	Cap:t=10
Ind. 62	10	S	Cap:t=10
Ind. 66	10	I	Cap:t=10
Ind. 67	10	I	Cap:t=10
Ind. 70	10	I	Cap:t=10
Ind. 71	10	I	Cap:t=10
Ind. 73	10	S	Cap:t=10
Ind. 76	10	I	Cap:t=10
Ind. 77	10	I	Cap:t=10
Ind. 86	10	I	Cap:t=10
Ind. 88	10	S	Cap:t=10
Ind. 90	10	I	Cap:t=10
Ind. 93	10	I	Cap:t=10
Ind. 98	10	S	Cap:t=10
Ind. 102	10	I	Cap:t=10
Ind. 103	10	I	Cap:t=10
Ind. 108	10	S	Cap:t=10
Ind. 109	10	I	Cap:t=10
Ind. 114	10	S	Cap:t=10
Ind. 115	10	S	Cap:t=10
Ind. 119	10	I	Cap:t=10
Ind. 125	10	S	Cap:t=10
Ind. 127	10	I	Cap:t=10
Ind. 129	10	S	Cap:t=10
Ind. 130	10	I	Cap:t=10
Ind. 132	10	S	Cap:t=10
Ind. 134	10	S	Cap:t=10
Ind. 135	10	I	Cap:t=10
Ind. 138	10	S	Cap:t=10
Ind. 146	10	I	Cap:t=10
Ind. 151	10	S	Cap:t=10
Ind. 153	10	S	Cap:t=10
Ind. 157	10	S	Cap:t=10
Ind. 158	10	S	Cap:t=10
Ind. 165	10	I	Cap:t=10
Ind. 167	10	I	Cap:t=10
Ind. 168	10	I	Cap:t=10
Ind. 169	10	I	Cap:t=10
Ind. 174	10	I	Cap:t=10
Ind. 180	10	I	Cap:t=10
Ind. 181	10	I	Cap:t=10
Ind. 186	10	S	Cap:t=10
Ind. 187	10	S	Cap:t=10
Ind. 200	10	I	Cap:t=10
Ind. 204	10	S	Cap:t=10
Ind. 207	10	S	Cap:t=10
Ind. 208	10	I	Cap:t=10
Ind. 210	10	S	Cap:t=10
Ind. 212	10	S	Cap:t=10
Ind. 215	10	S	Cap:t=10
Ind. 216	10	S	Cap:t=10
Ind. 219	10	I	Cap:t=10
Ind. 222	10	S	Cap:t=10
Ind. 228	10	S	Cap:t=10
Ind. 232	10	S	Cap:t=10
Ind. 238	10	I	Cap:t=10
Ind. 240	10	I	Cap:t=10
Ind. 245	10	I	Cap:t=10
Ind. 246	10	S	Cap:t=10
Ind. 249	10	I	Cap:t=10
Ind. 252	10	S	Cap:t=10
Ind. 256	10	I	Cap:t=10
Ind. 258	10	S	Cap:t=10
Ind. 259	10	S	Cap:t=10
Ind. 264	10	S	Cap:t=10
Ind. 268	10	S	Cap:t=10
Ind. 272	10	S	Cap:t=10
Ind. 273	10	S	Cap:t=10
Ind. 274	10	S	Cap:t=10
Ind. 276	10	S	Cap:t=10
Ind. 277	10	S	Cap:t=10
Ind. 1	15	S	Cap:t=15
Ind. 2	15	I	Cap:t=15
Ind. 10	15	I	Cap:t=15
Ind. 11	15	I	Cap:t=15
Ind. 15	15	I	Cap:t=15
Ind. 23	15	I	Cap:t=15
Ind. 24	15	I	Cap:t=15
Ind. 26	15	S	Cap:t=15
Ind. 27	15	S	Cap:t=15
Ind. 49	15	S	Cap:t=15
Ind. 53	15	I	Cap:t=15
Ind. 73	15	S	Cap:t=15
Ind. 74	15	I	Cap:t=15
Ind. 75	15	S	Cap:t=15
Ind. 76	15	I	Cap:t=15
Ind. 77	15	I	Cap:t=15
Ind. 78	15	S	Cap:t=15
Ind. 80	15	S	Cap:t=15
Ind. 81	15	I	Cap:t=15
Ind. 88	15	S	Cap:t=15
Ind. 90	15	I	Cap:t=15
Ind. 97	15	I	Cap:t=15
Ind. 101	15	S	Cap:t=15
Ind. 103	15	I	Cap:t=15
Ind. 105	15	I	Cap:t=15
Ind. 108	15	S	Cap:t=15
Ind. 112	15	I	Cap:t=15
Ind. 120	15	S	Cap:t=15
Ind. 121	15	I	Cap:t=15
Ind. 125	15	I	Cap:t=15
Ind. 127	15	I	Cap:t=15
Ind. 135	15	S	Cap:t=15
Ind. 139	15	I	Cap:t=15
Ind. 144	15	S	Cap:t=15
Ind. 149	15	I	Cap:t=15
Ind. 153	15	I	Cap:t=15
Ind. 156	15	I	Cap:t=15
Ind. 157	15	I	Cap:t=15
Ind. 169	15	I	Cap:t=15
Ind. 171	15	S	Cap:t=15
Ind. 174	15	I	Cap:t=15
Ind. 175	15	I	Cap:t=15
Ind. 176	15	S	Cap:t=15
Ind. 177	15	I	Cap:t=15
Ind. 180	15	I	Cap:t=15
Ind. 181	15	S	Cap:t=15
Ind. 186	15	I	Cap:t=15
Ind. 189	15	S	Cap:t=15
Ind. 190	15	I	Cap:t=15
Ind. 197	15	I	Cap:t=15
Ind. 199	15	I	Cap:t=15
Ind. 202	15	I	Cap:t=15
Ind. 204	15	S	Cap:t=15
Ind. 211	15	I	Cap:t=15
Ind. 212	15	S	Cap:t=15
Ind. 216	15	S	Cap:t=15
Ind. 219	15	I	Cap:t=15
Ind. 222	15	S	Cap:t=15
Ind. 231	15	S	Cap:t=15
Ind. 236	15	S	Cap:t=15
Ind. 249	15	I	Cap:t=15
Ind. 252	15	S	Cap:t=15
Ind. 253	15	I	Cap:t=15
Ind. 255	15	I	Cap:t=15
Ind. 256	15	I	Cap:t=15
Ind. 258	15	I	Cap:t=15
Ind. 260	15	I	Cap:t=15
Ind. 261	15	I	Cap:t=15
Ind. 266	15	S	Cap:t=15
Ind. 268	15	S	Cap:t=15
Ind. 271	15	I	Cap:t=15
Ind. 274	15	I	Cap:t=15
Ind. 276	15	I	Cap:t=15
Ind. 279	15	I	Cap:t=15
Ind. 281	15	S	Cap:t=15
Ind. 282	15	S	Cap:t=15
Ind. 283	15	S	Cap:t=15
Ind. 292	15	S	Cap:t=15
Ind. 293	15	S	Cap:t=15
Ind. 294	15	S	Cap:t=15
Ind. 295	15	S	Cap:t=15
Ind. 296	15	S	Cap:t=15
Ind. 299	15	S	Cap:t=15
Ind. 302	15	S	Cap:t=15
Ind. 304	15	S	Cap:t=15
Ind. 306	15	S	Cap:t=15
Ind. 307	15	S	Cap:t=15
Ind. 308	15	S	Cap:t=15
Ind. 309	15	S	Cap:t=15
Ind. 1	20	I	Cap:t=20
Ind. 2	20	I	Cap:t=20
Ind. 5	20	I	Cap:t=20
Ind. 10	20	I	Cap:t=20
Ind. 16	20	S	Cap:t=20
Ind. 21	20	S	Cap:t=20
Ind. 22	20	I	Cap:t=20
Ind. 24	20	I	Cap:t=20
Ind. 25	20	I	Cap:t=20
Ind. 47	20	I	Cap:t=20
Ind. 53	20	I	Cap:t=20
Ind. 56	20	I	Cap:t=20
Ind. 69	20	S	Cap:t=20
Ind. 73	20	S	Cap:t=20
Ind. 77	20	I	Cap:t=20
Ind. 80	20	S	Cap:t=20
Ind. 81	20	I	Cap:t=20
Ind. 109	20	I	Cap:t=20
Ind. 112	20	I	Cap:t=20
Ind. 113	20	S	Cap:t=20
