ID	Time	DS test	Capture name
Ind. 1	0	0	Cap:t=0
Ind. 2	0	0	Cap:t=0
Ind. 3	0	1	Cap:t=0
Ind. 13	0	1	Cap:t=0
Ind. 14	0	1	Cap:t=0
Ind. 15	0	1	Cap:t=0
Ind. 17	0	1	Cap:t=0
Ind. 23	0	1	Cap:t=0
Ind. 25	0	1	Cap:t=0
Ind. 29	0	0	Cap:t=0
Ind. 30	0	1	Cap:t=0
Ind. 31	0	1	Cap:t=0
Ind. 32	0	1	Cap:t=0
Ind. 34	0	0	Cap:t=0
Ind. 38	0	1	Cap:t=0
Ind. 39	0	1	Cap:t=0
Ind. 40	0	1	Cap:t=0
Ind. 42	0	0	Cap:t=0
Ind. 43	0	0	Cap:t=0
Ind. 45	0	0	Cap:t=0
Ind. 46	0	1	Cap:t=0
Ind. 49	0	0	Cap:t=0
Ind. 51	0	0	Cap:t=0
Ind. 53	0	1	Cap:t=0
Ind. 55	0	0	Cap:t=0
Ind. 58	0	1	Cap:t=0
Ind. 61	0	0	Cap:t=0
Ind. 62	0	1	Cap:t=0
Ind. 64	0	1	Cap:t=0
Ind. 65	0	0	Cap:t=0
Ind. 70	0	0	Cap:t=0
Ind. 74	0	1	Cap:t=0
Ind. 76	0	1	Cap:t=0
Ind. 77	0	1	Cap:t=0
Ind. 78	0	1	Cap:t=0
Ind. 80	0	0	Cap:t=0
Ind. 81	0	1	Cap:t=0
Ind. 82	0	1	Cap:t=0
Ind. 83	0	1	Cap:t=0
Ind. 84	0	0	Cap:t=0
Ind. 85	0	1	Cap:t=0
Ind. 90	0	0	Cap:t=0
Ind. 91	0	0	Cap:t=0
Ind. 92	0	0	Cap:t=0
Ind. 93	0	1	Cap:t=0
Ind. 94	0	0	Cap:t=0
Ind. 95	0	1	Cap:t=0
Ind. 97	0	1	Cap:t=0
Ind. 98	0	0	Cap:t=0
Ind. 101	0	0	Cap:t=0
Ind. 107	0	0	Cap:t=0
Ind. 109	0	0	Cap:t=0
Ind. 115	0	0	Cap:t=0
Ind. 116	0	0	Cap:t=0
Ind. 127	0	0	Cap:t=0
Ind. 130	0	0	Cap:t=0
Ind. 133	0	0	Cap:t=0
Ind. 134	0	0	Cap:t=0
Ind. 139	0	0	Cap:t=0
Ind. 141	0	1	Cap:t=0
Ind. 142	0	0	Cap:t=0
Ind. 146	0	0	Cap:t=0
Ind. 147	0	0	Cap:t=0
Ind. 150	0	0	Cap:t=0
Ind. 152	0	0	Cap:t=0
Ind. 156	0	0	Cap:t=0
Ind. 160	0	0	Cap:t=0
Ind. 162	0	0	Cap:t=0
Ind. 165	0	0	Cap:t=0
Ind. 167	0	0	Cap:t=0
Ind. 169	0	0	Cap:t=0
Ind. 173	0	0	Cap:t=0
Ind. 174	0	0	Cap:t=0
Ind. 176	0	0	Cap:t=0
Ind. 177	0	0	Cap:t=0
Ind. 181	0	0	Cap:t=0
Ind. 183	0	0	Cap:t=0
Ind. 186	0	0	Cap:t=0
Ind. 188	0	0	Cap:t=0
Ind. 190	0	0	Cap:t=0
Ind. 192	0	0	Cap:t=0
Ind. 194	0	0	Cap:t=0
Ind. 197	0	0	Cap:t=0
Ind. 199	0	0	Cap:t=0
Ind. 200	0	0	Cap:t=0
Ind. 4	5	0	Cap:t=5
Ind. 9	5	0	Cap:t=5
Ind. 14	5	1	Cap:t=5
Ind. 15	5	1	Cap:t=5
Ind. 18	5	0	Cap:t=5
Ind. 26	5	1	Cap:t=5
Ind. 27	5	0	Cap:t=5
Ind. 29	5	0	Cap:t=5
Ind. 33	5	0	Cap:t=5
Ind. 37	5	0	Cap:t=5
Ind. 39	5	1	Cap:t=5
Ind. 40	5	1	Cap:t=5
Ind. 41	5	1	Cap:t=5
Ind. 62	5	0	Cap:t=5
