Capture name	Compartments	Time	Detection probability
Cap:t=0	All	0	0.4
Cap:t=5	All	5	0.4
Cap:t=10	All	10	0.4
Cap:t=15	All	15	0.4
Cap:t=20	All	20	0.4
Cap:t=25	All	25	0.4
Cap:t=30	All	30	0.4
Cap:t=35	All	35	0.4
Cap:t=40	All	40	0.4
Cap:t=45	All	45	0.4
Cap:t=50	All	50	0.4
Cap:t=55	All	55	0.4
Cap:t=60	All	60	0.4
Cap:t=65	All	65	0.4
Cap:t=70	All	70	0.4
Cap:t=75	All	75	0.4
Cap:t=80	All	80	0.4
Cap:t=85	All	85	0.4
Cap:t=90	All	90	0.4
Cap:t=95	All	95	0.4
Cap:t=100	All	100	0.4
Cap:t=105	All	105	0.4
Cap:t=110	All	110	0.4
Cap:t=115	All	115	0.4
Cap:t=120	All	120	0.4
Cap:t=125	All	125	0.4
Cap:t=130	All	130	0.4
Cap:t=135	All	135	0.4
Cap:t=140	All	140	0.4
Cap:t=145	All	145	0.4
Cap:t=150	All	150	0.4
Cap:t=155	All	155	0.4
Cap:t=160	All	160	0.4
Cap:t=165	All	165	0.4
Cap:t=170	All	170	0.4
Cap:t=175	All	175	0.4
Cap:t=180	All	180	0.4
Cap:t=185	All	185	0.4
Cap:t=190	All	190	0.4
Cap:t=195	All	195	0.4
Cap:t=200	All	200	0.4
