ID	Time	LV	Capture name
Ind. 21	0	Prey	Cap:t=0,Prey
Ind. 29	0	Prey	Cap:t=0,Prey
Ind. 31	0	Prey	Cap:t=0,Prey
Ind. 32	0	Prey	Cap:t=0,Prey
Ind. 34	0	Prey	Cap:t=0,Prey
Ind. 38	0	Prey	Cap:t=0,Prey
Ind. 40	0	Prey	Cap:t=0,Prey
Ind. 43	0	Prey	Cap:t=0,Prey
Ind. 48	0	Prey	Cap:t=0,Prey
Ind. 51	0	Prey	Cap:t=0,Prey
Ind. 52	0	Prey	Cap:t=0,Prey
Ind. 54	0	Prey	Cap:t=0,Prey
Ind. 56	0	Prey	Cap:t=0,Prey
Ind. 57	0	Prey	Cap:t=0,Prey
Ind. 58	0	Prey	Cap:t=0,Prey
Ind. 59	0	Prey	Cap:t=0,Prey
Ind. 63	0	Prey	Cap:t=0,Prey
Ind. 64	0	Prey	Cap:t=0,Prey
Ind. 65	0	Prey	Cap:t=0,Prey
Ind. 66	0	Prey	Cap:t=0,Prey
Ind. 77	0	Prey	Cap:t=0,Prey
Ind. 85	0	Prey	Cap:t=0,Prey
Ind. 86	0	Prey	Cap:t=0,Prey
Ind. 88	0	Prey	Cap:t=0,Prey
Ind. 90	0	Prey	Cap:t=0,Prey
Ind. 93	0	Prey	Cap:t=0,Prey
Ind. 94	0	Prey	Cap:t=0,Prey
Ind. 96	0	Prey	Cap:t=0,Prey
Ind. 97	0	Prey	Cap:t=0,Prey
Ind. 98	0	Prey	Cap:t=0,Prey
Ind. 99	0	Prey	Cap:t=0,Prey
Ind. 100	0	Prey	Cap:t=0,Prey
Ind. 102	0	Prey	Cap:t=0,Prey
Ind. 108	0	Prey	Cap:t=0,Prey
Ind. 109	0	Prey	Cap:t=0,Prey
Ind. 110	0	Prey	Cap:t=0,Prey
Ind. 113	0	Prey	Cap:t=0,Prey
Ind. 114	0	Prey	Cap:t=0,Prey
Ind. 117	0	Prey	Cap:t=0,Prey
Ind. 118	0	Prey	Cap:t=0,Prey
Ind. 23	1	Prey	Cap:t=1,Prey
Ind. 25	1	Prey	Cap:t=1,Prey
Ind. 26	1	Prey	Cap:t=1,Prey
Ind. 31	1	Prey	Cap:t=1,Prey
Ind. 34	1	Prey	Cap:t=1,Prey
Ind. 36	1	Prey	Cap:t=1,Prey
Ind. 37	1	Prey	Cap:t=1,Prey
Ind. 40	1	Prey	Cap:t=1,Prey
Ind. 41	1	Prey	Cap:t=1,Prey
Ind. 45	1	Prey	Cap:t=1,Prey
Ind. 48	1	Prey	Cap:t=1,Prey
Ind. 49	1	Prey	Cap:t=1,Prey
Ind. 50	1	Prey	Cap:t=1,Prey
Ind. 51	1	Prey	Cap:t=1,Prey
Ind. 53	1	Prey	Cap:t=1,Prey
Ind. 55	1	Prey	Cap:t=1,Prey
Ind. 56	1	Prey	Cap:t=1,Prey
Ind. 57	1	Prey	Cap:t=1,Prey
Ind. 58	1	Prey	Cap:t=1,Prey
Ind. 61	1	Prey	Cap:t=1,Prey
Ind. 67	1	Prey	Cap:t=1,Prey
Ind. 68	1	Prey	Cap:t=1,Prey
Ind. 70	1	Prey	Cap:t=1,Prey
Ind. 71	1	Prey	Cap:t=1,Prey
Ind. 75	1	Prey	Cap:t=1,Prey
Ind. 76	1	Prey	Cap:t=1,Prey
Ind. 79	1	Prey	Cap:t=1,Prey
Ind. 82	1	Prey	Cap:t=1,Prey
Ind. 90	1	Prey	Cap:t=1,Prey
Ind. 98	1	Prey	Cap:t=1,Prey
Ind. 99	1	Prey	Cap:t=1,Prey
Ind. 103	1	Prey	Cap:t=1,Prey
Ind. 105	1	Prey	Cap:t=1,Prey
Ind. 107	1	Prey	Cap:t=1,Prey
Ind. 116	1	Prey	Cap:t=1,Prey
Ind. 118	1	Prey	Cap:t=1,Prey
Ind. 119	1	Prey	Cap:t=1,Prey
Ind. 133	1	Prey	Cap:t=1,Prey
Ind. 134	1	Prey	Cap:t=1,Prey
Ind. 135	1	Prey	Cap:t=1,Prey
Ind. 138	1	Prey	Cap:t=1,Prey
Ind. 143	1	Prey	Cap:t=1,Prey
Ind. 145	1	Prey	Cap:t=1,Prey
Ind. 148	1	Prey	Cap:t=1,Prey
Ind. 151	1	Prey	Cap:t=1,Prey
Ind. 154	1	Prey	Cap:t=1,Prey
Ind. 155	1	Prey	Cap:t=1,Prey
Ind. 156	1	Prey	Cap:t=1,Prey
