ID	Time	Loc
Ind. 1	0	C5-5
Ind. 2	0	C5-5
Ind. 3	0	C5-5
Ind. 4	0	C5-5
Ind. 5	0	C5-5
Ind. 6	0	C5-5
Ind. 7	0	C5-5
Ind. 8	0	C5-5
Ind. 9	0	C5-5
Ind. 10	0	C5-5
Ind. 11	0	C5-5
Ind. 12	0	C5-5
Ind. 13	0	C5-5
Ind. 14	0	C5-5
Ind. 15	0	C5-5
Ind. 16	0	C5-5
Ind. 17	0	C5-5
Ind. 18	0	C5-5
Ind. 19	0	C5-5
Ind. 20	0	C5-5
Ind. 21	0	C5-5
Ind. 22	0	C5-5
Ind. 23	0	C5-5
Ind. 24	0	C5-5
Ind. 25	0	C5-5
Ind. 26	0	C5-5
Ind. 27	0	C5-5
Ind. 28	0	C5-5
Ind. 29	0	C5-5
Ind. 30	0	C5-5
Ind. 31	0	C5-5
Ind. 32	0	C5-5
Ind. 33	0	C5-5
Ind. 34	0	C5-5
Ind. 35	0	C5-5
Ind. 36	0	C5-5
Ind. 37	0	C5-5
Ind. 38	0	C5-5
Ind. 39	0	C5-5
Ind. 40	0	C5-5
Ind. 41	0	C5-5
Ind. 42	0	C5-5
Ind. 43	0	C5-5
Ind. 44	0	C5-5
Ind. 45	0	C5-5
Ind. 46	0	C5-5
Ind. 47	0	C5-5
Ind. 48	0	C5-5
Ind. 49	0	C5-5
Ind. 50	0	C5-5
Ind. 51	0	C5-5
Ind. 52	0	C5-5
Ind. 53	0	C5-5
Ind. 54	0	C5-5
Ind. 55	0	C5-5
Ind. 56	0	C5-5
Ind. 57	0	C5-5
Ind. 58	0	C5-5
Ind. 59	0	C5-5
Ind. 60	0	C5-5
Ind. 61	0	C5-5
Ind. 62	0	C5-5
Ind. 63	0	C5-5
Ind. 64	0	C5-5
Ind. 65	0	C5-5
Ind. 66	0	C5-5
Ind. 67	0	C5-5
Ind. 68	0	C5-5
Ind. 69	0	C5-5
Ind. 70	0	C5-5
Ind. 71	0	C5-5
Ind. 72	0	C5-5
Ind. 73	0	C5-5
Ind. 74	0	C5-5
Ind. 75	0	C5-5
Ind. 76	0	C5-5
Ind. 77	0	C5-5
Ind. 78	0	C5-5
Ind. 79	0	C5-5
Ind. 80	0	C5-5
Ind. 81	0	C5-5
Ind. 82	0	C5-5
Ind. 83	0	C5-5
Ind. 84	0	C5-5
Ind. 85	0	C5-5
Ind. 86	0	C5-5
Ind. 87	0	C5-5
Ind. 88	0	C5-5
Ind. 89	0	C5-5
Ind. 90	0	C5-5
Ind. 91	0	C5-5
Ind. 92	0	C5-5
Ind. 93	0	C5-5
Ind. 94	0	C5-5
Ind. 95	0	C5-5
Ind. 96	0	C5-5
Ind. 97	0	C5-5
Ind. 98	0	C5-5
Ind. 99	0	C5-5
Ind. 100	0	C5-5
Ind. 1	50	C3-10
Ind. 2	50	C8-5
Ind. 3	50	C8-3
Ind. 4	50	C8-10
Ind. 5	50	C8-4
Ind. 6	50	C6-7
Ind. 7	50	C7-4
Ind. 8	50	C4-9
Ind. 9	50	C4-8
Ind. 10	50	C3-6
Ind. 11	50	C4-9
Ind. 12	50	C1-7
Ind. 13	50	C7-5
Ind. 14	50	C10-5
Ind. 15	50	C5-8
Ind. 16	50	C7-1
Ind. 17	50	C3-7
Ind. 18	50	C5-8
Ind. 19	50	C2-4
Ind. 20	50	C8-7
Ind. 21	50	C7-5
Ind. 22	50	C4-6
Ind. 23	50	C4-6
Ind. 24	50	C6-5
Ind. 25	50	C6-7
Ind. 26	50	C3-8
Ind. 27	50	C2-6
Ind. 28	50	C4-8
Ind. 29	50	C4-6
Ind. 30	50	C3-3
Ind. 31	50	C8-4
Ind. 32	50	C1-10
Ind. 33	50	C4-4
Ind. 34	50	C4-3
Ind. 35	50	C6-4
Ind. 36	50	C8-6
Ind. 37	50	C0-6
Ind. 38	50	C2-5
Ind. 39	50	C5-5
Ind. 40	50	C4-8
Ind. 41	50	C7-7
Ind. 42	50	C5-5
Ind. 43	50	C7-4
Ind. 44	50	C6-3
Ind. 45	50	C8-3
Ind. 46	50	C8-5
