ID	Time	Loc	Capture name
Ind. 541	2	C1-1	Cap:t=2,C1-1
Ind. 543	4	C1-1	Cap:t=4,C1-1
Ind. 542	6	C1-1	Cap:t=6,C1-1
Ind. 543	6	C1-1	Cap:t=6,C1-1
Ind. 588	6	C1-1	Cap:t=6,C1-1
Ind. 540	8	C1-1	Cap:t=8,C1-1
Ind. 543	8	C1-1	Cap:t=8,C1-1
Ind. 601	8	C1-1	Cap:t=8,C1-1
Ind. 489	10	C1-1	Cap:t=10,C1-1
Ind. 540	10	C1-1	Cap:t=10,C1-1
Ind. 543	10	C1-1	Cap:t=10,C1-1
Ind. 540	12	C1-1	Cap:t=12,C1-1
Ind. 588	12	C1-1	Cap:t=12,C1-1
Ind. 491	16	C1-1	Cap:t=16,C1-1
Ind. 543	16	C1-1	Cap:t=16,C1-1
Ind. 547	16	C1-1	Cap:t=16,C1-1
Ind. 486	18	C1-1	Cap:t=18,C1-1
Ind. 489	18	C1-1	Cap:t=18,C1-1
Ind. 491	18	C1-1	Cap:t=18,C1-1
Ind. 547	18	C1-1	Cap:t=18,C1-1
Ind. 489	20	C1-1	Cap:t=20,C1-1
Ind. 491	20	C1-1	Cap:t=20,C1-1
Ind. 588	20	C1-1	Cap:t=20,C1-1
Ind. 427	22	C1-1	Cap:t=22,C1-1
Ind. 543	22	C1-1	Cap:t=22,C1-1
Ind. 588	22	C1-1	Cap:t=22,C1-1
Ind. 491	24	C1-1	Cap:t=24,C1-1
Ind. 526	24	C1-1	Cap:t=24,C1-1
Ind. 588	24	C1-1	Cap:t=24,C1-1
Ind. 384	28	C1-1	Cap:t=28,C1-1
Ind. 384	30	C1-1	Cap:t=30,C1-1
Ind. 534	32	C1-1	Cap:t=32,C1-1
Ind. 534	34	C1-1	Cap:t=34,C1-1
Ind. 491	36	C1-1	Cap:t=36,C1-1
Ind. 423	38	C1-1	Cap:t=38,C1-1
Ind. 430	38	C1-1	Cap:t=38,C1-1
Ind. 536	38	C1-1	Cap:t=38,C1-1
Ind. 605	38	C1-1	Cap:t=38,C1-1
Ind. 421	40	C1-1	Cap:t=40,C1-1
Ind. 536	40	C1-1	Cap:t=40,C1-1
Ind. 537	40	C1-1	Cap:t=40,C1-1
Ind. 358	42	C1-1	Cap:t=42,C1-1
Ind. 421	42	C1-1	Cap:t=42,C1-1
Ind. 491	42	C1-1	Cap:t=42,C1-1
Ind. 532	42	C1-1	Cap:t=42,C1-1
Ind. 534	42	C1-1	Cap:t=42,C1-1
Ind. 536	42	C1-1	Cap:t=42,C1-1
Ind. 537	42	C1-1	Cap:t=42,C1-1
Ind. 605	42	C1-1	Cap:t=42,C1-1
Ind. 491	44	C1-1	Cap:t=44,C1-1
Ind. 537	44	C1-1	Cap:t=44,C1-1
Ind. 544	44	C1-1	Cap:t=44,C1-1
Ind. 358	46	C1-1	Cap:t=46,C1-1
Ind. 437	46	C1-1	Cap:t=46,C1-1
Ind. 605	46	C1-1	Cap:t=46,C1-1
Ind. 358	48	C1-1	Cap:t=48,C1-1
Ind. 488	48	C1-1	Cap:t=48,C1-1
Ind. 593	48	C1-1	Cap:t=48,C1-1
Ind. 533	50	C1-1	Cap:t=50,C1-1
Ind. 550	50	C1-1	Cap:t=50,C1-1
Ind. 493	52	C1-1	Cap:t=52,C1-1
Ind. 531	52	C1-1	Cap:t=52,C1-1
Ind. 599	52	C1-1	Cap:t=52,C1-1
Ind. 319	54	C1-1	Cap:t=54,C1-1
Ind. 527	54	C1-1	Cap:t=54,C1-1
Ind. 599	54	C1-1	Cap:t=54,C1-1
Ind. 434	56	C1-1	Cap:t=56,C1-1
Ind. 377	62	C1-1	Cap:t=62,C1-1
Ind. 603	62	C1-1	Cap:t=62,C1-1
Ind. 377	64	C1-1	Cap:t=64,C1-1
Ind. 380	64	C1-1	Cap:t=64,C1-1
Ind. 603	64	C1-1	Cap:t=64,C1-1
Ind. 377	66	C1-1	Cap:t=66,C1-1
Ind. 437	66	C1-1	Cap:t=66,C1-1
Ind. 527	66	C1-1	Cap:t=66,C1-1
Ind. 603	66	C1-1	Cap:t=66,C1-1
Ind. 377	68	C1-1	Cap:t=68,C1-1
Ind. 409	70	C1-1	Cap:t=70,C1-1
Ind. 493	70	C1-1	Cap:t=70,C1-1
Ind. 542	70	C1-1	Cap:t=70,C1-1
Ind. 532	72	C1-1	Cap:t=72,C1-1
Ind. 588	72	C1-1	Cap:t=72,C1-1
Ind. 493	74	C1-1	Cap:t=74,C1-1
Ind. 588	74	C1-1	Cap:t=74,C1-1
Ind. 319	78	C1-1	Cap:t=78,C1-1
Ind. 534	78	C1-1	Cap:t=78,C1-1
Ind. 549	78	C1-1	Cap:t=78,C1-1
Ind. 319	80	C1-1	Cap:t=80,C1-1
Ind. 493	80	C1-1	Cap:t=80,C1-1
Ind. 548	80	C1-1	Cap:t=80,C1-1
Ind. 318	82	C1-1	Cap:t=82,C1-1
Ind. 548	82	C1-1	Cap:t=82,C1-1
Ind. 318	84	C1-1	Cap:t=84,C1-1
Ind. 549	84	C1-1	Cap:t=84,C1-1
Ind. 407	86	C1-1	Cap:t=86,C1-1
Ind. 548	86	C1-1	Cap:t=86,C1-1
Ind. 549	86	C1-1	Cap:t=86,C1-1
Ind. 548	88	C1-1	Cap:t=88,C1-1
Ind. 532	90	C1-1	Cap:t=90,C1-1
Ind. 548	90	C1-1	Cap:t=90,C1-1
Ind. 416	92	C1-1	Cap:t=92,C1-1
Ind. 548	92	C1-1	Cap:t=92,C1-1
Ind. 416	94	C1-1	Cap:t=94,C1-1
Ind. 416	96	C1-1	Cap:t=96,C1-1
Ind. 604	96	C1-1	Cap:t=96,C1-1
Ind. 416	98	C1-1	Cap:t=98,C1-1
Ind. 180	100	C1-1	Cap:t=100,C1-1
Ind. 373	100	C1-1	Cap:t=100,C1-1
Ind. 604	100	C1-1	Cap:t=100,C1-1
Ind. 524	0	C1-5	Cap:t=0,C1-5
Ind. 525	0	C1-5	Cap:t=0,C1-5
Ind. 467	2	C1-5	Cap:t=2,C1-5
Ind. 523	2	C1-5	Cap:t=2,C1-5
Ind. 467	4	C1-5	Cap:t=4,C1-5
Ind. 525	4	C1-5	Cap:t=4,C1-5
Ind. 411	6	C1-5	Cap:t=6,C1-5
Ind. 519	6	C1-5	Cap:t=6,C1-5
Ind. 572	6	C1-5	Cap:t=6,C1-5
Ind. 578	8	C1-5	Cap:t=8,C1-5
Ind. 590	8	C1-5	Cap:t=8,C1-5
Ind. 525	10	C1-5	Cap:t=10,C1-5
Ind. 525	12	C1-5	Cap:t=12,C1-5
Ind. 417	14	C1-5	Cap:t=14,C1-5
Ind. 580	14	C1-5	Cap:t=14,C1-5
Ind. 411	16	C1-5	Cap:t=16,C1-5
Ind. 579	16	C1-5	Cap:t=16,C1-5
Ind. 579	18	C1-5	Cap:t=18,C1-5
Ind. 376	20	C1-5	Cap:t=20,C1-5
Ind. 571	20	C1-5	Cap:t=20,C1-5
Ind. 586	20	C1-5	Cap:t=20,C1-5
Ind. 579	22	C1-5	Cap:t=22,C1-5
Ind. 376	24	C1-5	Cap:t=24,C1-5
Ind. 508	24	C1-5	Cap:t=24,C1-5
Ind. 517	24	C1-5	Cap:t=24,C1-5
Ind. 571	24	C1-5	Cap:t=24,C1-5
Ind. 465	26	C1-5	Cap:t=26,C1-5
Ind. 478	26	C1-5	Cap:t=26,C1-5
Ind. 517	26	C1-5	Cap:t=26,C1-5
Ind. 478	28	C1-5	Cap:t=28,C1-5
Ind. 508	28	C1-5	Cap:t=28,C1-5
Ind. 517	28	C1-5	Cap:t=28,C1-5
Ind. 577	28	C1-5	Cap:t=28,C1-5
