ID	Time	Loc	DS test	Capture name
Ind. 3	0	C10-10	0	Cap:t=0
Ind. 5	0	C10-10	0	Cap:t=0
Ind. 9	0	C10-9	0	Cap:t=0
Ind. 11	0	C10-8	0	Cap:t=0
Ind. 12	0	C10-8	0	Cap:t=0
Ind. 15	0	C10-8	0	Cap:t=0
Ind. 18	0	C10-7	0	Cap:t=0
Ind. 19	0	C10-7	0	Cap:t=0
Ind. 20	0	C10-7	0	Cap:t=0
Ind. 21	0	C10-6	0	Cap:t=0
Ind. 22	0	C10-6	0	Cap:t=0
Ind. 26	0	C10-5	0	Cap:t=0
Ind. 27	0	C10-5	0	Cap:t=0
Ind. 29	0	C10-5	0	Cap:t=0
Ind. 34	0	C10-4	0	Cap:t=0
Ind. 38	0	C10-3	0	Cap:t=0
Ind. 39	0	C10-3	0	Cap:t=0
Ind. 41	0	C10-2	0	Cap:t=0
Ind. 43	0	C10-2	0	Cap:t=0
Ind. 44	0	C10-2	0	Cap:t=0
Ind. 45	0	C10-2	0	Cap:t=0
Ind. 48	0	C10-1	0	Cap:t=0
Ind. 49	0	C10-1	0	Cap:t=0
Ind. 57	0	C9-10	0	Cap:t=0
Ind. 63	0	C9-9	0	Cap:t=0
Ind. 67	0	C9-8	0	Cap:t=0
Ind. 73	0	C9-7	0	Cap:t=0
Ind. 74	0	C9-7	0	Cap:t=0
Ind. 76	0	C9-6	0	Cap:t=0
Ind. 78	0	C9-6	0	Cap:t=0
Ind. 82	0	C9-5	0	Cap:t=0
Ind. 83	0	C9-5	0	Cap:t=0
Ind. 84	0	C9-5	0	Cap:t=0
Ind. 85	0	C9-5	0	Cap:t=0
Ind. 86	0	C9-4	0	Cap:t=0
Ind. 87	0	C9-4	0	Cap:t=0
Ind. 90	0	C9-4	0	Cap:t=0
Ind. 91	0	C9-3	0	Cap:t=0
Ind. 92	0	C9-3	0	Cap:t=0
Ind. 95	0	C9-3	0	Cap:t=0
Ind. 96	0	C9-2	0	Cap:t=0
Ind. 98	0	C9-2	0	Cap:t=0
Ind. 104	0	C9-1	0	Cap:t=0
Ind. 108	0	C9-0	0	Cap:t=0
Ind. 110	0	C9-0	0	Cap:t=0
Ind. 117	0	C8-9	0	Cap:t=0
Ind. 118	0	C8-9	0	Cap:t=0
Ind. 121	0	C8-8	0	Cap:t=0
Ind. 123	0	C8-8	0	Cap:t=0
Ind. 124	0	C8-8	0	Cap:t=0
Ind. 129	0	C8-7	0	Cap:t=0
Ind. 130	0	C8-7	0	Cap:t=0
Ind. 131	0	C8-6	0	Cap:t=0
Ind. 132	0	C8-6	0	Cap:t=0
Ind. 133	0	C8-6	0	Cap:t=0
Ind. 135	0	C8-6	0	Cap:t=0
Ind. 136	0	C8-5	0	Cap:t=0
Ind. 138	0	C8-5	0	Cap:t=0
Ind. 139	0	C8-5	0	Cap:t=0
Ind. 140	0	C8-5	0	Cap:t=0
Ind. 142	0	C8-4	0	Cap:t=0
Ind. 150	0	C8-3	0	Cap:t=0
Ind. 151	0	C8-2	0	Cap:t=0
Ind. 152	0	C8-2	0	Cap:t=0
Ind. 158	0	C8-1	0	Cap:t=0
Ind. 159	0	C8-1	0	Cap:t=0
Ind. 160	0	C8-1	0	Cap:t=0
Ind. 162	0	C8-0	0	Cap:t=0
Ind. 163	0	C8-0	0	Cap:t=0
Ind. 164	0	C8-0	0	Cap:t=0
Ind. 165	0	C8-0	0	Cap:t=0
Ind. 167	0	C7-10	0	Cap:t=0
Ind. 168	0	C7-10	0	Cap:t=0
Ind. 171	0	C7-9	0	Cap:t=0
Ind. 172	0	C7-9	0	Cap:t=0
Ind. 173	0	C7-9	0	Cap:t=0
Ind. 176	0	C7-8	0	Cap:t=0
Ind. 179	0	C7-8	1	Cap:t=0
Ind. 180	0	C7-8	0	Cap:t=0
Ind. 189	0	C7-6	0	Cap:t=0
Ind. 190	0	C7-6	0	Cap:t=0
Ind. 193	0	C7-5	0	Cap:t=0
Ind. 195	0	C7-5	0	Cap:t=0
Ind. 198	0	C7-4	0	Cap:t=0
Ind. 207	0	C7-2	0	Cap:t=0
Ind. 214	0	C7-1	0	Cap:t=0
Ind. 216	0	C7-0	0	Cap:t=0
Ind. 217	0	C7-0	0	Cap:t=0
Ind. 219	0	C7-0	0	Cap:t=0
Ind. 220	0	C7-0	0	Cap:t=0
Ind. 222	0	C6-10	0	Cap:t=0
Ind. 223	0	C6-10	0	Cap:t=0
Ind. 228	0	C6-9	0	Cap:t=0
Ind. 229	0	C6-9	1	Cap:t=0
Ind. 231	0	C6-8	0	Cap:t=0
Ind. 234	0	C6-8	0	Cap:t=0
Ind. 237	0	C6-7	0	Cap:t=0
Ind. 238	0	C6-7	0	Cap:t=0
Ind. 242	0	C6-6	0	Cap:t=0
Ind. 244	0	C6-6	0	Cap:t=0
Ind. 246	0	C6-5	0	Cap:t=0
Ind. 247	0	C6-5	0	Cap:t=0
Ind. 248	0	C6-5	0	Cap:t=0
Ind. 255	0	C6-4	0	Cap:t=0
Ind. 256	0	C6-3	0	Cap:t=0
Ind. 261	0	C6-2	0	Cap:t=0
Ind. 268	0	C6-1	0	Cap:t=0
Ind. 270	0	C6-1	0	Cap:t=0
Ind. 271	0	C6-0	0	Cap:t=0
Ind. 274	0	C6-0	0	Cap:t=0
Ind. 280	0	C5-10	1	Cap:t=0
Ind. 283	0	C5-9	0	Cap:t=0
Ind. 285	0	C5-9	0	Cap:t=0
Ind. 292	0	C5-7	0	Cap:t=0
Ind. 294	0	C5-7	0	Cap:t=0
Ind. 295	0	C5-7	0	Cap:t=0
Ind. 298	0	C5-6	0	Cap:t=0
Ind. 300	0	C5-6	0	Cap:t=0
Ind. 301	0	C5-5	0	Cap:t=0
Ind. 303	0	C5-5	0	Cap:t=0
Ind. 306	0	C5-4	0	Cap:t=0
Ind. 309	0	C5-4	0	Cap:t=0
Ind. 311	0	C5-3	0	Cap:t=0
Ind. 317	0	C5-2	0	Cap:t=0
Ind. 318	0	C5-2	0	Cap:t=0
Ind. 324	0	C5-1	0	Cap:t=0
Ind. 325	0	C5-1	0	Cap:t=0
Ind. 328	0	C5-0	1	Cap:t=0
Ind. 329	0	C5-0	0	Cap:t=0
Ind. 332	0	C4-10	0	Cap:t=0
Ind. 337	0	C4-9	0	Cap:t=0
Ind. 339	0	C4-9	0	Cap:t=0
Ind. 340	0	C4-9	0	Cap:t=0
Ind. 341	0	C4-8	0	Cap:t=0
Ind. 344	0	C4-8	0	Cap:t=0
Ind. 347	0	C4-7	0	Cap:t=0
Ind. 349	0	C4-7	0	Cap:t=0
Ind. 350	0	C4-7	0	Cap:t=0
Ind. 351	0	C4-6	0	Cap:t=0
Ind. 356	0	C4-5	0	Cap:t=0
Ind. 359	0	C4-5	0	Cap:t=0
Ind. 362	0	C4-4	0	Cap:t=0
Ind. 365	0	C4-4	0	Cap:t=0
Ind. 366	0	C4-3	0	Cap:t=0
Ind. 367	0	C4-3	0	Cap:t=0
Ind. 381	0	C4-0	0	Cap:t=0
Ind. 384	0	C4-0	0	Cap:t=0
Ind. 390	0	C3-10	0	Cap:t=0
Ind. 393	0	C3-9	0	Cap:t=0
Ind. 394	0	C3-9	0	Cap:t=0
Ind. 397	0	C3-8	0	Cap:t=0
Ind. 398	0	C3-8	0	Cap:t=0
Ind. 401	0	C3-7	0	Cap:t=0
Ind. 403	0	C3-7	0	Cap:t=0
Ind. 405	0	C3-7	0	Cap:t=0
Ind. 406	0	C3-6	0	Cap:t=0
Ind. 408	0	C3-6	0	Cap:t=0
Ind. 410	0	C3-6	0	Cap:t=0
Ind. 411	0	C3-5	0	Cap:t=0
Ind. 414	0	C3-5	0	Cap:t=0
Ind. 415	0	C3-5	0	Cap:t=0
Ind. 418	0	C3-4	0	Cap:t=0
Ind. 423	0	C3-3	0	Cap:t=0
Ind. 428	0	C3-2	0	Cap:t=0
Ind. 434	0	C3-1	0	Cap:t=0
Ind. 436	0	C3-0	0	Cap:t=0
Ind. 437	0	C3-0	0	Cap:t=0
Ind. 438	0	C3-0	0	Cap:t=0
Ind. 439	0	C3-0	0	Cap:t=0
Ind. 445	0	C2-10	0	Cap:t=0
Ind. 446	0	C2-9	0	Cap:t=0
Ind. 447	0	C2-9	0	Cap:t=0
Ind. 448	0	C2-9	0	Cap:t=0
Ind. 449	0	C2-9	0	Cap:t=0
Ind. 450	0	C2-9	0	Cap:t=0
Ind. 451	0	C2-8	0	Cap:t=0
Ind. 461	0	C2-6	0	Cap:t=0
Ind. 464	0	C2-6	0	Cap:t=0
Ind. 465	0	C2-6	0	Cap:t=0
Ind. 469	0	C2-5	0	Cap:t=0
Ind. 471	0	C2-4	0	Cap:t=0
Ind. 472	0	C2-4	0	Cap:t=0
Ind. 473	0	C2-4	0	Cap:t=0
Ind. 475	0	C2-4	0	Cap:t=0
Ind. 476	0	C2-3	0	Cap:t=0
Ind. 480	0	C2-3	0	Cap:t=0
Ind. 482	0	C2-2	0	Cap:t=0
Ind. 485	0	C2-2	0	Cap:t=0
Ind. 486	0	C2-1	0	Cap:t=0
Ind. 488	0	C2-1	0	Cap:t=0
Ind. 491	0	C2-0	0	Cap:t=0
Ind. 492	0	C2-0	0	Cap:t=0
Ind. 493	0	C2-0	0	Cap:t=0
Ind. 494	0	C2-0	0	Cap:t=0
Ind. 495	0	C2-0	0	Cap:t=0
Ind. 498	0	C1-10	0	Cap:t=0
Ind. 500	0	C1-10	0	Cap:t=0
Ind. 501	0	C1-9	0	Cap:t=0
Ind. 502	0	C1-9	0	Cap:t=0
Ind. 510	0	C1-8	0	Cap:t=0
Ind. 513	0	C1-7	0	Cap:t=0
Ind. 515	0	C1-7	0	Cap:t=0
Ind. 520	0	C1-6	0	Cap:t=0
Ind. 530	0	C1-4	0	Cap:t=0
Ind. 536	0	C1-2	0	Cap:t=0
Ind. 541	0	C1-1	0	Cap:t=0
Ind. 542	0	C1-1	0	Cap:t=0
Ind. 544	0	C1-1	0	Cap:t=0
Ind. 546	0	C1-0	0	Cap:t=0
Ind. 553	0	C0-10	0	Cap:t=0
Ind. 555	0	C0-10	1	Cap:t=0
Ind. 557	0	C0-9	0	Cap:t=0
Ind. 558	0	C0-9	0	Cap:t=0
Ind. 562	0	C0-8	0	Cap:t=0
Ind. 565	0	C0-8	0	Cap:t=0
Ind. 567	0	C0-7	0	Cap:t=0
Ind. 570	0	C0-7	0	Cap:t=0
Ind. 573	0	C0-6	0	Cap:t=0
Ind. 574	0	C0-6	0	Cap:t=0
Ind. 576	0	C0-5	0	Cap:t=0
Ind. 577	0	C0-5	0	Cap:t=0
Ind. 578	0	C0-5	0	Cap:t=0
Ind. 580	0	C0-5	0	Cap:t=0
Ind. 581	0	C0-4	0	Cap:t=0
Ind. 582	0	C0-4	0	Cap:t=0
Ind. 583	0	C0-4	0	Cap:t=0
Ind. 586	0	C0-3	0	Cap:t=0
Ind. 591	0	C0-2	0	Cap:t=0
Ind. 595	0	C0-2	0	Cap:t=0
Ind. 596	0	C0-1	0	Cap:t=0
Ind. 599	0	C0-1	0	Cap:t=0
Ind. 601	0	C0-0	0	Cap:t=0
Ind. 603	0	C0-0	0	Cap:t=0
Ind. 605	0	C0-0	0	Cap:t=0
Ind. 2	10	C9-9	0	Cap:t=10
Ind. 3	10	C10-10	0	Cap:t=10
Ind. 6	10	C10-8	1	Cap:t=10
Ind. 12	10	C10-8	0	Cap:t=10
Ind. 15	10	C10-9	0	Cap:t=10
Ind. 19	10	C10-7	0	Cap:t=10
Ind. 21	10	C8-6	1	Cap:t=10
Ind. 24	10	C10-6	0	Cap:t=10
Ind. 26	10	C9-5	0	Cap:t=10
Ind. 29	10	C8-7	0	Cap:t=10
Ind. 30	10	C10-5	0	Cap:t=10
Ind. 33	10	C9-3	0	Cap:t=10
Ind. 36	10	C10-4	0	Cap:t=10
Ind. 41	10	C9-2	0	Cap:t=10
Ind. 42	10	C10-2	0	Cap:t=10
Ind. 43	10	C10-2	0	Cap:t=10
Ind. 44	10	C9-3	0	Cap:t=10
Ind. 49	10	C10-0	0	Cap:t=10
Ind. 50	10	C10-2	0	Cap:t=10
Ind. 54	10	C10-1	0	Cap:t=10
Ind. 55	10	C10-0	0	Cap:t=10
Ind. 56	10	C9-10	0	Cap:t=10
Ind. 58	10	C9-10	0	Cap:t=10
Ind. 59	10	C10-10	0	Cap:t=10
Ind. 61	10	C9-9	0	Cap:t=10
Ind. 63	10	C10-8	0	Cap:t=10
Ind. 65	10	C10-9	0	Cap:t=10
Ind. 67	10	C8-10	0	Cap:t=10
Ind. 68	10	C9-7	0	Cap:t=10
Ind. 69	10	C9-9	0	Cap:t=10
Ind. 72	10	C9-7	0	Cap:t=10
Ind. 73	10	C9-7	0	Cap:t=10
Ind. 74	10	C9-7	0	Cap:t=10
Ind. 77	10	C9-6	0	Cap:t=10
Ind. 79	10	C10-6	1	Cap:t=10
Ind. 81	10	C8-6	0	Cap:t=10
Ind. 83	10	C7-5	0	Cap:t=10
Ind. 85	10	C9-4	0	Cap:t=10
Ind. 88	10	C9-5	0	Cap:t=10
Ind. 89	10	C8-4	0	Cap:t=10
Ind. 91	10	C8-3	0	Cap:t=10
Ind. 92	10	C10-3	0	Cap:t=10
Ind. 94	10	C9-2	0	Cap:t=10
Ind. 98	10	C9-3	0	Cap:t=10
Ind. 99	10	C10-2	0	Cap:t=10
Ind. 101	10	C10-1	0	Cap:t=10
Ind. 102	10	C9-2	0	Cap:t=10
Ind. 109	10	C10-0	0	Cap:t=10
Ind. 115	10	C8-10	0	Cap:t=10
Ind. 117	10	C8-9	0	Cap:t=10
Ind. 118	10	C8-9	0	Cap:t=10
Ind. 120	10	C5-7	0	Cap:t=10
Ind. 121	10	C8-8	0	Cap:t=10
Ind. 123	10	C9-9	0	Cap:t=10
Ind. 124	10	C7-9	0	Cap:t=10
Ind. 127	10	C9-8	0	Cap:t=10
Ind. 134	10	C9-7	1	Cap:t=10
Ind. 136	10	C8-5	0	Cap:t=10
Ind. 138	10	C7-5	1	Cap:t=10
Ind. 139	10	C8-5	0	Cap:t=10
Ind. 140	10	C8-5	0	Cap:t=10
Ind. 144	10	C8-4	0	Cap:t=10
Ind. 145	10	C8-3	0	Cap:t=10
Ind. 148	10	C9-3	0	Cap:t=10
Ind. 152	10	C7-2	0	Cap:t=10
Ind. 153	10	C9-2	0	Cap:t=10
Ind. 158	10	C6-1	0	Cap:t=10
Ind. 160	10	C8-0	0	Cap:t=10
Ind. 164	10	C8-0	0	Cap:t=10
Ind. 165	10	C8-1	0	Cap:t=10
Ind. 166	10	C7-10	0	Cap:t=10
Ind. 167	10	C7-9	0	Cap:t=10
Ind. 168	10	C7-10	0	Cap:t=10
Ind. 170	10	C6-10	0	Cap:t=10
Ind. 174	10	C8-7	0	Cap:t=10
Ind. 177	10	C7-7	0	Cap:t=10
Ind. 178	10	C7-7	0	Cap:t=10
Ind. 179	10	C6-7	0	Cap:t=10
Ind. 180	10	C7-8	0	Cap:t=10
Ind. 181	10	C8-6	0	Cap:t=10
Ind. 182	10	C8-7	0	Cap:t=10
Ind. 183	10	C7-7	0	Cap:t=10
Ind. 184	10	C7-7	0	Cap:t=10
Ind. 188	10	C7-6	1	Cap:t=10
Ind. 189	10	C7-6	0	Cap:t=10
Ind. 190	10	C7-6	0	Cap:t=10
Ind. 192	10	C4-4	0	Cap:t=10
Ind. 194	10	C6-5	0	Cap:t=10
Ind. 195	10	C7-5	0	Cap:t=10
Ind. 198	10	C7-4	0	Cap:t=10
Ind. 200	10	C7-3	0	Cap:t=10
Ind. 202	10	C8-4	1	Cap:t=10
Ind. 205	10	C7-3	0	Cap:t=10
Ind. 206	10	C6-2	0	Cap:t=10
Ind. 207	10	C8-3	0	Cap:t=10
Ind. 208	10	C6-3	0	Cap:t=10
Ind. 209	10	C7-2	0	Cap:t=10
Ind. 210	10	C7-1	0	Cap:t=10
Ind. 211	10	C8-0	0	Cap:t=10
Ind. 212	10	C7-1	0	Cap:t=10
Ind. 213	10	C7-1	0	Cap:t=10
Ind. 217	10	C8-3	0	Cap:t=10
Ind. 218	10	C7-0	0	Cap:t=10
Ind. 220	10	C7-0	0	Cap:t=10
Ind. 223	10	C5-9	1	Cap:t=10
Ind. 226	10	C4-9	0	Cap:t=10
Ind. 227	10	C6-9	0	Cap:t=10
Ind. 228	10	C6-9	0	Cap:t=10
Ind. 242	10	C6-6	0	Cap:t=10
Ind. 244	10	C7-5	0	Cap:t=10
Ind. 245	10	C5-7	0	Cap:t=10
Ind. 246	10	C6-5	0	Cap:t=10
Ind. 251	10	C6-4	0	Cap:t=10
Ind. 253	10	C6-4	0	Cap:t=10
Ind. 256	10	C7-4	0	Cap:t=10
Ind. 257	10	C8-5	0	Cap:t=10
Ind. 263	10	C6-2	0	Cap:t=10
Ind. 264	10	C6-2	0	Cap:t=10
Ind. 268	10	C7-3	0	Cap:t=10
Ind. 269	10	C7-2	0	Cap:t=10
Ind. 271	10	C6-0	0	Cap:t=10
Ind. 276	10	C5-10	0	Cap:t=10
Ind. 284	10	C6-8	0	Cap:t=10
Ind. 288	10	C6-8	0	Cap:t=10
Ind. 290	10	C6-8	0	Cap:t=10
Ind. 294	10	C3-6	0	Cap:t=10
Ind. 297	10	C6-6	0	Cap:t=10
Ind. 299	10	C5-6	0	Cap:t=10
Ind. 302	10	C5-5	0	Cap:t=10
Ind. 307	10	C5-4	0	Cap:t=10
Ind. 310	10	C5-3	0	Cap:t=10
Ind. 311	10	C5-3	0	Cap:t=10
Ind. 312	10	C5-3	0	Cap:t=10
Ind. 314	10	C4-3	0	Cap:t=10
Ind. 318	10	C5-2	0	Cap:t=10
Ind. 319	10	C5-2	0	Cap:t=10
Ind. 320	10	C5-2	0	Cap:t=10
Ind. 323	10	C6-1	0	Cap:t=10
Ind. 324	10	C5-1	0	Cap:t=10
Ind. 326	10	C5-0	0	Cap:t=10
Ind. 328	10	C6-1	0	Cap:t=10
Ind. 329	10	C5-0	1	Cap:t=10
Ind. 331	10	C5-10	0	Cap:t=10
Ind. 333	10	C3-10	0	Cap:t=10
Ind. 336	10	C3-9	0	Cap:t=10
Ind. 340	10	C4-10	0	Cap:t=10
Ind. 341	10	C5-8	0	Cap:t=10
Ind. 343	10	C3-8	0	Cap:t=10
Ind. 344	10	C4-7	0	Cap:t=10
Ind. 347	10	C4-7	0	Cap:t=10
Ind. 348	10	C5-7	0	Cap:t=10
Ind. 350	10	C4-6	0	Cap:t=10
Ind. 351	10	C4-6	0	Cap:t=10
Ind. 354	10	C4-7	0	Cap:t=10
Ind. 360	10	C4-5	0	Cap:t=10
Ind. 362	10	C6-6	0	Cap:t=10
Ind. 365	10	C4-4	0	Cap:t=10
Ind. 370	10	C5-2	0	Cap:t=10
Ind. 374	10	C2-2	0	Cap:t=10
Ind. 376	10	C3-1	1	Cap:t=10
Ind. 378	10	C5-1	0	Cap:t=10
Ind. 379	10	C4-1	0	Cap:t=10
Ind. 380	10	C5-0	0	Cap:t=10
Ind. 385	10	C3-2	0	Cap:t=10
Ind. 386	10	C3-10	0	Cap:t=10
Ind. 387	10	C3-10	0	Cap:t=10
Ind. 395	10	C4-10	0	Cap:t=10
Ind. 396	10	C3-8	0	Cap:t=10
Ind. 397	10	C2-9	0	Cap:t=10
Ind. 402	10	C3-8	0	Cap:t=10
Ind. 406	10	C3-6	0	Cap:t=10
Ind. 408	10	C2-6	0	Cap:t=10
Ind. 409	10	C3-5	0	Cap:t=10
Ind. 410	10	C2-5	0	Cap:t=10
Ind. 411	10	C3-6	0	Cap:t=10
Ind. 415	10	C3-5	0	Cap:t=10
Ind. 417	10	C5-6	0	Cap:t=10
Ind. 421	10	C3-2	0	Cap:t=10
Ind. 422	10	C2-2	0	Cap:t=10
Ind. 423	10	C3-3	0	Cap:t=10
Ind. 426	10	C3-1	0	Cap:t=10
Ind. 428	10	C2-3	1	Cap:t=10
Ind. 430	10	C3-2	0	Cap:t=10
Ind. 431	10	C4-1	0	Cap:t=10
Ind. 433	10	C4-2	0	Cap:t=10
Ind. 439	10	C2-1	0	Cap:t=10
Ind. 440	10	C3-0	0	Cap:t=10
Ind. 442	10	C2-9	0	Cap:t=10
Ind. 443	10	C2-10	0	Cap:t=10
Ind. 450	10	C2-9	0	Cap:t=10
Ind. 452	10	C2-8	0	Cap:t=10
Ind. 455	10	C3-7	0	Cap:t=10
Ind. 457	10	C1-7	0	Cap:t=10
Ind. 458	10	C3-8	0	Cap:t=10
Ind. 459	10	C2-6	0	Cap:t=10
Ind. 461	10	C3-7	0	Cap:t=10
Ind. 463	10	C0-5	0	Cap:t=10
Ind. 468	10	C2-4	0	Cap:t=10
Ind. 469	10	C2-6	0	Cap:t=10
Ind. 470	10	C2-5	0	Cap:t=10
Ind. 471	10	C1-5	0	Cap:t=10
Ind. 472	10	C1-4	0	Cap:t=10
Ind. 473	10	C0-3	0	Cap:t=10
Ind. 475	10	C1-3	0	Cap:t=10
Ind. 477	10	C1-3	0	Cap:t=10
Ind. 478	10	C2-2	0	Cap:t=10
Ind. 479	10	C1-3	0	Cap:t=10
Ind. 481	10	C2-1	0	Cap:t=10
Ind. 483	10	C2-2	0	Cap:t=10
Ind. 485	10	C1-3	0	Cap:t=10
Ind. 487	10	C2-0	0	Cap:t=10
Ind. 488	10	C1-3	0	Cap:t=10
Ind. 492	10	C2-0	0	Cap:t=10
Ind. 494	10	C1-1	0	Cap:t=10
Ind. 500	10	C1-8	0	Cap:t=10
Ind. 503	10	C0-8	0	Cap:t=10
Ind. 505	10	C1-9	0	Cap:t=10
Ind. 511	10	C2-7	0	Cap:t=10
Ind. 512	10	C0-8	0	Cap:t=10
Ind. 513	10	C2-8	0	Cap:t=10
Ind. 516	10	C0-4	0	Cap:t=10
Ind. 520	10	C1-5	0	Cap:t=10
Ind. 523	10	C1-5	0	Cap:t=10
Ind. 524	10	C1-6	0	Cap:t=10
Ind. 525	10	C0-4	0	Cap:t=10
Ind. 526	10	C0-4	0	Cap:t=10
Ind. 527	10	C0-4	0	Cap:t=10
Ind. 531	10	C0-5	0	Cap:t=10
Ind. 533	10	C0-1	0	Cap:t=10
Ind. 534	10	C2-4	0	Cap:t=10
Ind. 535	10	C1-2	0	Cap:t=10
Ind. 536	10	C1-2	0	Cap:t=10
Ind. 540	10	C1-1	0	Cap:t=10
Ind. 543	10	C1-1	0	Cap:t=10
Ind. 547	10	C1-0	0	Cap:t=10
Ind. 552	10	C0-10	0	Cap:t=10
Ind. 556	10	C0-9	0	Cap:t=10
Ind. 560	10	C1-10	0	Cap:t=10
Ind. 564	10	C0-8	0	Cap:t=10
Ind. 565	10	C0-8	0	Cap:t=10
Ind. 566	10	C0-7	0	Cap:t=10
Ind. 568	10	C0-7	0	Cap:t=10
Ind. 570	10	C1-7	0	Cap:t=10
Ind. 578	10	C0-5	0	Cap:t=10
Ind. 580	10	C0-6	0	Cap:t=10
Ind. 581	10	C0-4	0	Cap:t=10
Ind. 583	10	C0-4	0	Cap:t=10
Ind. 584	10	C0-4	0	Cap:t=10
Ind. 586	10	C0-3	1	Cap:t=10
Ind. 596	10	C0-1	0	Cap:t=10
Ind. 1	20	C9-10	0	Cap:t=20
Ind. 5	20	C10-10	0	Cap:t=20
Ind. 6	20	C10-8	1	Cap:t=20
Ind. 7	20	C9-10	0	Cap:t=20
Ind. 11	20	C10-8	0	Cap:t=20
Ind. 13	20	C10-6	0	Cap:t=20
Ind. 14	20	C10-10	0	Cap:t=20
Ind. 18	20	C9-7	0	Cap:t=20
Ind. 22	20	C10-6	0	Cap:t=20
Ind. 26	20	C10-7	1	Cap:t=20
Ind. 28	20	C10-4	0	Cap:t=20
Ind. 29	20	C8-7	0	Cap:t=20
Ind. 30	20	C10-4	0	Cap:t=20
Ind. 31	20	C10-2	0	Cap:t=20
Ind. 32	20	C9-4	0	Cap:t=20
Ind. 33	20	C8-4	0	Cap:t=20
Ind. 36	20	C9-4	0	Cap:t=20
Ind. 39	20	C10-3	0	Cap:t=20
Ind. 41	20	C10-3	0	Cap:t=20
Ind. 43	20	C10-3	0	Cap:t=20
Ind. 44	20	C10-3	0	Cap:t=20
Ind. 48	20	C10-0	0	Cap:t=20
Ind. 50	20	C9-1	0	Cap:t=20
Ind. 51	20	C10-0	0	Cap:t=20
Ind. 52	20	C10-0	0	Cap:t=20
Ind. 56	20	C9-10	0	Cap:t=20
