ID,t,DS
Ind. 1,10,Sa
Ind. 1,20,Sa
Ind. 1,30,Sa
Ind. 1,40,Sa
Ind. 1,50,Sa
Ind. 1,60,Sa
Ind. 1,70,Sa
Ind. 1,80,Sa
Ind. 1,90,Sa
Ind. 1,100,Sa
Ind. 2,10,Sa
Ind. 2,20,Sa
Ind. 2,30,Sa
Ind. 2,40,Sa
Ind. 2,50,Sa
Ind. 2,60,R
Ind. 2,70,R
Ind. 2,80,R
Ind. 2,90,R
Ind. 2,100,R
Ind. 3,10,Sa
Ind. 3,20,Sa
Ind. 3,30,Sa
Ind. 3,40,Sa
Ind. 3,50,Sa
Ind. 3,60,Sa
Ind. 3,70,Sa
Ind. 3,80,Sa
Ind. 3,90,Sa
Ind. 3,100,Sa
Ind. 4,10,Sa
Ind. 4,20,Sa
Ind. 4,30,Sa
Ind. 4,40,Sa
Ind. 4,50,R
Ind. 4,60,R
Ind. 4,70,R
Ind. 4,80,R
Ind. 4,90,R
Ind. 4,100,R
Ind. 5,10,Sa
Ind. 5,20,Sa
Ind. 5,30,Sa
Ind. 5,40,Sa
Ind. 5,50,Sa
Ind. 5,60,Sa
Ind. 5,70,Sa
Ind. 5,80,Sa
Ind. 5,90,Sa
Ind. 5,100,Sa
Ind. 6,10,Sa
Ind. 6,20,Sa
Ind. 6,30,Sa
Ind. 6,40,Sa
Ind. 6,50,Sa
Ind. 6,60,Sa
Ind. 6,70,Sa
Ind. 6,80,Sa
Ind. 6,90,I
Ind. 6,100,R
Ind. 7,10,Sa
Ind. 7,20,Sa
Ind. 7,30,Sa
Ind. 7,40,I
Ind. 7,50,I
Ind. 7,60,I
Ind. 7,70,I
Ind. 7,80,R
Ind. 7,90,R
Ind. 7,100,R
Ind. 8,10,Sa
Ind. 8,20,Sa
Ind. 8,30,Sa
Ind. 8,40,I
Ind. 8,50,R
Ind. 8,60,R
Ind. 8,70,R
Ind. 8,80,R
Ind. 8,90,R
Ind. 8,100,R
Ind. 9,10,Sa
Ind. 9,20,Sa
Ind. 9,30,Sa
Ind. 9,40,Sa
Ind. 9,50,Sa
Ind. 9,60,R
Ind. 9,70,R
Ind. 9,80,R
Ind. 9,90,R
Ind. 9,100,R
Ind. 10,10,Sa
Ind. 10,20,Sa
Ind. 10,30,Sa
Ind. 10,40,Sa
Ind. 10,50,Sa
Ind. 10,60,Sa
Ind. 10,70,Sa
Ind. 10,80,Sa
Ind. 10,90,Sa
Ind. 10,100,Sa
Ind. 11,10,Sa
Ind. 11,20,Sa
Ind. 11,30,Sa
Ind. 11,40,Sa
Ind. 11,50,Sa
Ind. 11,60,Sa
Ind. 11,70,Sa
Ind. 11,80,Sa
Ind. 11,90,Sa
Ind. 11,100,Sa
Ind. 12,10,Sa
Ind. 12,20,Sa
Ind. 12,30,Sa
Ind. 12,40,Sa
Ind. 12,50,I
Ind. 12,60,I
Ind. 12,70,R
Ind. 12,80,R
Ind. 12,90,R
Ind. 12,100,R
Ind. 13,10,Sa
Ind. 13,20,Sa
Ind. 13,30,Sa
Ind. 13,40,Sa
Ind. 13,50,Sa
Ind. 13,60,Sa
Ind. 13,70,Sa
Ind. 13,80,I
Ind. 13,90,I
Ind. 13,100,I
Ind. 14,10,Sa
Ind. 14,20,Sa
Ind. 14,30,Sa
Ind. 14,40,Sa
Ind. 14,50,Sa
Ind. 14,60,Sa
Ind. 14,70,Sa
Ind. 14,80,Sa
Ind. 14,90,Sa
Ind. 14,100,Sa
Ind. 15,10,Sa
Ind. 15,20,Sa
Ind. 15,30,Sa
Ind. 15,40,Sa
Ind. 15,50,Sa
Ind. 15,60,Sa
Ind. 15,70,Sa
Ind. 15,80,R
Ind. 15,90,R
Ind. 15,100,R
Ind. 16,10,Sa
Ind. 16,20,Sa
Ind. 16,30,Sa
Ind. 16,40,Sa
Ind. 16,50,Sa
Ind. 16,60,Sa
Ind. 16,70,Sa
Ind. 16,80,Sa
Ind. 16,90,Sa
Ind. 16,100,Sa
Ind. 17,10,Sa
Ind. 17,20,I
Ind. 17,30,R
Ind. 17,40,R
Ind. 17,50,R
Ind. 17,60,R
Ind. 17,70,R
Ind. 17,80,R
Ind. 17,90,R
Ind. 17,100,R
Ind. 18,10,Sa
Ind. 18,20,Sa
Ind. 18,30,Sa
Ind. 18,40,I
Ind. 18,50,I
Ind. 18,60,I
Ind. 18,70,R
Ind. 18,80,R
Ind. 18,90,R
Ind. 18,100,R
Ind. 19,10,Sa
Ind. 19,20,Sa
Ind. 19,30,Sa
Ind. 19,40,Sa
Ind. 19,50,Sa
Ind. 19,60,I
Ind. 19,70,I
Ind. 19,80,I
Ind. 19,90,R
Ind. 19,100,R
Ind. 20,10,Sa
Ind. 20,20,Sa
Ind. 20,30,Sa
Ind. 20,40,Sa
Ind. 20,50,Sa
Ind. 20,60,Sa
Ind. 20,70,Sa
Ind. 20,80,Sa
Ind. 20,90,Sa
Ind. 20,100,Sa
Ind. 21,10,Sa
Ind. 21,20,Sa
Ind. 21,30,Sa
Ind. 21,40,R
Ind. 21,50,R
Ind. 21,60,R
Ind. 21,70,R
Ind. 21,80,R
Ind. 21,90,R
Ind. 21,100,R
Ind. 22,10,Sa
Ind. 22,20,Sa
Ind. 22,30,Sa
Ind. 22,40,I
Ind. 22,50,I
Ind. 22,60,I
Ind. 22,70,I
Ind. 22,80,I
Ind. 22,90,I
Ind. 22,100,I
Ind. 23,10,Sa
Ind. 23,20,Sa
Ind. 23,30,Sa
Ind. 23,40,Sa
Ind. 23,50,Sa
Ind. 23,60,Sa
Ind. 23,70,Sa
Ind. 23,80,Sa
Ind. 23,90,Sa
Ind. 23,100,Sa
Ind. 24,10,Sa
Ind. 24,20,Sa
Ind. 24,30,I
Ind. 24,40,I
Ind. 24,50,R
Ind. 24,60,R
Ind. 24,70,R
Ind. 24,80,R
Ind. 24,90,R
Ind. 24,100,R
Ind. 25,10,Sa
Ind. 25,20,Sa
Ind. 25,30,Sa
Ind. 25,40,Sa
