ID,t,DS
Ind. 1,0,Sa
Ind. 2,0,Sa
Ind. 3,0,Sa
Ind. 4,0,Sa
Ind. 5,0,Sa
Ind. 6,0,Sa
Ind. 7,0,Sa
Ind. 8,0,Sa
Ind. 9,0,Sa
Ind. 10,0,Sa
Ind. 11,0,Sa
Ind. 12,0,Sa
Ind. 13,0,Sa
Ind. 14,0,Sa
Ind. 15,0,Sa
Ind. 16,0,Sa
Ind. 17,0,Sa
Ind. 18,0,Sa
Ind. 19,0,Sa
Ind. 20,0,Sa
Ind. 21,0,Sa
Ind. 22,0,Sa
Ind. 23,0,Sa
Ind. 24,0,Sa
Ind. 25,0,Sa
Ind. 26,0,Sa
Ind. 27,0,Sa
Ind. 28,0,Sa
Ind. 29,0,Sa
Ind. 30,0,Sa
Ind. 31,0,Sa
Ind. 32,0,Sa
Ind. 33,0,Sa
Ind. 34,0,Sa
Ind. 35,0,Sa
Ind. 36,0,Sa
Ind. 37,0,Sa
Ind. 38,0,Sa
Ind. 39,0,Sa
Ind. 40,0,Sa
Ind. 41,0,Sa
Ind. 42,0,Sa
Ind. 43,0,Sa
Ind. 44,0,Sa
Ind. 45,0,Sa
Ind. 46,0,Sa
Ind. 47,0,Sa
Ind. 48,0,Sa
Ind. 49,0,Sa
Ind. 50,0,Sa
Ind. 51,0,Sa
Ind. 52,0,Sa
Ind. 53,0,Sa
Ind. 54,0,Sa
Ind. 55,0,Sa
Ind. 56,0,Sa
Ind. 57,0,Sa
Ind. 58,0,Sa
Ind. 59,0,Sa
Ind. 60,0,Sa
Ind. 61,0,Sa
Ind. 62,0,Sa
Ind. 63,0,Sa
Ind. 64,0,Sa
Ind. 65,0,Sa
Ind. 66,0,Sa
Ind. 67,0,Sa
Ind. 68,0,Sa
Ind. 69,0,Sa
Ind. 70,0,Sa
Ind. 71,0,Sa
Ind. 72,0,Sa
Ind. 73,0,Sa
Ind. 74,0,Sa
Ind. 75,0,Sa
Ind. 76,0,Sa
Ind. 77,0,Sa
Ind. 78,0,Sa
Ind. 79,0,Sa
Ind. 80,0,Sa
Ind. 81,0,Sa
Ind. 82,0,Sa
Ind. 83,0,Sa
Ind. 84,0,Sa
Ind. 85,0,Sa
Ind. 86,0,Sa
Ind. 87,0,Sa
Ind. 88,0,Sa
Ind. 89,0,Sa
Ind. 90,0,Sa
Ind. 91,0,Sa
Ind. 92,0,Sa
Ind. 93,0,Sa
Ind. 94,0,Sa
Ind. 95,0,Sa
Ind. 96,0,Sa
Ind. 97,0,Sa
Ind. 98,0,Sa
Ind. 99,0,Sa
Ind. 100,0,Sa
Ind. 101,0,Sb
Ind. 102,0,Sb
Ind. 103,0,Sb
Ind. 104,0,Sb
Ind. 105,0,Sb
Ind. 106,0,Sb
Ind. 107,0,Sb
Ind. 108,0,Sb
Ind. 109,0,Sb
Ind. 110,0,Sb
Ind. 111,0,Sb
Ind. 112,0,Sb
Ind. 113,0,Sb
Ind. 114,0,Sb
Ind. 115,0,Sb
Ind. 116,0,Sb
Ind. 117,0,Sb
Ind. 118,0,Sb
Ind. 119,0,Sb
Ind. 120,0,Sb
Ind. 121,0,Sb
Ind. 122,0,Sb
Ind. 123,0,Sb
Ind. 124,0,Sb
Ind. 125,0,Sb
Ind. 126,0,Sb
Ind. 127,0,Sb
Ind. 128,0,Sb
Ind. 129,0,Sb
Ind. 130,0,Sb
Ind. 131,0,Sb
Ind. 132,0,Sb
Ind. 133,0,Sb
Ind. 134,0,Sb
Ind. 135,0,Sb
Ind. 136,0,Sb
Ind. 137,0,Sb
Ind. 138,0,Sb
Ind. 139,0,Sb
Ind. 140,0,Sb
Ind. 141,0,Sb
Ind. 142,0,Sb
Ind. 143,0,Sb
Ind. 144,0,Sb
Ind. 145,0,Sb
Ind. 146,0,Sb
Ind. 147,0,Sb
Ind. 148,0,Sb
Ind. 149,0,Sb
Ind. 150,0,Sb
Ind. 151,0,Sb
Ind. 152,0,Sb
Ind. 153,0,Sb
Ind. 154,0,Sb
Ind. 155,0,Sb
Ind. 156,0,Sb
Ind. 157,0,Sb
Ind. 158,0,Sb
Ind. 159,0,Sb
Ind. 160,0,Sb
Ind. 161,0,Sb
Ind. 162,0,Sb
Ind. 163,0,Sb
Ind. 164,0,Sb
Ind. 165,0,Sb
Ind. 166,0,Sb
Ind. 167,0,Sb
Ind. 168,0,Sb
Ind. 169,0,Sb
Ind. 170,0,Sb
Ind. 171,0,Sb
Ind. 172,0,Sb
Ind. 173,0,Sb
Ind. 174,0,Sb
Ind. 175,0,Sb
Ind. 176,0,Sb
Ind. 177,0,Sb
Ind. 178,0,Sb
Ind. 179,0,Sb
Ind. 180,0,Sb
Ind. 181,0,Sb
Ind. 182,0,Sb
Ind. 183,0,Sb
Ind. 184,0,Sb
Ind. 185,0,Sb
Ind. 186,0,Sb
Ind. 187,0,Sb
Ind. 188,0,Sb
Ind. 189,0,Sb
Ind. 190,0,Sb
Ind. 191,0,Sb
Ind. 192,0,Sb
Ind. 193,0,Sb
Ind. 194,0,Sb
Ind. 195,0,Sb
Ind. 196,0,Sb
Ind. 197,0,Sb
Ind. 198,0,Sb
Ind. 199,0,Sb
Ind. 200,0,Sb
Ind. 201,0,I
