"ID","t","DS"
"Ind. 1",10,"Sa"
"Ind. 1",20,"Sa"
"Ind. 1",30,"Sa"
"Ind. 1",40,"Sa"
"Ind. 1",50,"Sa"
"Ind. 1",60,"Ia"
"Ind. 1",70,"Ia"
"Ind. 1",80,"R"
"Ind. 1",90,"R"
"Ind. 1",100,"R"
"Ind. 2",10,"Sa"
"Ind. 2",20,"Sa"
"Ind. 2",30,"Sa"
"Ind. 2",40,"Sa"
"Ind. 2",50,"Sa"
"Ind. 2",60,"Sa"
"Ind. 2",70,"Sa"
"Ind. 2",80,"Sa"
"Ind. 2",90,"Sa"
"Ind. 2",100,"Sa"
"Ind. 3",10,"Sa"
"Ind. 3",20,"Sa"
"Ind. 3",30,"Sa"
"Ind. 3",40,"Sa"
"Ind. 3",50,"Sa"
"Ind. 3",60,"Ia"
"Ind. 3",70,"Ia"
"Ind. 3",80,"Ia"
"Ind. 3",90,"Ia"
"Ind. 3",100,"R"
"Ind. 4",10,"Sa"
"Ind. 4",20,"Sa"
"Ind. 4",30,"Sa"
"Ind. 4",40,"Sa"
"Ind. 4",50,"Sa"
"Ind. 4",60,"Sa"
"Ind. 4",70,"Ia"
"Ind. 4",80,"R"
"Ind. 4",90,"R"
"Ind. 4",100,"R"
"Ind. 5",10,"Sa"
"Ind. 5",20,"Sa"
"Ind. 5",30,"Sa"
"Ind. 5",40,"Sa"
"Ind. 5",50,"Sa"
"Ind. 5",60,"Ia"
"Ind. 5",70,"R"
"Ind. 5",80,"R"
"Ind. 5",90,"R"
"Ind. 5",100,"R"
"Ind. 6",10,"Sa"
"Ind. 6",20,"Sa"
"Ind. 6",30,"Sa"
"Ind. 6",40,"Sa"
"Ind. 6",50,"Sa"
"Ind. 6",60,"Sa"
"Ind. 6",70,"Sa"
"Ind. 6",80,"Sa"
"Ind. 6",90,"Sa"
"Ind. 6",100,"Sa"
"Ind. 7",10,"Sa"
"Ind. 7",20,"Sa"
"Ind. 7",30,"Sa"
"Ind. 7",40,"Sa"
"Ind. 7",50,"Ia"
"Ind. 7",60,"Ia"
"Ind. 7",70,"R"
"Ind. 7",80,"R"
"Ind. 7",90,"R"
"Ind. 7",100,"R"
"Ind. 8",10,"Sa"
"Ind. 8",20,"Sa"
"Ind. 8",30,"Sa"
"Ind. 8",40,"Sa"
"Ind. 8",50,"Ia"
"Ind. 8",60,"Ia"
"Ind. 8",70,"Ia"
"Ind. 8",80,"R"
"Ind. 8",90,"R"
"Ind. 8",100,"R"
"Ind. 9",10,"Sa"
"Ind. 9",20,"Ia"
"Ind. 9",30,"R"
"Ind. 9",40,"R"
"Ind. 9",50,"R"
"Ind. 9",60,"R"
"Ind. 9",70,"R"
"Ind. 9",80,"R"
"Ind. 9",90,"R"
"Ind. 9",100,"R"
"Ind. 10",10,"Sa"
"Ind. 10",20,"Sa"
"Ind. 10",30,"Sa"
"Ind. 10",40,"Sa"
"Ind. 10",50,"Sa"
"Ind. 10",60,"Sa"
"Ind. 10",70,"Ia"
"Ind. 10",80,"R"
"Ind. 10",90,"R"
"Ind. 10",100,"R"
"Ind. 11",10,"Sa"
"Ind. 11",20,"Sa"
"Ind. 11",30,"Sa"
"Ind. 11",40,"Sa"
"Ind. 11",50,"Sa"
"Ind. 11",60,"Ia"
"Ind. 11",70,"R"
"Ind. 11",80,"R"
"Ind. 11",90,"R"
"Ind. 11",100,"R"
"Ind. 12",10,"Sa"
"Ind. 12",20,"Sa"
"Ind. 12",30,"Sa"
"Ind. 12",40,"Sa"
"Ind. 12",50,"Ia"
"Ind. 12",60,"R"
"Ind. 12",70,"R"
"Ind. 12",80,"R"
"Ind. 12",90,"R"
"Ind. 12",100,"R"
"Ind. 13",10,"Sa"
"Ind. 13",20,"Sa"
"Ind. 13",30,"Sa"
"Ind. 13",40,"Sa"
"Ind. 13",50,"Ia"
"Ind. 13",60,"Ia"
"Ind. 13",70,"Ia"
"Ind. 13",80,"R"
"Ind. 13",90,"R"
"Ind. 13",100,"R"
"Ind. 14",10,"Sa"
"Ind. 14",20,"Sa"
"Ind. 14",30,"Sa"
"Ind. 14",40,"Sa"
"Ind. 14",50,"Sa"
"Ind. 14",60,"Sa"
"Ind. 14",70,"Sa"
"Ind. 14",80,"R"
"Ind. 14",90,"R"
"Ind. 14",100,"R"
"Ind. 15",10,"Sa"
"Ind. 15",20,"Ia"
"Ind. 15",30,"Ia"
"Ind. 15",40,"R"
"Ind. 15",50,"R"
"Ind. 15",60,"R"
"Ind. 15",70,"R"
"Ind. 15",80,"R"
"Ind. 15",90,"R"
"Ind. 15",100,"R"
"Ind. 16",10,"Sa"
"Ind. 16",20,"Sa"
"Ind. 16",30,"Sa"
"Ind. 16",40,"Sa"
"Ind. 16",50,"Sa"
"Ind. 16",60,"Sa"
"Ind. 16",70,"Sa"
"Ind. 16",80,"Ia"
"Ind. 16",90,"R"
"Ind. 16",100,"R"
"Ind. 17",10,"Sa"
"Ind. 17",20,"Sa"
"Ind. 17",30,"Sa"
"Ind. 17",40,"Sa"
"Ind. 17",50,"Sa"
"Ind. 17",60,"Sa"
"Ind. 17",70,"Sa"
"Ind. 17",80,"Ia"
"Ind. 17",90,"Ia"
"Ind. 17",100,"Ia"
"Ind. 18",10,"Sa"
"Ind. 18",20,"Sa"
"Ind. 18",30,"Sa"
"Ind. 18",40,"Sa"
"Ind. 18",50,"Sa"
"Ind. 18",60,"R"
"Ind. 18",70,"R"
"Ind. 18",80,"R"
"Ind. 18",90,"R"
"Ind. 18",100,"R"
"Ind. 19",10,"Sa"
"Ind. 19",20,"Sa"
"Ind. 19",30,"Sa"
"Ind. 19",40,"Sa"
"Ind. 19",50,"Sa"
"Ind. 19",60,"Ia"
"Ind. 19",70,"R"
"Ind. 19",80,"R"
"Ind. 19",90,"R"
"Ind. 19",100,"R"
"Ind. 20",10,"Sa"
"Ind. 20",20,"Sa"
"Ind. 20",30,"Sa"
"Ind. 20",40,"Sa"
"Ind. 20",50,"Sa"
