ID,t,DS
Ind-1,0,S^a
Ind-2,0,S^a
Ind-3,0,S^a
Ind-4,0,S^a
Ind-5,0,S^a
Ind-6,0,S^a
Ind-7,0,S^a
Ind-8,0,S^a
Ind-9,0,S^a
Ind-10,0,S^a
Ind-11,0,S^a
Ind-12,0,S^a
Ind-13,0,S^a
Ind-14,0,S^a
Ind-15,0,S^a
Ind-16,0,S^a
Ind-17,0,S^a
Ind-18,0,S^a
Ind-19,0,S^a
Ind-20,0,S^a
Ind-21,0,S^a
Ind-22,0,S^a
Ind-23,0,S^a
Ind-24,0,S^a
Ind-25,0,S^a
Ind-26,0,S^a
Ind-27,0,S^a
Ind-28,0,S^a
Ind-29,0,S^a
Ind-30,0,S^a
Ind-31,0,S^a
Ind-32,0,S^a
Ind-33,0,S^a
Ind-34,0,S^a
Ind-35,0,S^a
Ind-36,0,S^a
Ind-37,0,S^a
Ind-38,0,S^a
Ind-39,0,S^a
Ind-40,0,S^a
Ind-41,0,S^a
Ind-42,0,S^a
Ind-43,0,S^a
Ind-44,0,S^a
Ind-45,0,S^a
Ind-46,0,S^a
Ind-47,0,S^a
Ind-48,0,S^a
Ind-49,0,S^a
Ind-50,0,S^a
Ind-51,0,S^a
Ind-52,0,S^a
Ind-53,0,S^a
Ind-54,0,S^a
Ind-55,0,S^a
Ind-56,0,S^a
Ind-57,0,S^a
Ind-58,0,S^a
Ind-59,0,S^a
Ind-60,0,S^a
Ind-61,0,S^a
Ind-62,0,S^a
Ind-63,0,S^a
Ind-64,0,S^a
Ind-65,0,S^a
Ind-66,0,S^a
Ind-67,0,S^a
Ind-68,0,S^a
Ind-69,0,S^a
Ind-70,0,S^a
Ind-71,0,S^a
Ind-72,0,S^a
Ind-73,0,S^a
Ind-74,0,S^a
Ind-75,0,S^a
Ind-76,0,S^a
Ind-77,0,S^a
Ind-78,0,S^a
Ind-79,0,S^a
Ind-80,0,S^a
Ind-81,0,S^a
Ind-82,0,S^a
Ind-83,0,S^a
Ind-84,0,S^a
Ind-85,0,S^a
Ind-86,0,S^a
Ind-87,0,S^a
Ind-88,0,S^a
Ind-89,0,S^a
Ind-90,0,S^a
Ind-91,0,S^a
Ind-92,0,S^a
Ind-93,0,S^a
Ind-94,0,S^a
Ind-95,0,S^a
Ind-96,0,S^a
Ind-97,0,S^a
Ind-98,0,S^a
Ind-99,0,S^a
Ind-100,0,S^a
Ind-101,0,S^b
Ind-102,0,S^b
Ind-103,0,S^b
Ind-104,0,S^b
Ind-105,0,S^b
Ind-106,0,S^b
Ind-107,0,S^b
Ind-108,0,S^b
Ind-109,0,S^b
Ind-110,0,S^b
Ind-111,0,S^b
Ind-112,0,S^b
Ind-113,0,S^b
Ind-114,0,S^b
Ind-115,0,S^b
Ind-116,0,S^b
Ind-117,0,S^b
Ind-118,0,S^b
Ind-119,0,S^b
Ind-120,0,S^b
Ind-121,0,S^b
Ind-122,0,S^b
Ind-123,0,S^b
Ind-124,0,S^b
Ind-125,0,S^b
Ind-126,0,S^b
Ind-127,0,S^b
Ind-128,0,S^b
Ind-129,0,S^b
Ind-130,0,S^b
Ind-131,0,S^b
Ind-132,0,S^b
Ind-133,0,S^b
Ind-134,0,S^b
Ind-135,0,S^b
Ind-136,0,S^b
Ind-137,0,S^b
Ind-138,0,S^b
Ind-139,0,S^b
Ind-140,0,S^b
Ind-141,0,S^b
Ind-142,0,S^b
Ind-143,0,S^b
Ind-144,0,S^b
Ind-145,0,S^b
Ind-146,0,S^b
Ind-147,0,S^b
Ind-148,0,S^b
Ind-149,0,S^b
Ind-150,0,S^b
Ind-151,0,S^b
Ind-152,0,S^b
Ind-153,0,S^b
Ind-154,0,S^b
Ind-155,0,S^b
Ind-156,0,S^b
Ind-157,0,S^b
Ind-158,0,S^b
Ind-159,0,S^b
Ind-160,0,S^b
Ind-161,0,S^b
Ind-162,0,S^b
Ind-163,0,S^b
Ind-164,0,S^b
Ind-165,0,S^b
Ind-166,0,S^b
Ind-167,0,S^b
Ind-168,0,S^b
Ind-169,0,S^b
Ind-170,0,S^b
Ind-171,0,S^b
Ind-172,0,S^b
Ind-173,0,S^b
Ind-174,0,S^b
Ind-175,0,S^b
Ind-176,0,S^b
Ind-177,0,S^b
Ind-178,0,S^b
Ind-179,0,S^b
Ind-180,0,S^b
Ind-181,0,S^b
Ind-182,0,S^b
Ind-183,0,S^b
Ind-184,0,S^b
Ind-185,0,S^b
Ind-186,0,S^b
Ind-187,0,S^b
Ind-188,0,S^b
Ind-189,0,S^b
Ind-190,0,S^b
Ind-191,0,S^b
Ind-192,0,S^b
Ind-193,0,S^b
Ind-194,0,S^b
Ind-195,0,S^b
Ind-196,0,S^b
Ind-197,0,S^b
Ind-198,0,S^b
Ind-199,0,S^b
Ind-200,0,S^b
Ind-201,0,I
