ID,t,DS
Ind-1,10,S^a
Ind-1,20,S^a
Ind-1,30,S^a
Ind-1,40,S^a
Ind-1,50,S^a
Ind-1,60,I^a
Ind-1,70,I^a
Ind-1,80,R
Ind-1,90,R
Ind-1,100,R
Ind-2,10,S^a
Ind-2,20,S^a
Ind-2,30,S^a
Ind-2,40,S^a
Ind-2,50,S^a
Ind-2,60,S^a
Ind-2,70,S^a
Ind-2,80,S^a
Ind-2,90,S^a
Ind-2,100,S^a
Ind-3,10,S^a
Ind-3,20,S^a
Ind-3,30,S^a
Ind-3,40,S^a
Ind-3,50,S^a
Ind-3,60,I^a
Ind-3,70,I^a
Ind-3,80,I^a
Ind-3,90,I^a
Ind-3,100,R
Ind-4,10,S^a
Ind-4,20,S^a
Ind-4,30,S^a
Ind-4,40,S^a
Ind-4,50,S^a
Ind-4,60,S^a
Ind-4,70,I^a
Ind-4,80,R
Ind-4,90,R
Ind-4,100,R
Ind-5,10,S^a
Ind-5,20,S^a
Ind-5,30,S^a
Ind-5,40,S^a
Ind-5,50,S^a
Ind-5,60,I^a
Ind-5,70,R
Ind-5,80,R
Ind-5,90,R
Ind-5,100,R
Ind-6,10,S^a
Ind-6,20,S^a
Ind-6,30,S^a
Ind-6,40,S^a
Ind-6,50,S^a
Ind-6,60,S^a
Ind-6,70,S^a
Ind-6,80,S^a
Ind-6,90,S^a
Ind-6,100,S^a
Ind-7,10,S^a
Ind-7,20,S^a
Ind-7,30,S^a
Ind-7,40,S^a
Ind-7,50,I^a
Ind-7,60,I^a
Ind-7,70,R
Ind-7,80,R
Ind-7,90,R
Ind-7,100,R
Ind-8,10,S^a
Ind-8,20,S^a
Ind-8,30,S^a
Ind-8,40,S^a
Ind-8,50,I^a
Ind-8,60,I^a
Ind-8,70,I^a
Ind-8,80,R
Ind-8,90,R
Ind-8,100,R
Ind-9,10,S^a
Ind-9,20,I^a
Ind-9,30,R
Ind-9,40,R
Ind-9,50,R
Ind-9,60,R
Ind-9,70,R
Ind-9,80,R
Ind-9,90,R
Ind-9,100,R
Ind-10,10,S^a
Ind-10,20,S^a
Ind-10,30,S^a
Ind-10,40,S^a
Ind-10,50,S^a
Ind-10,60,S^a
Ind-10,70,I^a
Ind-10,80,R
Ind-10,90,R
Ind-10,100,R
Ind-11,10,S^a
Ind-11,20,S^a
Ind-11,30,S^a
Ind-11,40,S^a
Ind-11,50,S^a
Ind-11,60,I^a
Ind-11,70,R
Ind-11,80,R
Ind-11,90,R
Ind-11,100,R
Ind-12,10,S^a
Ind-12,20,S^a
Ind-12,30,S^a
Ind-12,40,S^a
Ind-12,50,I^a
Ind-12,60,R
Ind-12,70,R
Ind-12,80,R
Ind-12,90,R
Ind-12,100,R
Ind-13,10,S^a
Ind-13,20,S^a
Ind-13,30,S^a
Ind-13,40,S^a
Ind-13,50,I^a
Ind-13,60,I^a
Ind-13,70,I^a
Ind-13,80,R
Ind-13,90,R
Ind-13,100,R
Ind-14,10,S^a
Ind-14,20,S^a
Ind-14,30,S^a
Ind-14,40,S^a
Ind-14,50,S^a
Ind-14,60,S^a
Ind-14,70,S^a
Ind-14,80,R
Ind-14,90,R
Ind-14,100,R
Ind-15,10,S^a
Ind-15,20,I^a
Ind-15,30,I^a
Ind-15,40,R
Ind-15,50,R
Ind-15,60,R
Ind-15,70,R
Ind-15,80,R
Ind-15,90,R
Ind-15,100,R
Ind-16,10,S^a
Ind-16,20,S^a
Ind-16,30,S^a
Ind-16,40,S^a
Ind-16,50,S^a
Ind-16,60,S^a
Ind-16,70,S^a
Ind-16,80,I^a
Ind-16,90,R
Ind-16,100,R
Ind-17,10,S^a
Ind-17,20,S^a
Ind-17,30,S^a
Ind-17,40,S^a
Ind-17,50,S^a
Ind-17,60,S^a
Ind-17,70,S^a
Ind-17,80,I^a
Ind-17,90,I^a
Ind-17,100,I^a
Ind-18,10,S^a
Ind-18,20,S^a
Ind-18,30,S^a
Ind-18,40,S^a
Ind-18,50,S^a
Ind-18,60,R
Ind-18,70,R
Ind-18,80,R
Ind-18,90,R
Ind-18,100,R
Ind-19,10,S^a
Ind-19,20,S^a
Ind-19,30,S^a
Ind-19,40,S^a
Ind-19,50,S^a
Ind-19,60,I^a
Ind-19,70,R
Ind-19,80,R
Ind-19,90,R
Ind-19,100,R
Ind-20,10,S^a
Ind-20,20,S^a
Ind-20,30,S^a
Ind-20,40,S^a
Ind-20,50,S^a
Ind-20,60,S^a
Ind-20,70,S^a
Ind-20,80,S^a
Ind-20,90,S^a
Ind-20,100,I^a
Ind-21,10,S^a
Ind-21,20,S^a
Ind-21,30,S^a
Ind-21,40,S^a
Ind-21,50,S^a
Ind-21,60,R
Ind-21,70,R
Ind-21,80,R
Ind-21,90,R
Ind-21,100,R
Ind-22,10,S^a
Ind-22,20,S^a
Ind-22,30,S^a
Ind-22,40,S^a
Ind-22,50,R
Ind-22,60,R
Ind-22,70,R
Ind-22,80,R
Ind-22,90,R
Ind-22,100,R
Ind-23,10,S^a
Ind-23,20,S^a
Ind-23,30,S^a
Ind-23,40,S^a
Ind-23,50,S^a
Ind-23,60,S^a
Ind-23,70,S^a
Ind-23,80,S^a
Ind-23,90,S^a
Ind-23,100,I^a
Ind-24,10,S^a
Ind-24,20,S^a
Ind-24,30,S^a
Ind-24,40,S^a
Ind-24,50,S^a
Ind-24,60,S^a
Ind-24,70,I^a
Ind-24,80,R
Ind-24,90,R
Ind-24,100,R
Ind-25,10,S^a
Ind-25,20,S^a
Ind-25,30,S^a
Ind-25,40,S^a
Ind-25,50,S^a
Ind-25,60,I^a
Ind-25,70,I^a
Ind-25,80,R
Ind-25,90,R
Ind-25,100,R
Ind-26,10,S^a
Ind-26,20,S^a
Ind-26,30,S^a
Ind-26,40,S^a
Ind-26,50,S^a
Ind-26,60,S^a
Ind-26,70,I^a
Ind-26,80,I^a
Ind-26,90,R
Ind-26,100,R
Ind-27,10,S^a
Ind-27,20,S^a
Ind-27,30,S^a
Ind-27,40,S^a
