"ID","t","DS"
"Ind-1",0,"S:0.98|I:0.02"
"Ind-2",0,"S:0.98|I:0.02"
"Ind-3",0,"S:0.98|I:0.02"
"Ind-4",0,"S:0.98|I:0.02"
"Ind-5",0,"S:0.98|I:0.02"
"Ind-6",0,"S:0.98|I:0.02"
"Ind-7",0,"S:0.98|I:0.02"
"Ind-8",0,"S:0.98|I:0.02"
"Ind-9",0,"S:0.98|I:0.02"
"Ind-10",0,"S:0.98|I:0.02"
"Ind-11",0,"S:0.98|I:0.02"
"Ind-12",0,"S:0.98|I:0.02"
"Ind-13",0,"S:0.98|I:0.02"
"Ind-14",0,"S:0.98|I:0.02"
"Ind-15",0,"S:0.98|I:0.02"
"Ind-16",0,"S:0.98|I:0.02"
"Ind-17",0,"S:0.98|I:0.02"
"Ind-18",0,"S:0.98|I:0.02"
"Ind-19",0,"S:0.98|I:0.02"
"Ind-20",0,"S:0.98|I:0.02"
"Ind-21",0,"S:0.98|I:0.02"
"Ind-22",0,"S:0.98|I:0.02"
"Ind-23",0,"S:0.98|I:0.02"
"Ind-24",0,"S:0.98|I:0.02"
"Ind-25",0,"S:0.98|I:0.02"
"Ind-26",0,"S:0.98|I:0.02"
"Ind-27",0,"S:0.98|I:0.02"
"Ind-28",0,"S:0.98|I:0.02"
"Ind-29",0,"S:0.98|I:0.02"
"Ind-30",0,"S:0.98|I:0.02"
"Ind-31",0,"S:0.98|I:0.02"
"Ind-32",0,"S:0.98|I:0.02"
"Ind-33",0,"S:0.98|I:0.02"
"Ind-34",0,"S:0.98|I:0.02"
"Ind-35",0,"S:0.98|I:0.02"
"Ind-36",0,"S:0.98|I:0.02"
"Ind-37",0,"S:0.98|I:0.02"
"Ind-38",0,"S:0.98|I:0.02"
"Ind-39",0,"S:0.98|I:0.02"
"Ind-40",0,"S:0.98|I:0.02"
"Ind-41",0,"S:0.98|I:0.02"
"Ind-42",0,"S:0.98|I:0.02"
"Ind-43",0,"S:0.98|I:0.02"
"Ind-44",0,"S:0.98|I:0.02"
"Ind-45",0,"S:0.98|I:0.02"
"Ind-46",0,"S:0.98|I:0.02"
"Ind-47",0,"S:0.98|I:0.02"
"Ind-48",0,"S:0.98|I:0.02"
"Ind-49",0,"S:0.98|I:0.02"
"Ind-50",0,"S:0.98|I:0.02"
"Ind-51",0,"S:0.98|I:0.02"
"Ind-52",0,"S:0.98|I:0.02"
"Ind-53",0,"S:0.98|I:0.02"
"Ind-54",0,"S:0.98|I:0.02"
"Ind-55",0,"S:0.98|I:0.02"
"Ind-56",0,"S:0.98|I:0.02"
"Ind-57",0,"S:0.98|I:0.02"
"Ind-58",0,"S:0.98|I:0.02"
"Ind-59",0,"S:0.98|I:0.02"
"Ind-60",0,"S:0.98|I:0.02"
"Ind-61",0,"S:0.98|I:0.02"
"Ind-62",0,"S:0.98|I:0.02"
"Ind-63",0,"S:0.98|I:0.02"
"Ind-64",0,"S:0.98|I:0.02"
"Ind-65",0,"S:0.98|I:0.02"
"Ind-66",0,"S:0.98|I:0.02"
"Ind-67",0,"S:0.98|I:0.02"
"Ind-68",0,"S:0.98|I:0.02"
"Ind-69",0,"S:0.98|I:0.02"
"Ind-70",0,"S:0.98|I:0.02"
"Ind-71",0,"S:0.98|I:0.02"
"Ind-72",0,"S:0.98|I:0.02"
"Ind-73",0,"S:0.98|I:0.02"
"Ind-74",0,"S:0.98|I:0.02"
"Ind-75",0,"S:0.98|I:0.02"
"Ind-76",0,"S:0.98|I:0.02"
"Ind-77",0,"S:0.98|I:0.02"
"Ind-78",0,"S:0.98|I:0.02"
"Ind-79",0,"S:0.98|I:0.02"
"Ind-80",0,"S:0.98|I:0.02"
"Ind-81",0,"S:0.98|I:0.02"
"Ind-82",0,"S:0.98|I:0.02"
"Ind-83",0,"S:0.98|I:0.02"
"Ind-84",0,"S:0.98|I:0.02"
"Ind-85",0,"S:0.98|I:0.02"
"Ind-86",0,"S:0.98|I:0.02"
"Ind-87",0,"S:0.98|I:0.02"
"Ind-88",0,"S:0.98|I:0.02"
"Ind-89",0,"S:0.98|I:0.02"
"Ind-90",0,"S:0.98|I:0.02"
"Ind-91",0,"S:0.98|I:0.02"
"Ind-92",0,"S:0.98|I:0.02"
"Ind-93",0,"S:0.98|I:0.02"
"Ind-94",0,"S:0.98|I:0.02"
"Ind-95",0,"S:0.98|I:0.02"
"Ind-96",0,"S:0.98|I:0.02"
"Ind-97",0,"S:0.98|I:0.02"
"Ind-98",0,"S:0.98|I:0.02"
"Ind-99",0,"S:0.98|I:0.02"
"Ind-100",0,"S:0.98|I:0.02"
"Ind-101",0,"S:0.98|I:0.02"
"Ind-102",0,"S:0.98|I:0.02"
"Ind-103",0,"S:0.98|I:0.02"
"Ind-104",0,"S:0.98|I:0.02"
"Ind-105",0,"S:0.98|I:0.02"
"Ind-106",0,"S:0.98|I:0.02"
"Ind-107",0,"S:0.98|I:0.02"
"Ind-108",0,"S:0.98|I:0.02"
"Ind-109",0,"S:0.98|I:0.02"
"Ind-110",0,"S:0.98|I:0.02"
"Ind-111",0,"S:0.98|I:0.02"
"Ind-112",0,"S:0.98|I:0.02"
"Ind-113",0,"S:0.98|I:0.02"
"Ind-114",0,"S:0.98|I:0.02"
"Ind-115",0,"S:0.98|I:0.02"
"Ind-116",0,"S:0.98|I:0.02"
"Ind-117",0,"S:0.98|I:0.02"
"Ind-118",0,"S:0.98|I:0.02"
"Ind-119",0,"S:0.98|I:0.02"
"Ind-120",0,"S:0.98|I:0.02"
"Ind-121",0,"S:0.98|I:0.02"
