"ID","t"
"Sim-People-Ind-1",28.6311
"Sim-People-Ind-2",54.2456
"Sim-People-Ind-3",18.7395
"Sim-People-Ind-4",37.4173
"Sim-People-Ind-6",30.7563
"Sim-People-Ind-7",49.5359
"Sim-People-Ind-8",29.4334
"Sim-People-Ind-9",23.5223
"Sim-People-Ind-10",38.7702
"Sim-People-Ind-11",43.6177
"Sim-People-Ind-12",18.9157
"Sim-People-Ind-14",37.945
"Sim-People-Ind-15",23.7319
"Sim-People-Ind-17",33.2188
"Sim-People-Ind-18",16.7673
"Sim-People-Ind-19",21.5333
"Sim-People-Ind-20",28.0088
"Sim-People-Ind-21",20.7564
"Sim-People-Ind-22",21.116
"Sim-People-Ind-23",41.3501
"Sim-People-Ind-24",34.6793
"Sim-People-Ind-25",18.6233
"Sim-People-Ind-26",45.311
"Sim-People-Ind-27",32.1937
"Sim-People-Ind-29",32.5803
"Sim-People-Ind-30",5.71729
"Sim-People-Ind-31",4.65645
"Sim-People-Ind-32",31.7606
"Sim-People-Ind-33",33.0851
"Sim-People-Ind-34",17.8504
"Sim-People-Ind-36",76.1077
"Sim-People-Ind-37",32.7212
"Sim-People-Ind-38",38.3934
"Sim-People-Ind-39",34.322
"Sim-People-Ind-40",32.1756
"Sim-People-Ind-41",17.8198
"Sim-People-Ind-42",20.8998
"Sim-People-Ind-43",37.9377
"Sim-People-Ind-44",25.7334
"Sim-People-Ind-45",20.3854
"Sim-People-Ind-46",30.6233
"Sim-People-Ind-47",18.1412
"Sim-People-Ind-48",28.3778
"Sim-People-Ind-49",29.1868
"Sim-People-Ind-50",18.3805
"Sim-People-Ind-52",15.5671
"Sim-People-Ind-53",45.8815
"Sim-People-Ind-54",19.0264
"Sim-People-Ind-55",38.4249
"Sim-People-Ind-56",37.1887
"Sim-People-Ind-57",29.7023
"Sim-People-Ind-58",29.2497
"Sim-People-Ind-59",20.9278
"Sim-People-Ind-60",21.8902
"Sim-People-Ind-61",31.5559
"Sim-People-Ind-62",3.44942
"Sim-People-Ind-63",14.9217
"Sim-People-Ind-64",18.3132
"Sim-People-Ind-65",24.851
"Sim-People-Ind-66",27.9962
"Sim-People-Ind-67",24.7419
"Sim-People-Ind-68",43.6168
"Sim-People-Ind-69",22.4497
"Sim-People-Ind-70",19.2614
"Sim-People-Ind-71",26.9128
"Sim-People-Ind-72",22.0152
"Sim-People-Ind-73",10.9734
"Sim-People-Ind-74",30.2784
"Sim-People-Ind-75",23.0515
"Sim-People-Ind-76",70.6153
"Sim-People-Ind-77",39.0474
"Sim-People-Ind-78",31.3328
"Sim-People-Ind-79",44.2576
"Sim-People-Ind-80",34.3384
"Sim-People-Ind-81",33.4335
"Sim-People-Ind-82",18.9235
"Sim-People-Ind-83",20.2458
"Sim-People-Ind-84",31.8532
"Sim-People-Ind-85",35.7715
"Sim-People-Ind-86",11.952
"Sim-People-Ind-87",64.6343
"Sim-People-Ind-88",45.2657
"Sim-People-Ind-89",21.1566
"Sim-People-Ind-90",37.0194
"Sim-People-Ind-91",68.839
"Sim-People-Ind-93",15.8228
"Sim-People-Ind-94",22.9532
"Sim-People-Ind-95",18.5448
"Sim-People-Ind-96",25.855
"Sim-People-Ind-97",31.9338
"Sim-People-Ind-98",39.2845
"Sim-People-Ind-100",21.7488
"Sim-People-Ind-101",22.8414
