"ID","t"
"Sim-People-Ind-3",13.6772
"Sim-People-Ind-18",12.5795
"Sim-People-Ind-25",5.95584
"Sim-People-Ind-39",12.0531
"Sim-People-Ind-40",14.656
"Sim-People-Ind-45",10.8301
"Sim-People-Ind-46",13.5146
"Sim-People-Ind-52",11.6638
"Sim-People-Ind-53",8.80933
"Sim-People-Ind-59",14.6216
"Sim-People-Ind-63",7.7276
"Sim-People-Ind-64",6.76441
"Sim-People-Ind-68",14.8027
"Sim-People-Ind-69",14.0577
"Sim-People-Ind-70",14.8042
"Sim-People-Ind-71",10.2936
"Sim-People-Ind-72",12.1864
"Sim-People-Ind-82",13.5462
"Sim-People-Ind-85",14.5852
"Sim-People-Ind-86",9.10651
"Sim-People-Ind-96",13.1205
