"ID","t"
"Sim-People-Ind-1",14.2988
"Sim-People-Ind-7",80.7988
"Sim-People-Ind-8",16.7841
"Sim-People-Ind-10",39.0309
"Sim-People-Ind-12",39.7942
"Sim-People-Ind-15",30.4809
"Sim-People-Ind-16",57.1198
"Sim-People-Ind-17",62.5513
"Sim-People-Ind-19",42.7387
"Sim-People-Ind-20",47.0803
"Sim-People-Ind-21",29.9987
"Sim-People-Ind-24",42.7788
"Sim-People-Ind-25",62.5913
"Sim-People-Ind-27",59.5502
"Sim-People-Ind-28",30.0014
"Sim-People-Ind-31",18.3027
"Sim-People-Ind-33",71.2591
"Sim-People-Ind-37",35.1975
"Sim-People-Ind-38",57.9847
"Sim-People-Ind-42",42.9075
"Sim-People-Ind-43",53.2524
"Sim-People-Ind-45",42.8124
"Sim-People-Ind-47",28.5155
"Sim-People-Ind-48",54.7822
"Sim-People-Ind-50",64.6156
"Sim-People-Ind-51",13.8117
"Sim-People-Ind-52",55.1001
"Sim-People-Ind-56",38.8947
"Sim-People-Ind-58",51.2578
"Sim-People-Ind-59",68.8667
"Sim-People-Ind-61",55.334
"Sim-People-Ind-66",47.7019
"Sim-People-Ind-67",45.0889
"Sim-People-Ind-68",32.3351
"Sim-People-Ind-69",41.4378
"Sim-People-Ind-70",71.6959
"Sim-People-Ind-71",31.8588
"Sim-People-Ind-72",14.275
"Sim-People-Ind-73",52.8744
"Sim-People-Ind-74",36.7964
"Sim-People-Ind-75",39.6493
"Sim-People-Ind-76",38.0746
"Sim-People-Ind-78",55.8331
"Sim-People-Ind-79",56.9529
"Sim-People-Ind-80",29.0748
"Sim-People-Ind-81",85.8516
"Sim-People-Ind-82",39.9892
"Sim-People-Ind-83",11.0733
"Sim-People-Ind-85",11.4629
"Sim-People-Ind-86",83.9166
"Sim-People-Ind-87",65.408
"Sim-People-Ind-88",47.3413
"Sim-People-Ind-89",38.5808
"Sim-People-Ind-90",28.4814
"Sim-People-Ind-93",26.4793
"Sim-People-Ind-94",44.6786
"Sim-People-Ind-95",26.4554
"Sim-People-Ind-96",73.0605
"Sim-People-Ind-98",60.1872
"Sim-People-Ind-99",48.6616
"Sim-People-Ind-101",9.24139
"Sim-People-Ind-102",11.7092
