ID,value
"Ind-1",-0.390263
"Ind-2",-0.584289
"Ind-3",0.498673
"Ind-4",-0.289191
"Ind-5",0.023597
"Ind-6",0.3113
"Ind-7",1.49112
"Ind-8",-1.01442
"Ind-9",0.131154
"Ind-10",-0.297845
"Ind-11",0.524619
"Ind-12",1.84786
"Ind-13",-2.38891
"Ind-14",1.5242
"Ind-15",-0.806152
"Ind-16",-0.638961
"Ind-17",0.832508
"Ind-18",-2.01081
"Ind-19",-0.31354
"Ind-20",-1.12655
"Ind-21",-1.40829
"Ind-22",2.44942
"Ind-23",-0.426561
"Ind-24",2.61002
"Ind-25",0.893124
"Ind-26",1.192
"Ind-27",1.21236
"Ind-28",1.49951
"Ind-29",-0.107643
"Ind-30",-0.283277
"Ind-31",-0.798809
"Ind-32",-0.160596
"Ind-33",0.68369
"Ind-34",-0.707411
"Ind-35",0.123652
"Ind-36",1.18339
"Ind-37",-0.496406
"Ind-38",-0.647019
"Ind-39",-0.0307732
"Ind-40",-1.35136
"Ind-41",0.763023
"Ind-42",-0.92189
"Ind-43",0.523952
"Ind-44",-2.84685
"Ind-45",-0.119209
"Ind-46",0.820385
"Ind-47",0.14949
"Ind-48",0.121871
"Ind-49",0.73488
"Ind-50",1.59728
"Ind-51",-0.411764
"Ind-52",-0.296876
"Ind-53",0.498607
"Ind-54",-0.892868
"Ind-55",-0.695551
"Ind-56",0.716115
"Ind-57",-0.154305
"Ind-58",-0.311196
"Ind-59",-1.18965
"Ind-60",1.10532
"Ind-61",-1.67634
"Ind-62",-0.845177
"Ind-63",1.15878
"Ind-64",0.902916
"Ind-65",1.3761
"Ind-66",0.667707
"Ind-67",-0.181066
"Ind-68",0.584977
"Ind-69",-0.0929334
"Ind-70",0.399974
"Ind-71",1.49287
"Ind-72",0.647533
"Ind-73",-0.0000950307
"Ind-74",0.831905
"Ind-75",-0.537994
"Ind-76",-0.194671
"Ind-77",0.109283
"Ind-78",-0.872199
"Ind-79",-0.570755
"Ind-80",1.01428
"Ind-81",1.64256
"Ind-82",-0.524398
"Ind-83",1.01189
"Ind-84",-0.952084
"Ind-85",-0.0699807
"Ind-86",0.445739
"Ind-87",-1.45957
"Ind-88",1.79739
"Ind-89",-1.64571
"Ind-90",0.400119
"Ind-91",0.533665
"Ind-92",-0.187997
"Ind-93",-1.50452
"Ind-94",0.788709
"Ind-95",0.33448
"Ind-96",-1.09746
"Ind-97",-0.84984
"Ind-98",-0.427056
"Ind-99",-0.501511
"Ind-100",-0.670633
"Ind-101",0.882527
"Ind-102",-1.05279
"Ind-103",0.134814
"Ind-104",1.26143
"Ind-105",-0.521476
"Ind-106",0.243842
"Ind-107",-0.498819
"Ind-108",0.318554
"Ind-109",-0.206262
"Ind-110",1.10421
"Ind-111",0.170378
"Ind-112",0.542036
"Ind-113",-1.32466
"Ind-114",-0.718354
"Ind-115",-0.587905
"Ind-116",-2.58697
"Ind-117",2.0697
"Ind-118",1.90091
"Ind-119",-1.29903
"Ind-120",-0.694608
"Ind-121",-0.191851
"Ind-122",-0.136293
"Ind-123",-0.279408
"Ind-124",1.26484
"Ind-125",1.37983
"Ind-126",2.11817
"Ind-127",-0.876052
"Ind-128",0.519605
"Ind-129",1.11485
"Ind-130",0.508175
"Ind-131",-0.501854
"Ind-132",-1.71161
"Ind-133",0.534131
"Ind-134",-0.0824949
"Ind-135",-0.604218
"Ind-136",0.115237
"Ind-137",-1.11627
"Ind-138",-0.853273
"Ind-139",-0.711469
"Ind-140",0.654392
"Ind-141",0.534448
"Ind-142",-0.715021
"Ind-143",0.397684
"Ind-144",1.73623
"Ind-145",-0.885301
"Ind-146",-1.54433
"Ind-147",0.72531
"Ind-148",-2.07547
"Ind-149",-0.450935
"Ind-150",0.719389
"Ind-151",0.129556
"Ind-152",-0.918377
"Ind-153",0.6674
"Ind-154",-2.21557
"Ind-155",-0.503992
"Ind-156",1.188
"Ind-157",0.390986
"Ind-158",-0.47313
"Ind-159",-0.355441
"Ind-160",-0.828221
"Ind-161",1.809
"Ind-162",-1.22966
"Ind-163",1.95104
"Ind-164",0.0837223
"Ind-165",2.52071
"Ind-166",-0.878568
"Ind-167",-1.15576
"Ind-168",0.961825
"Ind-169",-0.677882
"Ind-170",-1.17652
"Ind-171",-1.01193
"Ind-172",0.185589
"Ind-173",1.70537
"Ind-174",1.79787
"Ind-175",0.967907
"Ind-176",-1.17734
"Ind-177",1.08836
"Ind-178",-1.33122
"Ind-179",0.16381
"Ind-180",1.26821
"Ind-181",1.21093
"Ind-182",-0.508017
"Ind-183",0.646509
"Ind-184",0.0209286
"Ind-185",-1.1169
"Ind-186",0.588912
"Ind-187",-0.387948
"Ind-188",0.925075
"Ind-189",1.20466
"Ind-190",-0.537871
"Ind-191",-1.71774
"Ind-192",-0.662543
"Ind-193",-0.371387
"Ind-194",-0.573886
"Ind-195",-0.55173
"Ind-196",0.550392
"Ind-197",0.616011
"Ind-198",-0.569921
"Ind-199",-0.0151731
"Ind-200",-0.25244
"Ind-201",0.632941
"Ind-202",-1.32383
"Ind-203",-0.313227
"Ind-204",1.34588
"Ind-205",-1.90333
"Ind-206",-0.996959
"Ind-207",0.516871
"Ind-208",-0.646773
"Ind-209",-0.419798
"Ind-210",0.0729937
"Ind-211",2.22739
"Ind-212",-0.469712
"Ind-213",-0.165097
"Ind-214",0.55471
"Ind-215",0.273553
"Ind-216",0.803724
"Ind-217",-1.31575
"Ind-218",-0.332248
"Ind-219",2.52049
"Ind-220",-0.795572
"Ind-221",0.141514
"Ind-222",-0.996021
"Ind-223",0.620159
"Ind-224",-0.172838
"Ind-225",0.355575
"Ind-226",-1.26868
"Ind-227",-0.9209
"Ind-228",-0.225583
"Ind-229",0.459212
"Ind-230",-0.392039
"Ind-231",-0.836448
"Ind-232",0.636062
"Ind-233",0.381094
"Ind-234",0.0722427
"Ind-235",-1.14162
"Ind-236",0.263661
"Ind-237",-1.04928
"Ind-238",-0.922065
"Ind-239",-1.90806
"Ind-240",0.544505
