"ID","t","DS","Group"
"Ind-1","start","I","G1"
"Ind-2","start","I","G1"
"Ind-3","start","S","G1"
"Ind-4","start","S","G1"
"Ind-5","start","S","G1"
"Ind-6","start","S","G1"
"Ind-7","start","S","G1"
"Ind-8","start","S","G1"
"Ind-9","start","S","G1"
"Ind-10","start","S","G1"
"Ind-11","start","I","G2"
"Ind-12","start","I","G2"
"Ind-13","start","S","G2"
"Ind-14","start","S","G2"
"Ind-15","start","S","G2"
"Ind-16","start","S","G2"
"Ind-17","start","S","G2"
"Ind-18","start","S","G2"
"Ind-19","start","S","G2"
"Ind-20","start","S","G2"
"Ind-21","start","I","G3"
"Ind-22","start","I","G3"
"Ind-23","start","S","G3"
"Ind-24","start","S","G3"
"Ind-25","start","S","G3"
"Ind-26","start","S","G3"
"Ind-27","start","S","G3"
"Ind-28","start","S","G3"
"Ind-29","start","S","G3"
"Ind-30","start","S","G3"
"Ind-31","start","I","G4"
"Ind-32","start","I","G4"
"Ind-33","start","S","G4"
"Ind-34","start","S","G4"
"Ind-35","start","S","G4"
"Ind-36","start","S","G4"
"Ind-37","start","S","G4"
"Ind-38","start","S","G4"
"Ind-39","start","S","G4"
"Ind-40","start","S","G4"
"Ind-41","start","I","G5"
"Ind-42","start","I","G5"
"Ind-43","start","S","G5"
"Ind-44","start","S","G5"
"Ind-45","start","S","G5"
"Ind-46","start","S","G5"
"Ind-47","start","S","G5"
"Ind-48","start","S","G5"
"Ind-49","start","S","G5"
"Ind-50","start","S","G5"
"Ind-51","start","I","G6"
"Ind-52","start","I","G6"
"Ind-53","start","S","G6"
"Ind-54","start","S","G6"
"Ind-55","start","S","G6"
"Ind-56","start","S","G6"
"Ind-57","start","S","G6"
"Ind-58","start","S","G6"
"Ind-59","start","S","G6"
"Ind-60","start","S","G6"
"Ind-61","start","I","G7"
"Ind-62","start","I","G7"
"Ind-63","start","S","G7"
"Ind-64","start","S","G7"
"Ind-65","start","S","G7"
"Ind-66","start","S","G7"
"Ind-67","start","S","G7"
"Ind-68","start","S","G7"
"Ind-69","start","S","G7"
"Ind-70","start","S","G7"
"Ind-71","start","I","G8"
"Ind-72","start","I","G8"
"Ind-73","start","S","G8"
"Ind-74","start","S","G8"
"Ind-75","start","S","G8"
"Ind-76","start","S","G8"
"Ind-77","start","S","G8"
"Ind-78","start","S","G8"
"Ind-79","start","S","G8"
"Ind-80","start","S","G8"
"Ind-81","start","I","G9"
"Ind-82","start","I","G9"
"Ind-83","start","S","G9"
"Ind-84","start","S","G9"
"Ind-85","start","S","G9"
"Ind-86","start","S","G9"
"Ind-87","start","S","G9"
