"ID","t","DS","Group"
"Ind-1",0,"I","G1"
"Ind-2",0,"I","G1"
"Ind-3",0,"S","G1"
"Ind-4",0,"S","G1"
"Ind-5",0,"S","G1"
"Ind-6",0,"S","G1"
"Ind-7",0,"S","G1"
"Ind-8",0,"S","G1"
"Ind-9",0,"S","G1"
"Ind-10",0,"S","G1"
"Ind-11",0,"I","G2"
"Ind-12",0,"I","G2"
"Ind-13",0,"S","G2"
"Ind-14",0,"S","G2"
"Ind-15",0,"S","G2"
"Ind-16",0,"S","G2"
"Ind-17",0,"S","G2"
"Ind-18",0,"S","G2"
"Ind-19",0,"S","G2"
"Ind-20",0,"S","G2"
"Ind-21",0,"I","G3"
"Ind-22",0,"I","G3"
"Ind-23",0,"S","G3"
"Ind-24",0,"S","G3"
"Ind-25",0,"S","G3"
"Ind-26",0,"S","G3"
"Ind-27",0,"S","G3"
"Ind-28",0,"S","G3"
"Ind-29",0,"S","G3"
"Ind-30",0,"S","G3"
"Ind-31",0,"I","G4"
"Ind-32",0,"I","G4"
"Ind-33",0,"S","G4"
"Ind-34",0,"S","G4"
"Ind-35",0,"S","G4"
"Ind-36",0,"S","G4"
"Ind-37",0,"S","G4"
"Ind-38",0,"S","G4"
"Ind-39",0,"S","G4"
"Ind-40",0,"S","G4"
"Ind-41",0,"I","G5"
"Ind-42",0,"I","G5"
"Ind-43",0,"S","G5"
"Ind-44",0,"S","G5"
"Ind-45",0,"S","G5"
"Ind-46",0,"S","G5"
"Ind-47",0,"S","G5"
"Ind-48",0,"S","G5"
"Ind-49",0,"S","G5"
"Ind-50",0,"S","G5"
"Ind-51",0,"I","G6"
"Ind-52",0,"I","G6"
"Ind-53",0,"S","G6"
"Ind-54",0,"S","G6"
"Ind-55",0,"S","G6"
"Ind-56",0,"S","G6"
"Ind-57",0,"S","G6"
"Ind-58",0,"S","G6"
"Ind-59",0,"S","G6"
"Ind-60",0,"S","G6"
"Ind-61",0,"I","G7"
"Ind-62",0,"I","G7"
"Ind-63",0,"S","G7"
"Ind-64",0,"S","G7"
"Ind-65",0,"S","G7"
"Ind-66",0,"S","G7"
"Ind-67",0,"S","G7"
"Ind-68",0,"S","G7"
"Ind-69",0,"S","G7"
"Ind-70",0,"S","G7"
"Ind-71",0,"I","G8"
"Ind-72",0,"I","G8"
"Ind-73",0,"S","G8"
"Ind-74",0,"S","G8"
"Ind-75",0,"S","G8"
"Ind-76",0,"S","G8"
"Ind-77",0,"S","G8"
"Ind-78",0,"S","G8"
"Ind-79",0,"S","G8"
"Ind-80",0,"S","G8"
"Ind-81",0,"I","G9"
"Ind-82",0,"I","G9"
"Ind-83",0,"S","G9"
"Ind-84",0,"S","G9"
"Ind-85",0,"S","G9"
"Ind-86",0,"S","G9"
"Ind-87",0,"S","G9"
"Ind-88",0,"S","G9"
"Ind-89",0,"S","G9"
"Ind-90",0,"S","G9"
"Ind-91",0,"I","G10"
"Ind-92",0,"I","G10"
"Ind-93",0,"S","G10"
"Ind-94",0,"S","G10"
"Ind-95",0,"S","G10"
"Ind-96",0,"S","G10"
"Ind-97",0,"S","G10"
"Ind-98",0,"S","G10"
"Ind-99",0,"S","G10"
"Ind-100",0,"S","G10"
"Ind-101",0,"I","G11"
"Ind-102",0,"I","G11"
"Ind-103",0,"S","G11"
"Ind-104",0,"S","G11"
"Ind-105",0,"S","G11"
"Ind-106",0,"S","G11"
"Ind-107",0,"S","G11"
"Ind-108",0,"S","G11"
"Ind-109",0,"S","G11"
"Ind-110",0,"S","G11"
"Ind-111",0,"I","G12"
"Ind-112",0,"I","G12"
"Ind-113",0,"S","G12"
"Ind-114",0,"S","G12"
"Ind-115",0,"S","G12"
"Ind-116",0,"S","G12"
"Ind-117",0,"S","G12"
"Ind-118",0,"S","G12"
"Ind-119",0,"S","G12"
"Ind-120",0,"S","G12"
"Ind-121",0,"I","G13"
"Ind-122",0,"I","G13"
"Ind-123",0,"S","G13"
"Ind-124",0,"S","G13"
"Ind-125",0,"S","G13"
"Ind-126",0,"S","G13"
"Ind-127",0,"S","G13"
"Ind-128",0,"S","G13"
"Ind-129",0,"S","G13"
"Ind-130",0,"S","G13"
"Ind-131",0,"I","G14"
"Ind-132",0,"I","G14"
"Ind-133",0,"S","G14"
"Ind-134",0,"S","G14"
"Ind-135",0,"S","G14"
"Ind-136",0,"S","G14"
"Ind-137",0,"S","G14"
"Ind-138",0,"S","G14"
"Ind-139",0,"S","G14"
"Ind-140",0,"S","G14"
"Ind-141",0,"I","G15"
"Ind-142",0,"I","G15"
"Ind-143",0,"S","G15"
"Ind-144",0,"S","G15"
"Ind-145",0,"S","G15"
"Ind-146",0,"S","G15"
"Ind-147",0,"S","G15"
"Ind-148",0,"S","G15"
"Ind-149",0,"S","G15"
"Ind-150",0,"S","G15"
"Ind-151",0,"I","G16"
"Ind-152",0,"I","G16"
"Ind-153",0,"S","G16"
"Ind-154",0,"S","G16"
"Ind-155",0,"S","G16"
"Ind-156",0,"S","G16"
"Ind-157",0,"S","G16"
"Ind-158",0,"S","G16"
"Ind-159",0,"S","G16"
"Ind-160",0,"S","G16"
"Ind-161",0,"I","G17"
"Ind-162",0,"I","G17"
"Ind-163",0,"S","G17"
"Ind-164",0,"S","G17"
"Ind-165",0,"S","G17"
"Ind-166",0,"S","G17"
"Ind-167",0,"S","G17"
"Ind-168",0,"S","G17"
"Ind-169",0,"S","G17"
"Ind-170",0,"S","G17"
"Ind-171",0,"I","G18"
"Ind-172",0,"I","G18"
"Ind-173",0,"S","G18"
"Ind-174",0,"S","G18"
"Ind-175",0,"S","G18"
"Ind-176",0,"S","G18"
"Ind-177",0,"S","G18"
"Ind-178",0,"S","G18"
"Ind-179",0,"S","G18"
"Ind-180",0,"S","G18"
"Ind-181",0,"I","G19"
"Ind-182",0,"I","G19"
"Ind-183",0,"S","G19"
"Ind-184",0,"S","G19"
"Ind-185",0,"S","G19"
"Ind-186",0,"S","G19"
"Ind-187",0,"S","G19"
"Ind-188",0,"S","G19"
"Ind-189",0,"S","G19"
"Ind-190",0,"S","G19"
"Ind-191",0,"I","G20"
"Ind-192",0,"I","G20"
"Ind-193",0,"S","G20"
"Ind-194",0,"S","G20"
"Ind-195",0,"S","G20"
"Ind-196",0,"S","G20"
"Ind-197",0,"S","G20"
"Ind-198",0,"S","G20"
"Ind-199",0,"S","G20"
"Ind-200",0,"S","G20"
"Ind-201",0,"I","G21"
"Ind-202",0,"I","G21"
"Ind-203",0,"S","G21"
"Ind-204",0,"S","G21"
"Ind-205",0,"S","G21"
"Ind-206",0,"S","G21"
"Ind-207",0,"S","G21"
"Ind-208",0,"S","G21"
"Ind-209",0,"S","G21"
"Ind-210",0,"S","G21"
"Ind-211",0,"I","G22"
"Ind-212",0,"I","G22"
"Ind-213",0,"S","G22"
"Ind-214",0,"S","G22"
"Ind-215",0,"S","G22"
"Ind-216",0,"S","G22"
"Ind-217",0,"S","G22"
"Ind-218",0,"S","G22"
"Ind-219",0,"S","G22"
"Ind-220",0,"S","G22"
"Ind-221",0,"I","G23"
"Ind-222",0,"I","G23"
"Ind-223",0,"S","G23"
"Ind-224",0,"S","G23"
"Ind-225",0,"S","G23"
"Ind-226",0,"S","G23"
"Ind-227",0,"S","G23"
"Ind-228",0,"S","G23"
"Ind-229",0,"S","G23"
"Ind-230",0,"S","G23"
"Ind-231",0,"I","G24"
"Ind-232",0,"I","G24"
"Ind-233",0,"S","G24"
"Ind-234",0,"S","G24"
"Ind-235",0,"S","G24"
"Ind-236",0,"S","G24"
"Ind-237",0,"S","G24"
"Ind-238",0,"S","G24"
"Ind-239",0,"S","G24"
"Ind-240",0,"S","G24"
