"ID","t"
"Ind-3",32.0667
"Ind-4",64.3486
"Ind-5",42.4036
"Ind-6",21.2209
"Ind-7",11.7928
"Ind-8",14.3911
"Ind-9",19.4045
"Ind-10",38.8421
"Ind-13",8.03329
"Ind-14",35.7667
"Ind-15",19.0793
"Ind-16",8.19261
"Ind-17",49.8865
"Ind-18",7.41398
"Ind-19",20.2075
"Ind-20",11.6972
"Ind-23",0.265883
"Ind-24",8.8672
"Ind-25",0.0912363
"Ind-26",9.17575
"Ind-27",6.43273
"Ind-28",11.589
"Ind-29",1.59707
"Ind-30",5.52114
"Ind-33",26.5227
"Ind-34",27.3764
"Ind-35",50.8764
"Ind-36",13.6286
"Ind-37",29.9599
"Ind-38",5.05605
"Ind-39",27.981
"Ind-40",50.0605
"Ind-43",38.9119
"Ind-44",29.6363
"Ind-45",31.4429
"Ind-46",19.6989
"Ind-47",39.454
"Ind-48",31.6826
"Ind-49",13.9145
"Ind-50",28.6945
"Ind-53",10.0297
"Ind-54",23.8929
"Ind-55",12.6844
"Ind-56",22.6721
"Ind-57",36.3718
"Ind-58",37.0542
"Ind-59",2.36684
"Ind-60",26.7503
"Ind-63",57.2146
"Ind-64",62.2642
"Ind-65",36.96
"Ind-66",71.5254
"Ind-67",48.8674
"Ind-68",66.8698
"Ind-69",45.7878
"Ind-70",43.5236
"Ind-73",17.7854
"Ind-74",4.40027
"Ind-75",56.3574
"Ind-76",26.7213
"Ind-77",7.71317
"Ind-78",17.748
"Ind-79",13.664
"Ind-80",9.09034
"Ind-83",13.991
"Ind-84",11.4504
"Ind-85",6.59925
"Ind-86",9.08665
"Ind-87",2.36149
"Ind-88",57.4748
"Ind-89",12.4544
"Ind-90",8.81361
"Ind-93",10.2195
"Ind-94",54.0212
"Ind-95",70.1067
"Ind-96",69.6022
"Ind-97",17.0955
"Ind-98",36.1429
"Ind-99",42.3555
"Ind-100",68.8057
"Ind-103",1.67495
"Ind-104",21.7629
"Ind-105",56.6877
"Ind-106",2.89397
"Ind-107",14.958
"Ind-108",22.8978
"Ind-109",54.1918
"Ind-110",82.638
"Ind-113",25.2863
"Ind-114",16.5603
"Ind-115",9.24484
"Ind-116",8.47311
"Ind-117",5.04455
"Ind-118",3.716
"Ind-119",7.90251
"Ind-120",8.11825
"Ind-123",33.9524
"Ind-124",29.3918
"Ind-125",4.52971
"Ind-126",33.2991
"Ind-127",8.1803
"Ind-128",1.14135
"Ind-129",6.88666
"Ind-130",30.25
"Ind-133",55.4544
"Ind-134",28.0791
"Ind-135",53.1866
"Ind-136",37.3424
"Ind-137",22.9304
"Ind-138",43.5136
"Ind-139",81.9304
"Ind-140",42.4591
"Ind-143",56.5055
"Ind-145",49.5364
"Ind-146",53.559
"Ind-147",42.044
"Ind-148",37.1307
"Ind-149",36.0931
"Ind-150",27.1767
"Ind-153",55.3113
"Ind-154",63.4522
"Ind-155",4.03798
"Ind-156",60.936
"Ind-157",13.5043
"Ind-158",22.7836
"Ind-159",45.2824
"Ind-160",76.4237
"Ind-163",5.12788
"Ind-164",2.92548
"Ind-165",2.31742
"Ind-166",5.04245
"Ind-167",0.643251
"Ind-168",16.8912
"Ind-169",5.73696
"Ind-170",2.86182
"Ind-173",48.274
"Ind-174",45.601
"Ind-175",52.1786
"Ind-176",59.4781
"Ind-177",59.3301
"Ind-178",58.9877
"Ind-179",54.8876
"Ind-180",51.6282
"Ind-183",15.5392
"Ind-184",29.2494
"Ind-185",6.39984
"Ind-186",22.7623
"Ind-187",35.7713
"Ind-188",11.8204
"Ind-189",13.47
"Ind-190",22.6616
"Ind-195",95.5778
"Ind-197",89.6904
"Ind-203",22.4876
"Ind-204",31.4774
"Ind-205",42.2584
"Ind-206",12.9397
"Ind-207",15.3586
"Ind-208",21.5194
"Ind-209",67.2877
"Ind-210",70.9117
"Ind-213",2.72163
"Ind-214",30.7047
"Ind-215",27.183
"Ind-216",10.8732
"Ind-217",18.523
"Ind-218",1.23608
"Ind-219",32.2895
"Ind-220",2.85951
"Ind-223",18.7406
"Ind-224",31.1449
"Ind-225",29.9721
"Ind-226",28.9938
"Ind-227",15.3038
"Ind-228",56.8882
"Ind-229",7.37958
"Ind-230",22.2466
"Ind-233",49.9625
"Ind-234",19.9076
"Ind-235",34.8092
"Ind-236",3.8853
"Ind-237",68.9105
"Ind-238",14.2019
"Ind-239",38.1806
"Ind-240",24.7854
