"ID","Value"
"Prod-1",0.536888
"Prod-2",1.03214
"Prod-3",0.714422
"Prod-4",0.718862
"Prod-5",1.00696
"Prod-6",3.78528
"Prod-7",2.038
"Prod-8",0.942503
"Prod-9",0.614981
"Prod-10",0.48712
"Prod-11",0.280063
"Prod-12",0.0719589
"Prod-13",0.110959
"Prod-14",0.165837
"Prod-15",0.176036
"Prod-16",0.246204
"Prod-17",0.555271
"Prod-18",0.1708
"Prod-19",0.526893
"Prod-20",0.189206
"Prod-21",0.162956
"Prod-22",0.209088
"Prod-23",1.07586
"Prod-24",0.280215
"Prod-25",0.226317
"Prod-26",0.157439
"Prod-27",0.692972
"Prod-28",0.161013
"Prod-29",0.346415
"Prod-30",0.891492
"Prod-31",1.07032
"Prod-32",1.25923
"Prod-33",2.32714
"Prod-34",0.37747
"Prod-35",1.93996
"Prod-36",0.768027
"Prod-37",0.911848
"Prod-38",1.74454
"Prod-39",1.13943
"Prod-40",1.08351
"Prod-41",0.517964
"Prod-42",1.45583
"Prod-43",0.858573
"Prod-44",0.875156
"Prod-45",1.73967
"Prod-46",1.86753
"Prod-47",0.579794
"Prod-48",4.2598
"Prod-49",1.99564
"Prod-50",3.21633
"Prod-51",0.369842
"Prod-52",0.286562
"Prod-53",0.845672
"Prod-54",0.180994
"Prod-55",0.608557
"Prod-56",0.21017
"Prod-57",0.226188
"Prod-58",0.27034
"Prod-59",0.267434
"Prod-60",0.243549
"Prod-61",2.00924
"Prod-62",2.01966
"Prod-63",0.349501
"Prod-64",1.01801
"Prod-65",3.51468
"Prod-66",1.36045
"Prod-67",0.299266
"Prod-68",6.56065
"Prod-69",0.29484
"Prod-70",0.224528
"Prod-71",0.519317
"Prod-72",1.55134
"Prod-73",4.16233
"Prod-74",0.511303
"Prod-75",1.28173
"Prod-76",0.93241
"Prod-77",3.381
"Prod-78",2.64229
"Prod-79",1.57077
"Prod-80",1.33906
"Prod-81",0.139462
"Prod-82",1.01707
"Prod-83",0.224495
"Prod-84",0.223225
"Prod-85",0.229113
"Prod-86",1.75516
"Prod-87",0.48864
"Prod-88",0.10652
"Prod-89",0.352457
"Prod-90",0.429201
"Prod-91",0.504115
"Prod-92",0.243265
"Prod-93",0.280714
"Prod-94",0.461286
"Prod-95",1.83411
"Prod-96",0.609518
"Prod-97",0.428729
"Prod-98",0.997834
"Prod-99",0.313373
"Prod-100",0.911088
"Prod-101",0.538341
"Prod-102",1.0017
"Prod-103",0.237316
"Prod-104",0.412829
"Prod-105",0.687113
"Prod-106",0.472122
"Prod-107",0.482549
"Prod-108",0.294993
"Prod-109",0.283248
"Prod-110",0.375874
"Prod-111",1.35113
"Prod-112",1.80822
"Prod-113",0.982553
"Prod-114",0.315595
"Prod-115",0.233448
"Prod-116",0.769695
"Prod-117",0.960415
"Prod-118",0.409738
"Prod-119",0.314556
"Prod-120",0.188177
"Prod-121",2.15459
"Prod-122",3.01963
"Prod-123",0.457331
"Prod-124",1.42287
"Prod-125",0.69171
"Prod-126",0.960301
"Prod-127",1.14903
"Prod-128",1.50206
"Prod-129",1.55031
"Prod-130",1.8055
"Prod-131",0.815965
"Prod-132",0.380725
"Prod-133",1.52626
"Prod-134",0.475433
"Prod-135",0.501056
"Prod-136",0.477413
"Prod-137",0.559876
"Prod-138",0.552574
"Prod-139",0.782255
"Prod-140",0.244985
"Prod-141",1.73566
"Prod-142",1.68888
"Prod-143",2.30345
"Prod-144",1.55595
"Prod-145",1.47532
"Prod-146",7.49866
"Prod-147",1.73379
"Prod-148",1.65603
"Prod-149",0.845347
"Prod-150",2.0093
"Prod-151",1.02351
"Prod-152",1.03677
"Prod-153",1.33595
"Prod-154",1.29339
"Prod-155",2.62903
"Prod-156",2.19098
"Prod-157",3.7727
"Prod-158",1.26618
"Prod-159",0.595558
"Prod-160",0.916928
"Prod-161",0.101898
"Prod-162",0.746825
"Prod-163",0.395482
"Prod-164",0.322
"Prod-165",0.270872
"Prod-166",1.30988
"Prod-167",0.637225
"Prod-168",0.426339
"Prod-169",1.33322
"Prod-170",0.472055
"Prod-171",0.207366
"Prod-172",0.331272
"Prod-173",0.302606
"Prod-174",0.435321
"Prod-175",0.0873167
"Prod-176",0.122797
"Prod-177",0.177126
"Prod-178",1.22886
"Prod-179",0.189589
"Prod-180",0.14137
"Prod-181",0.175575
"Prod-182",0.617657
"Prod-183",0.0985806
"Prod-184",0.398439
"Prod-185",0.119751
"Prod-186",0.597469
"Prod-187",0.138157
"Prod-188",0.131884
"Prod-189",0.151078
"Prod-190",0.0566219
"Prod-191",0.236745
"Prod-192",0.162357
"Prod-193",0.662195
"Prod-194",0.383162
"Prod-195",0.656163
"Prod-196",1.01164
"Prod-197",0.101198
"Prod-198",0.104727
"Prod-199",0.451214
"Prod-200",0.113841
"Prod-201",0.966697
"Prod-202",2.82581
"Prod-203",0.784883
"Prod-204",0.732238
"Prod-205",0.525852
"Prod-206",1.0443
"Prod-207",1.48762
"Prod-208",0.344833
"Prod-209",0.435303
"Prod-210",1.22344
"Prod-211",1.18477
"Prod-212",0.911497
"Prod-213",0.872337
"Prod-214",0.382262
"Prod-215",0.325387
"Prod-216",1.34985
"Prod-217",0.578528
"Prod-218",1.09623
"Prod-219",0.583741
"Prod-220",1.24802
"Prod-221",2.19804
"Prod-222",0.644658
"Prod-223",0.547211
"Prod-224",0.624584
"Prod-225",0.700171
"Prod-226",0.476607
"Prod-227",1.18073
"Prod-228",0.239067
"Prod-229",1.03525
"Prod-230",0.292805
"Prod-231",1.12479
"Prod-232",2.22667
"Prod-233",2.43989
"Prod-234",1.82661
"Prod-235",0.326097
"Prod-236",1.30364
"Prod-237",1.7494
"Prod-238",0.691646
"Prod-239",0.941779
"Prod-240",1.96932
"Prod-241",0.410548
"Prod-242",0.300851
"Prod-243",0.63341
"Prod-244",0.37134
"Prod-245",0.454091
"Prod-246",0.567265
"Prod-247",1.42826
"Prod-248",0.248916
"Prod-249",0.539774
"Prod-250",0.396344
"Prod-251",1.02492
"Prod-252",3.90635
"Prod-253",0.191131
"Prod-254",2.7541
"Prod-255",0.562514
"Prod-256",0.581011
"Prod-257",1.65637
"Prod-258",0.211373
"Prod-259",0.639359
"Prod-260",0.342175
"Prod-261",0.148333
"Prod-262",2.50205
"Prod-263",0.429409
"Prod-264",4.38974
"Prod-265",1.68263
"Prod-266",2.34962
"Prod-267",2.69222
"Prod-268",3.71768
"Prod-269",1.26262
"Prod-270",1.10001
"Prod-271",0.272857
"Prod-272",0.353991
"Prod-273",0.678728
"Prod-274",0.255262
"Prod-275",0.43943
"Prod-276",1.00173
"Prod-277",0.3172
"Prod-278",0.271133
"Prod-279",0.407898
"Prod-280",0.152851
"Prod-281",1.30086
"Prod-282",0.399769
"Prod-283",1.04414
"Prod-284",0.0797951
"Prod-285",0.440375
"Prod-286",0.889941
"Prod-287",0.582361
"Prod-288",0.578024
"Prod-289",0.921604
"Prod-290",1.84036
"Prod-291",0.401815
"Prod-292",0.381752
"Prod-293",0.68081
"Prod-294",0.247665
"Prod-295",0.25417
"Prod-296",0.688092
"Prod-297",0.383167
"Prod-298",0.336009
"Prod-299",0.170356
"Prod-300",0.858906
"Prod-301",0.113456
"Prod-302",0.126171
"Prod-303",0.529397
"Prod-304",0.531633
"Prod-305",0.872032
"Prod-306",0.597362
"Prod-307",0.336478
"Prod-308",0.588179
"Prod-309",0.371585
"Prod-310",0.532056
"Prod-311",2.69896
"Prod-312",2.24165
"Prod-313",1.54231
"Prod-314",2.97731
"Prod-315",1.15969
"Prod-316",1.41445
"Prod-317",1.74507
"Prod-318",0.843967
"Prod-319",0.986501
"Prod-320",3.06943
"Prod-321",3.13478
"Prod-322",0.875586
"Prod-323",2.70772
"Prod-324",0.686439
"Prod-325",1.18733
"Prod-326",1.74598
"Prod-327",0.432654
"Prod-328",4.37385
"Prod-329",0.387027
"Prod-330",1.57059
"Prod-331",1.03424
"Prod-332",0.673022
"Prod-333",0.219616
"Prod-334",1.02941
"Prod-335",0.809973
"Prod-336",0.282279
"Prod-337",0.30458
"Prod-338",0.387904
"Prod-339",0.354837
"Prod-340",0.302091
"Prod-341",1.46598
"Prod-342",0.378902
"Prod-343",0.776798
"Prod-344",1.93889
"Prod-345",0.582972
"Prod-346",0.983373
"Prod-347",0.574951
"Prod-348",1.0155
"Prod-349",0.704177
"Prod-350",1.83408
"Prod-351",0.719195
"Prod-352",1.05612
"Prod-353",0.261866
"Prod-354",0.33399
"Prod-355",0.333636
"Prod-356",0.067607
"Prod-357",1.75781
"Prod-358",1.86037
"Prod-359",0.198943
"Prod-360",0.284092
"Prod-361",0.500649
"Prod-362",0.489702
"Prod-363",0.421723
"Prod-364",1.36021
"Prod-365",1.7798
"Prod-366",3.68253
"Prod-367",0.474591
"Prod-368",1.25089
"Prod-369",2.03076
"Prod-370",1.40133
"Prod-371",0.367198
"Prod-372",0.107183
"Prod-373",0.445343
"Prod-374",0.300829
"Prod-375",0.19848
"Prod-376",0.320129
"Prod-377",0.127672
"Prod-378",0.140872
"Prod-379",0.146409
"Prod-380",0.383363
"Prod-381",1.03505
"Prod-382",0.42656
"Prod-383",0.891832
"Prod-384",2.75826
"Prod-385",0.463366
"Prod-386",0.252263
"Prod-387",1.19962
"Prod-388",0.156555
"Prod-389",0.446281
"Prod-390",1.02963
"Prod-391",0.690428
"Prod-392",0.292129
"Prod-393",0.856069
"Prod-394",0.0987009
"Prod-395",0.271225
"Prod-396",0.930407
"Prod-397",0.574474
"Prod-398",0.311063
"Prod-399",0.327171
"Prod-400",0.224684
"Prod-401",3.70247
"Prod-402",0.516638
"Prod-403",5.16832
"Prod-404",1.67192
"Prod-405",11.1736
"Prod-406",1.12235
"Prod-407",0.832695
"Prod-408",3.67938
"Prod-409",1.16913
"Prod-410",0.76987
"Prod-411",0.220483
"Prod-412",0.429453
"Prod-413",1.55276
"Prod-414",2.26382
"Prod-415",1.53683
"Prod-416",0.334785
"Prod-417",1.64741
"Prod-418",0.295497
"Prod-419",0.810975
"Prod-420",1.86102
"Prod-421",2.03588
"Prod-422",0.715702
"Prod-423",1.62691
"Prod-424",1.1133
"Prod-425",0.462522
"Prod-426",1.49136
"Prod-427",0.756459
"Prod-428",1.95678
"Prod-429",2.59214
"Prod-430",0.775289
"Prod-431",0.108855
"Prod-432",0.144764
"Prod-433",0.156709
"Prod-434",0.124976
"Prod-435",0.11718
"Prod-436",0.254734
"Prod-437",0.283033
"Prod-438",0.122814
"Prod-439",0.17756
"Prod-440",0.148751
"Prod-441",1.14218
"Prod-442",0.264477
"Prod-443",0.4398
"Prod-444",1.54402
"Prod-445",0.1509
"Prod-446",0.240754
"Prod-447",0.683452
"Prod-448",0.298927
"Prod-449",0.336461
"Prod-450",0.470701
"Prod-451",5.62593
"Prod-452",1.22987
"Prod-453",1.40959
"Prod-454",2.41799
"Prod-455",2.10433
"Prod-456",3.25853
"Prod-457",0.71213
"Prod-458",1.32525
"Prod-459",10.8239
"Prod-460",1.10623
"Prod-461",0.698733
"Prod-462",0.27477
"Prod-463",0.810251
"Prod-464",0.483444
"Prod-465",0.710291
"Prod-466",0.214257
"Prod-467",0.245082
"Prod-468",0.380514
"Prod-469",0.622777
"Prod-470",0.3422
"Prod-471",0.262777
"Prod-472",0.692548
"Prod-473",0.654786
"Prod-474",0.548973
"Prod-475",0.216603
"Prod-476",0.55355
"Prod-477",0.210727
"Prod-478",0.211251
"Prod-479",0.0942148
"Prod-480",0.507429
"Prod-481",0.338604
"Prod-482",0.293108
"Prod-483",0.295882
"Prod-484",0.274968
"Prod-485",0.562089
"Prod-486",0.223514
"Prod-487",0.168103
"Prod-488",0.475598
"Prod-489",0.264848
"Prod-490",0.246469
"Prod-491",2.41745
"Prod-492",1.83839
"Prod-493",6.1833
"Prod-494",1.36587
"Prod-495",1.03732
"Prod-496",1.87734
"Prod-497",0.94961
"Prod-498",3.27012
"Prod-499",1.97649
"Prod-500",1.71188
"Prod-501",0.153767
"Prod-502",0.21653
"Prod-503",0.243334
"Prod-504",0.0735042
"Prod-505",0.208623
"Prod-506",0.0117291
"Prod-507",0.19821
"Prod-508",0.0344143
"Prod-509",0.163751
"Prod-510",0.252238
"Prod-511",0.0604217
"Prod-512",0.11427
"Prod-513",0.186418
"Prod-514",0.400478
"Prod-515",0.0868435
"Prod-516",0.325524
"Prod-517",0.220272
"Prod-518",0.169788
"Prod-519",0.126144
