"ID","t","DS"
"Prod-1",0,"I"
"Prod-2",0,"I"
"Prod-3",0,"S"
"Prod-4",0,"S"
"Prod-5",0,"S"
"Prod-6",0,"S"
"Prod-7",0,"S"
"Prod-8",0,"S"
"Prod-9",0,"S"
"Prod-10",0,"S"
"Prod-11",0,"S"
"Prod-12",0,"S"
"Prod-13",0,"S"
"Prod-14",0,"S"
"Prod-15",0,"S"
"Prod-16",0,"S"
"Prod-17",0,"S"
"Prod-18",0,"S"
"Prod-19",0,"S"
"Prod-20",0,"S"
"Prod-21",0,"S"
"Prod-22",0,"S"
"Prod-23",0,"S"
"Prod-24",0,"S"
"Prod-25",0,"S"
"Prod-26",0,"S"
"Prod-27",0,"S"
"Prod-28",0,"S"
"Prod-29",0,"S"
"Prod-30",0,"S"
"Prod-31",0,"S"
"Prod-32",0,"S"
"Prod-33",0,"S"
"Prod-34",0,"S"
"Prod-35",0,"S"
"Prod-36",0,"S"
"Prod-37",0,"S"
"Prod-38",0,"S"
"Prod-39",0,"S"
"Prod-40",0,"S"
"Prod-41",0,"S"
"Prod-42",0,"S"
"Prod-43",0,"S"
"Prod-44",0,"S"
"Prod-45",0,"S"
"Prod-46",0,"S"
"Prod-47",0,"S"
"Prod-48",0,"S"
"Prod-49",0,"S"
"Prod-50",0,"S"
"Prod-51",0,"S"
"Prod-52",0,"S"
"Prod-53",0,"S"
"Prod-54",0,"S"
"Prod-55",0,"S"
"Prod-56",0,"S"
"Prod-57",0,"S"
"Prod-58",0,"S"
"Prod-59",0,"S"
"Prod-60",0,"S"
"Prod-61",0,"S"
"Prod-62",0,"S"
"Prod-63",0,"S"
"Prod-64",0,"S"
"Prod-65",0,"S"
"Prod-66",0,"S"
"Prod-67",0,"S"
"Prod-68",0,"S"
"Prod-69",0,"S"
"Prod-70",0,"S"
"Prod-71",0,"S"
"Prod-72",0,"S"
"Prod-73",0,"S"
"Prod-74",0,"S"
"Prod-75",0,"S"
"Prod-76",0,"S"
"Prod-77",0,"S"
"Prod-78",0,"S"
"Prod-79",0,"S"
"Prod-80",0,"S"
"Prod-81",0,"S"
"Prod-82",0,"S"
"Prod-83",0,"S"
"Prod-84",0,"S"
"Prod-85",0,"S"
"Prod-86",0,"S"
"Prod-87",0,"S"
"Prod-88",0,"S"
"Prod-89",0,"S"
"Prod-90",0,"S"
"Prod-91",0,"S"
"Prod-92",0,"S"
"Prod-93",0,"S"
"Prod-94",0,"S"
"Prod-95",0,"S"
"Prod-96",0,"S"
"Prod-97",0,"S"
"Prod-98",0,"S"
"Prod-99",0,"S"
"Prod-100",0,"S"
"Prod-101",0,"S"
"Prod-102",0,"S"
"Prod-103",0,"S"
"Prod-104",0,"S"
"Prod-105",0,"S"
"Prod-106",0,"S"
"Prod-107",0,"S"
"Prod-108",0,"S"
"Prod-109",0,"S"
"Prod-110",0,"S"
"Prod-111",0,"S"
"Prod-112",0,"S"
"Prod-113",0,"S"
"Prod-114",0,"S"
"Prod-115",0,"S"
"Prod-116",0,"S"
"Prod-117",0,"S"
"Prod-118",0,"S"
"Prod-119",0,"S"
"Prod-120",0,"S"
"Prod-121",0,"S"
"Prod-122",0,"S"
"Prod-123",0,"S"
"Prod-124",0,"S"
"Prod-125",0,"S"
"Prod-126",0,"S"
"Prod-127",0,"S"
"Prod-128",0,"S"
"Prod-129",0,"S"
"Prod-130",0,"S"
"Prod-131",0,"S"
"Prod-132",0,"S"
"Prod-133",0,"S"
"Prod-134",0,"S"
"Prod-135",0,"S"
"Prod-136",0,"S"
"Prod-137",0,"S"
"Prod-138",0,"S"
"Prod-139",0,"S"
"Prod-140",0,"S"
"Prod-141",0,"S"
"Prod-142",0,"S"
"Prod-143",0,"S"
"Prod-144",0,"S"
"Prod-145",0,"S"
"Prod-146",0,"S"
"Prod-147",0,"S"
"Prod-148",0,"S"
"Prod-149",0,"S"
"Prod-150",0,"S"
"Prod-151",0,"S"
"Prod-152",0,"S"
"Prod-153",0,"S"
"Prod-154",0,"S"
"Prod-155",0,"S"
"Prod-156",0,"S"
"Prod-157",0,"S"
"Prod-158",0,"S"
"Prod-159",0,"S"
"Prod-160",0,"S"
"Prod-161",0,"S"
"Prod-162",0,"S"
"Prod-163",0,"S"
"Prod-164",0,"S"
"Prod-165",0,"S"
"Prod-166",0,"S"
"Prod-167",0,"S"
"Prod-168",0,"S"
"Prod-169",0,"S"
"Prod-170",0,"S"
"Prod-171",0,"S"
"Prod-172",0,"S"
"Prod-173",0,"S"
"Prod-174",0,"S"
"Prod-175",0,"S"
"Prod-176",0,"S"
"Prod-177",0,"S"
"Prod-178",0,"S"
"Prod-179",0,"S"
"Prod-180",0,"S"
"Prod-181",0,"S"
"Prod-182",0,"S"
"Prod-183",0,"S"
"Prod-184",0,"S"
"Prod-185",0,"S"
"Prod-186",0,"S"
"Prod-187",0,"S"
"Prod-188",0,"S"
"Prod-189",0,"S"
"Prod-190",0,"S"
"Prod-191",0,"S"
"Prod-192",0,"S"
"Prod-193",0,"S"
"Prod-194",0,"S"
"Prod-195",0,"S"
"Prod-196",0,"S"
"Prod-197",0,"S"
"Prod-198",0,"S"
"Prod-199",0,"S"
"Prod-200",0,"S"
"Prod-201",0,"S"
"Prod-202",0,"S"
"Prod-203",0,"S"
"Prod-204",0,"S"
"Prod-205",0,"S"
"Prod-206",0,"S"
"Prod-207",0,"S"
"Prod-208",0,"S"
"Prod-209",0,"S"
"Prod-210",0,"S"
"Prod-211",0,"S"
"Prod-212",0,"S"
"Prod-213",0,"S"
"Prod-214",0,"S"
"Prod-215",0,"S"
"Prod-216",0,"S"
"Prod-217",0,"S"
"Prod-218",0,"S"
"Prod-219",0,"S"
"Prod-220",0,"S"
"Prod-221",0,"S"
"Prod-222",0,"S"
"Prod-223",0,"S"
"Prod-224",0,"S"
"Prod-225",0,"S"
"Prod-226",0,"S"
"Prod-227",0,"S"
"Prod-228",0,"S"
"Prod-229",0,"S"
"Prod-230",0,"S"
"Prod-231",0,"S"
"Prod-232",0,"S"
"Prod-233",0,"S"
"Prod-234",0,"S"
"Prod-235",0,"S"
"Prod-236",0,"S"
"Prod-237",0,"S"
"Prod-238",0,"S"
"Prod-239",0,"S"
"Prod-240",0,"S"
"Prod-241",0,"S"
"Prod-242",0,"S"
"Prod-243",0,"S"
"Prod-244",0,"S"
"Prod-245",0,"S"
"Prod-246",0,"S"
"Prod-247",0,"S"
"Prod-248",0,"S"
"Prod-249",0,"S"
"Prod-250",0,"S"
"Prod-251",0,"S"
"Prod-252",0,"S"
"Prod-253",0,"S"
"Prod-254",0,"S"
"Prod-255",0,"S"
"Prod-256",0,"S"
"Prod-257",0,"S"
"Prod-258",0,"S"
"Prod-259",0,"S"
"Prod-260",0,"S"
"Prod-261",0,"S"
"Prod-262",0,"S"
"Prod-263",0,"S"
"Prod-264",0,"S"
"Prod-265",0,"S"
"Prod-266",0,"S"
"Prod-267",0,"S"
"Prod-268",0,"S"
"Prod-269",0,"S"
"Prod-270",0,"S"
"Prod-271",0,"S"
"Prod-272",0,"S"
"Prod-273",0,"S"
"Prod-274",0,"S"
"Prod-275",0,"S"
"Prod-276",0,"S"
"Prod-277",0,"S"
"Prod-278",0,"S"
"Prod-279",0,"S"
"Prod-280",0,"S"
"Prod-281",0,"S"
"Prod-282",0,"S"
"Prod-283",0,"S"
"Prod-284",0,"S"
"Prod-285",0,"S"
"Prod-286",0,"S"
"Prod-287",0,"S"
"Prod-288",0,"S"
"Prod-289",0,"S"
"Prod-290",0,"S"
"Prod-291",0,"S"
"Prod-292",0,"S"
"Prod-293",0,"S"
"Prod-294",0,"S"
"Prod-295",0,"S"
"Prod-296",0,"S"
"Prod-297",0,"S"
"Prod-298",0,"S"
"Prod-299",0,"S"
"Prod-300",0,"S"
"Prod-301",0,"S"
"Prod-302",0,"S"
"Prod-303",0,"S"
"Prod-304",0,"S"
"Prod-305",0,"S"
"Prod-306",0,"S"
"Prod-307",0,"S"
"Prod-308",0,"S"
"Prod-309",0,"S"
"Prod-310",0,"S"
"Prod-311",0,"S"
"Prod-312",0,"S"
"Prod-313",0,"S"
"Prod-314",0,"S"
"Prod-315",0,"S"
"Prod-316",0,"S"
"Prod-317",0,"S"
"Prod-318",0,"S"
"Prod-319",0,"S"
"Prod-320",0,"S"
"Prod-321",0,"S"
"Prod-322",0,"S"
"Prod-323",0,"S"
"Prod-324",0,"S"
"Prod-325",0,"S"
"Prod-326",0,"S"
"Prod-327",0,"S"
"Prod-328",0,"S"
"Prod-329",0,"S"
"Prod-330",0,"S"
"Prod-331",0,"S"
"Prod-332",0,"S"
"Prod-333",0,"S"
"Prod-334",0,"S"
"Prod-335",0,"S"
"Prod-336",0,"S"
"Prod-337",0,"S"
"Prod-338",0,"S"
"Prod-339",0,"S"
"Prod-340",0,"S"
"Prod-341",0,"S"
"Prod-342",0,"S"
"Prod-343",0,"S"
"Prod-344",0,"S"
"Prod-345",0,"S"
"Prod-346",0,"S"
"Prod-347",0,"S"
"Prod-348",0,"S"
"Prod-349",0,"S"
"Prod-350",0,"S"
"Prod-351",0,"S"
"Prod-352",0,"S"
"Prod-353",0,"S"
"Prod-354",0,"S"
"Prod-355",0,"S"
"Prod-356",0,"S"
"Prod-357",0,"S"
"Prod-358",0,"S"
"Prod-359",0,"S"
"Prod-360",0,"S"
"Prod-361",0,"S"
"Prod-362",0,"S"
"Prod-363",0,"S"
"Prod-364",0,"S"
"Prod-365",0,"S"
"Prod-366",0,"S"
"Prod-367",0,"S"
"Prod-368",0,"S"
"Prod-369",0,"S"
"Prod-370",0,"S"
"Prod-371",0,"S"
"Prod-372",0,"S"
"Prod-373",0,"S"
"Prod-374",0,"S"
"Prod-375",0,"S"
"Prod-376",0,"S"
"Prod-377",0,"S"
"Prod-378",0,"S"
"Prod-379",0,"S"
"Prod-380",0,"S"
"Prod-381",0,"S"
"Prod-382",0,"S"
"Prod-383",0,"S"
"Prod-384",0,"S"
"Prod-385",0,"S"
"Prod-386",0,"S"
"Prod-387",0,"S"
"Prod-388",0,"S"
"Prod-389",0,"S"
"Prod-390",0,"S"
"Prod-391",0,"S"
"Prod-392",0,"S"
"Prod-393",0,"S"
"Prod-394",0,"S"
"Prod-395",0,"S"
"Prod-396",0,"S"
"Prod-397",0,"S"
"Prod-398",0,"S"
"Prod-399",0,"S"
"Prod-400",0,"S"
"Prod-401",0,"S"
"Prod-402",0,"S"
"Prod-403",0,"S"
"Prod-404",0,"S"
"Prod-405",0,"S"
"Prod-406",0,"S"
"Prod-407",0,"S"
"Prod-408",0,"S"
"Prod-409",0,"S"
"Prod-410",0,"S"
"Prod-411",0,"S"
"Prod-412",0,"S"
"Prod-413",0,"S"
"Prod-414",0,"S"
"Prod-415",0,"S"
"Prod-416",0,"S"
"Prod-417",0,"S"
"Prod-418",0,"S"
"Prod-419",0,"S"
"Prod-420",0,"S"
"Prod-421",0,"S"
"Prod-422",0,"S"
"Prod-423",0,"S"
"Prod-424",0,"S"
"Prod-425",0,"S"
"Prod-426",0,"S"
"Prod-427",0,"S"
"Prod-428",0,"S"
"Prod-429",0,"S"
"Prod-430",0,"S"
"Prod-431",0,"S"
"Prod-432",0,"S"
"Prod-433",0,"S"
"Prod-434",0,"S"
"Prod-435",0,"S"
"Prod-436",0,"S"
"Prod-437",0,"S"
"Prod-438",0,"S"
"Prod-439",0,"S"
"Prod-440",0,"S"
"Prod-441",0,"S"
"Prod-442",0,"S"
"Prod-443",0,"S"
"Prod-444",0,"S"
"Prod-445",0,"S"
"Prod-446",0,"S"
"Prod-447",0,"S"
"Prod-448",0,"S"
"Prod-449",0,"S"
"Prod-450",0,"S"
"Prod-451",0,"S"
"Prod-452",0,"S"
"Prod-453",0,"S"
"Prod-454",0,"S"
"Prod-455",0,"S"
"Prod-456",0,"S"
"Prod-457",0,"S"
"Prod-458",0,"S"
"Prod-459",0,"S"
"Prod-460",0,"S"
"Prod-461",0,"S"
"Prod-462",0,"S"
"Prod-463",0,"S"
"Prod-464",0,"S"
"Prod-465",0,"S"
"Prod-466",0,"S"
"Prod-467",0,"S"
"Prod-468",0,"S"
"Prod-469",0,"S"
"Prod-470",0,"S"
"Prod-471",0,"S"
"Prod-472",0,"S"
"Prod-473",0,"S"
"Prod-474",0,"S"
"Prod-475",0,"S"
"Prod-476",0,"S"
"Prod-477",0,"S"
"Prod-478",0,"S"
"Prod-479",0,"S"
"Prod-480",0,"S"
"Prod-481",0,"S"
"Prod-482",0,"S"
"Prod-483",0,"S"
"Prod-484",0,"S"
"Prod-485",0,"S"
"Prod-486",0,"S"
"Prod-487",0,"S"
"Prod-488",0,"S"
"Prod-489",0,"S"
"Prod-490",0,"S"
"Prod-491",0,"S"
"Prod-492",0,"S"
"Prod-493",0,"S"
"Prod-494",0,"S"
"Prod-495",0,"S"
"Prod-496",0,"S"
"Prod-497",0,"S"
"Prod-498",0,"S"
"Prod-499",0,"S"
"Prod-500",0,"S"
"Prod-501",0,"S"
"Prod-502",0,"S"
"Prod-503",0,"S"
"Prod-504",0,"S"
"Prod-505",0,"S"
"Prod-506",0,"S"
"Prod-507",0,"S"
"Prod-508",0,"S"
"Prod-509",0,"S"
"Prod-510",0,"S"
"Prod-511",0,"S"
"Prod-512",0,"S"
"Prod-513",0,"S"
"Prod-514",0,"S"
"Prod-515",0,"S"
"Prod-516",0,"S"
"Prod-517",0,"S"
"Prod-518",0,"S"
"Prod-519",0,"S"
"Prod-520",0,"S"
"Prod-521",0,"S"
"Prod-522",0,"S"
"Prod-523",0,"S"
"Prod-524",0,"S"
"Prod-525",0,"S"
"Prod-526",0,"S"
"Prod-527",0,"S"
"Prod-528",0,"S"
"Prod-529",0,"S"
"Prod-530",0,"S"
"Prod-531",0,"S"
"Prod-532",0,"S"
"Prod-533",0,"S"
"Prod-534",0,"S"
"Prod-535",0,"S"
"Prod-536",0,"S"
"Prod-537",0,"S"
"Prod-538",0,"S"
"Prod-539",0,"S"
"Prod-540",0,"S"
"Prod-541",0,"S"
"Prod-542",0,"S"
"Prod-543",0,"S"
"Prod-544",0,"S"
"Prod-545",0,"S"
"Prod-546",0,"S"
"Prod-547",0,"S"
"Prod-548",0,"S"
"Prod-549",0,"S"
"Prod-550",0,"S"
"Prod-551",0,"S"
"Prod-552",0,"S"
"Prod-553",0,"S"
"Prod-554",0,"S"
"Prod-555",0,"S"
"Prod-556",0,"S"
"Prod-557",0,"S"
"Prod-558",0,"S"
"Prod-559",0,"S"
"Prod-560",0,"S"
"Prod-561",0,"S"
"Prod-562",0,"S"
"Prod-563",0,"S"
"Prod-564",0,"S"
"Prod-565",0,"S"
"Prod-566",0,"S"
"Prod-567",0,"S"
"Prod-568",0,"S"
"Prod-569",0,"S"
"Prod-570",0,"S"
"Prod-571",0,"S"
"Prod-572",0,"S"
"Prod-573",0,"S"
"Prod-574",0,"S"
"Prod-575",0,"S"
"Prod-576",0,"S"
"Prod-577",0,"S"
"Prod-578",0,"S"
"Prod-579",0,"S"
"Prod-580",0,"S"
"Prod-581",0,"S"
"Prod-582",0,"S"
"Prod-583",0,"S"
"Prod-584",0,"S"
"Prod-585",0,"S"
"Prod-586",0,"S"
"Prod-587",0,"S"
"Prod-588",0,"S"
"Prod-589",0,"S"
"Prod-590",0,"S"
"Prod-591",0,"S"
"Prod-592",0,"S"
"Prod-593",0,"S"
"Prod-594",0,"S"
"Prod-595",0,"S"
"Prod-596",0,"S"
"Prod-597",0,"S"
"Prod-598",0,"S"
"Prod-599",0,"S"
"Prod-600",0,"S"
