"ID","t"
"Prod-5",26.676
"Prod-8",33.8074
"Prod-14",48.8579
"Prod-23",41.8939
"Prod-35",43.245
"Prod-36",39.062
"Prod-38",34.3863
"Prod-44",28.6824
"Prod-45",35.5183
"Prod-50",56.8812
"Prod-51",47.9429
"Prod-53",41.683
"Prod-64",35.8324
"Prod-67",35.9323
"Prod-68",25.8251
"Prod-73",43.1965
"Prod-75",54.205
"Prod-78",46.7273
"Prod-95",51.2344
"Prod-105",48.6742
"Prod-113",66.0297
"Prod-122",30.6721
"Prod-130",46.3487
"Prod-141",45.6864
"Prod-143",58.2362
"Prod-150",44.3948
"Prod-151",32.0114
"Prod-155",32.2683
"Prod-157",47.7132
"Prod-160",45.5549
"Prod-162",45.2651
"Prod-178",48.2425
"Prod-191",33.5165
"Prod-192",22.8697
"Prod-193",38.8453
"Prod-199",28.9198
"Prod-201",37.391
"Prod-202",30.366
"Prod-217",46.2666
"Prod-222",40.0534
"Prod-227",37.2835
"Prod-232",60.422
"Prod-233",43.3505
"Prod-234",34.4891
"Prod-247",44.1594
"Prod-252",27.5931
"Prod-254",36.9522
"Prod-257",31.9802
"Prod-265",27.094
"Prod-267",28.0921
"Prod-268",28.1112
"Prod-269",53.0062
"Prod-279",32.5146
"Prod-313",43.5568
"Prod-316",66.756
"Prod-321",26.5932
"Prod-328",42.2084
"Prod-334",49.6722
"Prod-347",36.3439
"Prod-364",56.8549
"Prod-366",43.2779
"Prod-374",30.0651
"Prod-383",35.278
"Prod-384",23.8064
"Prod-387",28.4928
"Prod-392",30.0578
"Prod-401",54.5844
"Prod-403",42.2286
"Prod-405",65.5773
"Prod-408",53.3101
"Prod-417",66.2252
"Prod-420",49.1005
"Prod-426",26.7833
"Prod-428",39.1438
"Prod-429",21.4701
"Prod-446",32.2299
"Prod-455",36.1071
"Prod-461",55.1359
"Prod-485",78.1492
"Prod-491",39.3937
"Prod-498",49.6043
"Prod-500",49.6294
"Prod-510",19.4849
"Prod-529",34.4019
"Prod-548",53.3105
"Prod-564",43.1336
"Prod-571",47.2761
"Prod-574",41.2055
"Prod-588",59.657
"Prod-600",32.3674
