"ID","t"
"Ind-1",7.47526
"Ind-2",29.4397
"Ind-3",21.5865
"Ind-4",37.6178
"Ind-5",30.3866
"Ind-6",32.5187
"Ind-7",30.3286
"Ind-8",25.7054
"Ind-9",28.539
"Ind-10",34.1614
"Ind-11",21.4146
"Ind-12",20.6736
"Ind-13",20.0458
"Ind-14",18.7687
"Ind-15",43.8875
"Ind-16",36.5985
"Ind-17",36.1921
"Ind-18",36.3223
"Ind-19",37.0578
"Ind-20",30.7261
"Ind-21",36.8553
"Ind-22",31.5504
"Ind-23",26.7526
"Ind-24",40.0661
"Ind-25",32.9049
"Ind-26",9.46351
"Ind-27",25.1828
"Ind-28",47.988
"Ind-29",36.4628
"Ind-30",19.554
"Ind-31",34.8342
"Ind-32",29.2236
"Ind-33",44.6319
"Ind-34",36.9501
"Ind-35",9.11956
"Ind-36",33.8315
"Ind-37",13.2309
"Ind-38",23.9622
"Ind-39",26.855
"Ind-40",25.0375
"Ind-41",34.456
"Ind-42",24.4957
"Ind-43",28.3627
"Ind-44",14.1684
"Ind-45",16.5328
"Ind-46",19.5313
"Ind-47",26.4841
"Ind-48",15.6173
"Ind-49",38.1795
"Ind-50",26.3111
"Ind-51",36.2904
"Ind-52",30.5392
"Ind-53",47.4945
"Ind-54",22.1638
"Ind-55",41.691
"Ind-56",50.1364
"Ind-57",32.2444
"Ind-58",27.0951
"Ind-59",42.5606
"Ind-60",23.515
"Ind-61",23.4156
"Ind-62",33.1364
"Ind-63",20.3053
"Ind-64",35.42
"Ind-65",27.3994
"Ind-67",29.7649
"Ind-68",35.4838
"Ind-69",20.6823
"Ind-70",52.4705
"Ind-71",27.6976
"Ind-72",41.0289
"Ind-73",25.6845
"Ind-74",28.0783
"Ind-75",18.5482
"Ind-76",36.2942
"Ind-77",41.2511
"Ind-78",33.9263
"Ind-79",36.1308
"Ind-80",36.6929
"Ind-81",36.9425
"Ind-82",16.364
"Ind-83",28.6687
"Ind-84",25.0166
"Ind-85",13.6995
"Ind-86",35.8822
"Ind-87",27.6372
"Ind-88",26.5759
"Ind-90",25.9954
"Ind-91",26.111
"Ind-92",27.587
"Ind-93",32.171
"Ind-94",21.4646
"Ind-95",40.4357
"Ind-96",39.7692
"Ind-97",14.6979
"Ind-98",41.5172
"Ind-99",30.101
"Ind-100",16.5491
"Ind-101",22.4232
"Ind-102",30.584
"Ind-103",31.6698
"Ind-104",32.5901
"Ind-105",22.9938
"Ind-106",9.31207
"Ind-107",39.5498
"Ind-108",14.3758
"Ind-109",55.8734
"Ind-110",40.668
"Ind-111",23.498
"Ind-112",14.7696
"Ind-113",21.1733
"Ind-114",25.6676
"Ind-115",34.5178
"Ind-116",18.3123
"Ind-117",15.9949
"Ind-118",28.2091
"Ind-119",41.075
"Ind-120",34.5263
"Ind-121",39.7864
"Ind-122",36.9327
"Ind-123",45.8063
"Ind-124",33.827
"Ind-125",30.8732
"Ind-126",33.5447
"Ind-127",8.28328
"Ind-128",26.3742
"Ind-129",31.6174
"Ind-130",34.4589
"Ind-131",31.9904
"Ind-132",38.6623
"Ind-133",20.7938
"Ind-134",39.9164
"Ind-135",30.1579
"Ind-136",28.6107
"Ind-137",30.284
"Ind-138",20.2862
"Ind-139",26.6344
"Ind-140",25.5779
"Ind-141",32.1032
"Ind-142",33.5958
"Ind-143",31.4488
"Ind-144",46.1962
"Ind-145",42.2377
"Ind-146",40.0894
"Ind-147",37.2635
"Ind-148",13.0706
"Ind-149",33.3327
"Ind-150",40.4117
"Ind-151",35.7757
"Ind-152",18.508
"Ind-153",45.669
"Ind-154",45.4022
"Ind-155",20.0789
"Ind-156",45.756
"Ind-157",15.6837
"Ind-158",8.28406
"Ind-159",20.664
"Ind-160",26.2862
"Ind-161",17.8815
"Ind-162",28.3917
"Ind-163",28.4254
"Ind-164",35.5132
"Ind-165",32.5354
"Ind-166",31.7829
"Ind-167",35.0668
"Ind-168",29.2912
"Ind-169",23.3309
"Ind-170",30.1303
"Ind-171",36.3377
"Ind-172",34.5342
"Ind-173",19.4392
"Ind-174",23.3358
"Ind-175",51.1024
"Ind-177",57.1248
"Ind-178",42.4818
"Ind-179",23.8899
"Ind-180",26.638
"Ind-181",36.1765
"Ind-182",43.5455
"Ind-183",28.938
"Ind-184",22.5401
"Ind-185",24.2878
"Ind-186",27.756
"Ind-187",39.0916
"Ind-188",13.5386
"Ind-189",38.5077
"Ind-190",38.5315
"Ind-191",32.0554
"Ind-192",30.3162
"Ind-193",35.8346
"Ind-194",13.93
"Ind-195",32.5906
"Ind-196",34.0482
"Ind-197",11.2945
"Ind-198",37.2162
"Ind-199",36.314
