"ID","t"
"Ind-2",14.7083
"Ind-5",35.3842
"Ind-7",30.504
"Ind-8",34.5443
"Ind-9",32.3829
"Ind-10",46.9816
"Ind-11",26.8791
"Ind-12",8.52912
"Ind-13",10.7573
"Ind-14",9.4687
"Ind-16",40.4452
"Ind-19",36.0013
"Ind-21",60.6818
"Ind-23",34.1306
"Ind-26",9.39769
"Ind-27",27.0633
"Ind-30",18.4062
"Ind-31",41.1474
"Ind-34",56.6547
"Ind-35",2.70257
"Ind-37",7.35477
"Ind-39",22.1696
"Ind-40",18.3706
"Ind-41",44.5535
"Ind-42",31.775
"Ind-44",12.1854
"Ind-46",11.6138
"Ind-47",35.4552
"Ind-48",39.1868
"Ind-50",31.4409
"Ind-58",36.5546
"Ind-61",15.3625
"Ind-63",11.8259
"Ind-64",37.8437
"Ind-65",18.0272
"Ind-69",29.2961
"Ind-71",44.957
"Ind-74",33.6737
"Ind-75",9.39769
"Ind-82",18.248
"Ind-85",27.631
"Ind-87",27.4721
"Ind-90",47.1389
"Ind-91",19.1066
"Ind-96",58.8645
"Ind-97",14.0679
"Ind-98",59.7497
"Ind-99",5.98477
"Ind-100",8.81639
"Ind-106",5.92873
"Ind-108",24.7444
"Ind-112",10.3041
"Ind-116",3.14163
"Ind-117",13.8378
"Ind-120",37.5444
"Ind-127",3.86268
"Ind-128",15.1451
"Ind-129",52.7533
"Ind-133",14.928
"Ind-134",52.7458
"Ind-136",41.8414
"Ind-143",9.74995
"Ind-148",7.36408
"Ind-151",60.6721
"Ind-155",5.79434
"Ind-157",6.13015
"Ind-158",5.25465
"Ind-159",14.7549
"Ind-160",16.728
"Ind-162",35.753
"Ind-163",39.5226
"Ind-164",45.3454
"Ind-166",36.2639
"Ind-167",43.441
"Ind-169",44.466
"Ind-173",28.4697
"Ind-179",27.9022
"Ind-184",31.2377
"Ind-185",39.0859
"Ind-186",37.1657
"Ind-188",10.6546
"Ind-190",57.146
"Ind-191",40.6211
"Ind-194",10.599
"Ind-197",4.52943
