"l","l'",Value
"Clackmannanshire","Clackmannanshire","14.3593"
"Dumfries-and-Galloway","Clackmannanshire","0.00100147"
"East-Ayrshire","Clackmannanshire","0.00460115"
"East-Lothian","Clackmannanshire","0.0119756"
"East-Renfrewshire","Clackmannanshire","0.0132814"
"Na-h-Eileanan-Siar","Clackmannanshire","0.00124313"
"Falkirk","Clackmannanshire","0.348021"
"Highland","Clackmannanshire","0.00179988"
"Inverclyde","Clackmannanshire","0.00415693"
"Midlothian","Clackmannanshire","0.0168388"
"Moray","Clackmannanshire","0.000996928"
"North-Ayrshire","Clackmannanshire","0.00359734"
"Orkney-Islands","Clackmannanshire","0.0000807"
"Scottish-Borders","Clackmannanshire","0.00322589"
"Shetland-Islands","Clackmannanshire","0.00542168"
"South-Ayrshire","Clackmannanshire","0.00353005"
"South-Lanarkshire","Clackmannanshire","0.0162461"
"Stirling","Clackmannanshire","0.935537"
"Aberdeen-City","Clackmannanshire","0.00205797"
"Aberdeenshire","Clackmannanshire","0.00182857"
"Argyll-and-Bute","Clackmannanshire","0.0103768"
"City-of-Edinburgh","Clackmannanshire","0.0277171"
"Renfrewshire","Clackmannanshire","0.0105556"
"West-Dunbartonshire","Clackmannanshire","0.0125605"
"West-Lothian","Clackmannanshire","0.0500705"
"Angus","Clackmannanshire","0.00616455"
"Dundee-City","Clackmannanshire","0.00962456"
"East-Dunbartonshire","Clackmannanshire","0.0278285"
"Fife","Clackmannanshire","0.0778774"
"Perth-and-Kinross","Clackmannanshire","0.0837611"
"Glasgow-City","Clackmannanshire","0.0181395"
"North-Lanarkshire","Clackmannanshire","0.0363968"
"Clackmannanshire","Dumfries-and-Galloway","0.00100147"
"Dumfries-and-Galloway","Dumfries-and-Galloway","6.4775"
"East-Ayrshire","Dumfries-and-Galloway","0.0282338"
"East-Lothian","Dumfries-and-Galloway","0.00131025"
"East-Renfrewshire","Dumfries-and-Galloway","0.00245629"
"Na-h-Eileanan-Siar","Dumfries-and-Galloway","0.00191503"
"Falkirk","Dumfries-and-Galloway","0.00119701"
"Highland","Dumfries-and-Galloway","0.00096382"
"Inverclyde","Dumfries-and-Galloway","0.00199472"
"Midlothian","Dumfries-and-Galloway","0.00183808"
"Moray","Dumfries-and-Galloway","0.000752454"
"North-Ayrshire","Dumfries-and-Galloway","0.00812797"
"Orkney-Islands","Dumfries-and-Galloway","0.000625722"
"Scottish-Borders","Dumfries-and-Galloway","0.0114332"
"Shetland-Islands","Dumfries-and-Galloway","0.00107044"
"South-Ayrshire","Dumfries-and-Galloway","0.0266522"
"South-Lanarkshire","Dumfries-and-Galloway","0.00739725"
"Stirling","Dumfries-and-Galloway","0.00192304"
"Aberdeen-City","Dumfries-and-Galloway","0.00103593"
"Aberdeenshire","Dumfries-and-Galloway","0.000876026"
"Argyll-and-Bute","Dumfries-and-Galloway","0.0022889"
"City-of-Edinburgh","Dumfries-and-Galloway","0.00256304"
"Renfrewshire","Dumfries-and-Galloway","0.00222247"
"West-Dunbartonshire","Dumfries-and-Galloway","0.00154599"
"West-Lothian","Dumfries-and-Galloway","0.00160277"
"Angus","Dumfries-and-Galloway","0.000545987"
"Dundee-City","Dumfries-and-Galloway","0.000221365"
"East-Dunbartonshire","Dumfries-and-Galloway","0.00231008"
"Fife","Dumfries-and-Galloway","0.00107237"
"Perth-and-Kinross","Dumfries-and-Galloway","0.00109422"
"Glasgow-City","Dumfries-and-Galloway","0.00323301"
"North-Lanarkshire","Dumfries-and-Galloway","0.00308068"
"Clackmannanshire","East-Ayrshire","0.00460115"
"Dumfries-and-Galloway","East-Ayrshire","0.0282338"
"East-Ayrshire","East-Ayrshire","6.33679"
"East-Lothian","East-Ayrshire","0.00124256"
"East-Renfrewshire","East-Ayrshire","0.100171"
"Na-h-Eileanan-Siar","East-Ayrshire","0.000475823"
"Falkirk","East-Ayrshire","0.00617934"
"Highland","East-Ayrshire","0.000594994"
"Inverclyde","East-Ayrshire","0.0216984"
"Midlothian","East-Ayrshire","0.00272514"
"Moray","East-Ayrshire","0.00096386"
"North-Ayrshire","East-Ayrshire","0.367999"
"Orkney-Islands","East-Ayrshire","0.00116723"
"Scottish-Borders","East-Ayrshire","0.00110739"
"Shetland-Islands","East-Ayrshire","0.0000954"
"South-Ayrshire","East-Ayrshire","0.672969"
"South-Lanarkshire","East-Ayrshire","0.0499092"
"Stirling","East-Ayrshire","0.00702765"
"Aberdeen-City","East-Ayrshire","0.00106612"
"Aberdeenshire","East-Ayrshire","0.000490344"
"Argyll-and-Bute","East-Ayrshire","0.00888333"
"City-of-Edinburgh","East-Ayrshire","0.0022706"
"Renfrewshire","East-Ayrshire","0.0651338"
"West-Dunbartonshire","East-Ayrshire","0.0209555"
"West-Lothian","East-Ayrshire","0.00624977"
"Angus","East-Ayrshire","0.000970462"
"Dundee-City","East-Ayrshire","0.000387409"
"East-Dunbartonshire","East-Ayrshire","0.0291271"
"Fife","East-Ayrshire","0.00152246"
"Perth-and-Kinross","East-Ayrshire","0.00139377"
"Glasgow-City","East-Ayrshire","0.0575203"
"North-Lanarkshire","East-Ayrshire","0.0222983"
"Clackmannanshire","East-Lothian","0.0119756"
"Dumfries-and-Galloway","East-Lothian","0.00131025"
"East-Ayrshire","East-Lothian","0.00124256"
"East-Lothian","East-Lothian","7.38687"
"East-Renfrewshire","East-Lothian","0.00340813"
"Na-h-Eileanan-Siar","East-Lothian","0.000274647"
"Falkirk","East-Lothian","0.0280139"
"Highland","East-Lothian","0.00136571"
"Inverclyde","East-Lothian","0.00194749"
"Midlothian","East-Lothian","0.410243"
"Moray","East-Lothian","0.00155966"
