"Compartment","Population"
"G1-1",0
"G1-2",0
"G1-3",0
"G1-4",0
"G1-5",0
"G1-6",0
"G1-7",0
"G1-8",0
"G1-9",0
"G1-10",0
"G1-11",0
"G1-12",0
"G1-13",0
"G1-14",0
"G1-15",0
"G1-16",0
"G1-17",0
"G1-18",0
"G1-19",0
"G1-20",0
"G2-1",0
"G2-2",0
"G2-3",0
"G2-4",0
"G2-5",0
"G2-6",0
"G2-7",0
"G2-8",0
"G2-9",0
"G2-10",0
"G2-11",0
"G2-12",0
"G2-13",0
"G2-14",0
"G2-15",0
"G2-16",0
"G2-17",0
"G2-18",0
"G2-19",0
"G2-20",0
"G3-1",0
"G3-2",0
"G3-3",0
"G3-4",0
"G3-5",0
"G3-6",0
"G3-7",0
"G3-8",0
"G3-9",0
"G3-10",0
"G3-11",0
"G3-12",0
"G3-13",0
"G3-14",0
"G3-15",0
"G3-16",0
"G3-17",0
"G3-18",0
"G3-19",0
"G3-20",0
"G4-1",0
"G4-2",0
"G4-3",0
"G4-4",0
"G4-5",0
"G4-6",0
"G4-7",0
"G4-8",0
"G4-9",0
"G4-10",0
"G4-11",0
"G4-12",0
"G4-13",0
"G4-14",0
"G4-15",0
"G4-16",0
"G4-17",0
"G4-18",0
"G4-19",0
"G4-20",0
"G5-1",0
"G5-2",0
"G5-3",0
"G5-4",0
"G5-5",0
"G5-6",0
"G5-7",0
"G5-8",0
"G5-9",0
"G5-10",0
"G5-11",0
"G5-12",0
"G5-13",0
"G5-14",0
"G5-15",0
"G5-16",0
"G5-17",0
"G5-18",0
"G5-19",0
"G5-20",0
"G6-1",0
"G6-2",0
"G6-3",0
"G6-4",0
"G6-5",0
"G6-6",0
"G6-7",0
"G6-8",0
"G6-9",0
"G6-10",0
"G6-11",0
"G6-12",0
"G6-13",0
"G6-14",0
"G6-15",0
"G6-16",0
"G6-17",0
"G6-18",0
"G6-19",0
"G6-20",0
"G7-1",0
"G7-2",0
"G7-3",0
"G7-4",0
"G7-5",0
"G7-6",0
"G7-7",0
"G7-8",0
"G7-9",0
"G7-10",0
"G7-11",0
"G7-12",0
"G7-13",0
"G7-14",0
"G7-15",0
"G7-16",0
"G7-17",0
"G7-18",0
"G7-19",0
"G7-20",0
"G8-1",0
"G8-2",0
"G8-3",0
"G8-4",0
"G8-5",0
"G8-6",0
"G8-7",0
"G8-8",0
"G8-9",0
"G8-10",0
"G8-11",0
"G8-12",0
"G8-13",0
"G8-14",0
"G8-15",0
"G8-16",0
"G8-17",0
"G8-18",0
"G8-19",0
"G8-20",0
"G9-1",0
"G9-2",0
"G9-3",0
"G9-4",0
"G9-5",0
"G9-6",0
"G9-7",0
"G9-8",0
"G9-9",0
"G9-10",0
"G9-11",0
"G9-12",0
"G9-13",0
"G9-14",0
"G9-15",0
"G9-16",0
"G9-17",0
"G9-18",0
"G9-19",0
"G9-20",0
"G10-1",0
"G10-2",0
"G10-3",0
"G10-4",0
"G10-5",0
"G10-6",0
"G10-7",0
"G10-8",0
"G10-9",0
"G10-10",100
"G10-11",0
"G10-12",0
"G10-13",0
"G10-14",0
"G10-15",0
"G10-16",0
"G10-17",0
"G10-18",0
"G10-19",0
"G10-20",0
"G11-1",0
"G11-2",0
"G11-3",0
"G11-4",0
