"ID","t","Age"
"Sim-Animal-Ind-1",10,"A4"
"Sim-Animal-Ind-1",20,"A10+"
"Sim-Animal-Ind-1",30,"A10+"
"Sim-Animal-Ind-1",40,"!"
"Sim-Animal-Ind-1",50,"!"
"Sim-Animal-Ind-1",60,"!"
"Sim-Animal-Ind-1",70,"!"
"Sim-Animal-Ind-1",80,"!"
"Sim-Animal-Ind-1",90,"!"
"Sim-Animal-Ind-1",100,"!"
"Sim-Animal-Ind-2",10,"A4"
"Sim-Animal-Ind-2",20,"A10+"
"Sim-Animal-Ind-2",30,"A10+"
"Sim-Animal-Ind-2",40,"A10+"
"Sim-Animal-Ind-2",50,"!"
"Sim-Animal-Ind-2",60,"!"
"Sim-Animal-Ind-2",70,"!"
"Sim-Animal-Ind-2",80,"!"
"Sim-Animal-Ind-2",90,"!"
"Sim-Animal-Ind-2",100,"!"
"Sim-Animal-Ind-3",10,"A1"
"Sim-Animal-Ind-3",20,"A10+"
"Sim-Animal-Ind-3",30,"A10+"
"Sim-Animal-Ind-3",40,"A10+"
"Sim-Animal-Ind-3",50,"!"
"Sim-Animal-Ind-3",60,"!"
"Sim-Animal-Ind-3",70,"!"
"Sim-Animal-Ind-3",80,"!"
"Sim-Animal-Ind-3",90,"!"
"Sim-Animal-Ind-3",100,"!"
"Sim-Animal-Ind-4",10,"A0"
"Sim-Animal-Ind-4",20,"!"
"Sim-Animal-Ind-4",30,"!"
"Sim-Animal-Ind-4",40,"!"
"Sim-Animal-Ind-4",50,"!"
"Sim-Animal-Ind-4",60,"!"
"Sim-Animal-Ind-4",70,"!"
"Sim-Animal-Ind-4",80,"!"
"Sim-Animal-Ind-4",90,"!"
"Sim-Animal-Ind-4",100,"!"
"Sim-Animal-Ind-5",10,"!"
"Sim-Animal-Ind-5",20,"A4"
"Sim-Animal-Ind-5",30,"A10+"
"Sim-Animal-Ind-5",40,"A10+"
"Sim-Animal-Ind-5",50,"!"
"Sim-Animal-Ind-5",60,"!"
"Sim-Animal-Ind-5",70,"!"
"Sim-Animal-Ind-5",80,"!"
"Sim-Animal-Ind-5",90,"!"
"Sim-Animal-Ind-5",100,"!"
"Sim-Animal-Ind-6",10,"!"
"Sim-Animal-Ind-6",20,"!"
"Sim-Animal-Ind-6",30,"!"
"Sim-Animal-Ind-6",40,"!"
"Sim-Animal-Ind-6",50,"!"
"Sim-Animal-Ind-6",60,"!"
"Sim-Animal-Ind-6",70,"!"
"Sim-Animal-Ind-6",80,"!"
"Sim-Animal-Ind-6",90,"!"
"Sim-Animal-Ind-6",100,"!"
"Sim-Animal-Ind-7",10,"!"
"Sim-Animal-Ind-7",20,"A4"
"Sim-Animal-Ind-7",30,"!"
"Sim-Animal-Ind-7",40,"!"
"Sim-Animal-Ind-7",50,"!"
"Sim-Animal-Ind-7",60,"!"
"Sim-Animal-Ind-7",70,"!"
"Sim-Animal-Ind-7",80,"!"
"Sim-Animal-Ind-7",90,"!"
"Sim-Animal-Ind-7",100,"!"
"Sim-Animal-Ind-8",10,"!"
"Sim-Animal-Ind-8",20,"A4"
"Sim-Animal-Ind-8",30,"A10+"
"Sim-Animal-Ind-8",40,"!"
"Sim-Animal-Ind-8",50,"!"
"Sim-Animal-Ind-8",60,"!"
"Sim-Animal-Ind-8",70,"!"
"Sim-Animal-Ind-8",80,"!"
"Sim-Animal-Ind-8",90,"!"
"Sim-Animal-Ind-8",100,"!"
"Sim-Animal-Ind-9",10,"!"
"Sim-Animal-Ind-9",20,"A4"
"Sim-Animal-Ind-9",30,"!"
"Sim-Animal-Ind-9",40,"!"
"Sim-Animal-Ind-9",50,"!"
"Sim-Animal-Ind-9",60,"!"
"Sim-Animal-Ind-9",70,"!"
"Sim-Animal-Ind-9",80,"!"
"Sim-Animal-Ind-9",90,"!"
"Sim-Animal-Ind-9",100,"!"
"Sim-Animal-Ind-10",10,"!"
"Sim-Animal-Ind-10",20,"A4"
"Sim-Animal-Ind-10",30,"!"
"Sim-Animal-Ind-10",40,"!"
"Sim-Animal-Ind-10",50,"!"
"Sim-Animal-Ind-10",60,"!"
"Sim-Animal-Ind-10",70,"!"
"Sim-Animal-Ind-10",80,"!"
"Sim-Animal-Ind-10",90,"!"
"Sim-Animal-Ind-10",100,"!"
"Sim-Animal-Ind-11",10,"!"
"Sim-Animal-Ind-11",20,"A4"
"Sim-Animal-Ind-11",30,"A10+"
"Sim-Animal-Ind-11",40,"A10+"
"Sim-Animal-Ind-11",50,"A10+"
"Sim-Animal-Ind-11",60,"A10+"
"Sim-Animal-Ind-11",70,"!"
"Sim-Animal-Ind-11",80,"!"
"Sim-Animal-Ind-11",90,"!"
"Sim-Animal-Ind-11",100,"!"
"Sim-Animal-Ind-12",10,"!"
"Sim-Animal-Ind-12",20,"A4"
"Sim-Animal-Ind-12",30,"A10+"
"Sim-Animal-Ind-12",40,"!"
"Sim-Animal-Ind-12",50,"!"
"Sim-Animal-Ind-12",60,"!"
"Sim-Animal-Ind-12",70,"!"
"Sim-Animal-Ind-12",80,"!"
"Sim-Animal-Ind-12",90,"!"
"Sim-Animal-Ind-12",100,"!"
"Sim-Animal-Ind-13",10,"!"
"Sim-Animal-Ind-13",20,"!"
"Sim-Animal-Ind-13",30,"!"
"Sim-Animal-Ind-13",40,"!"
"Sim-Animal-Ind-13",50,"!"
"Sim-Animal-Ind-13",60,"!"
"Sim-Animal-Ind-13",70,"!"
"Sim-Animal-Ind-13",80,"!"
"Sim-Animal-Ind-13",90,"!"
"Sim-Animal-Ind-13",100,"!"
"Sim-Animal-Ind-14",10,"!"
"Sim-Animal-Ind-14",20,"A4"
"Sim-Animal-Ind-14",30,"A10+"
"Sim-Animal-Ind-14",40,"A10+"
"Sim-Animal-Ind-14",50,"A10+"
"Sim-Animal-Ind-14",60,"A10+"
"Sim-Animal-Ind-14",70,"A10+"
"Sim-Animal-Ind-14",80,"!"
"Sim-Animal-Ind-14",90,"!"
"Sim-Animal-Ind-14",100,"!"
"Sim-Animal-Ind-15",10,"!"
"Sim-Animal-Ind-15",20,"A4"
"Sim-Animal-Ind-15",30,"A10+"
"Sim-Animal-Ind-15",40,"!"
"Sim-Animal-Ind-15",50,"!"
"Sim-Animal-Ind-15",60,"!"
"Sim-Animal-Ind-15",70,"!"
"Sim-Animal-Ind-15",80,"!"
"Sim-Animal-Ind-15",90,"!"
"Sim-Animal-Ind-15",100,"!"
"Sim-Animal-Ind-16",10,"!"
"Sim-Animal-Ind-16",20,"A1"
"Sim-Animal-Ind-16",30,"A10+"
"Sim-Animal-Ind-16",40,"A10+"
"Sim-Animal-Ind-16",50,"A10+"
"Sim-Animal-Ind-16",60,"A10+"
"Sim-Animal-Ind-16",70,"A10+"
"Sim-Animal-Ind-16",80,"A10+"
"Sim-Animal-Ind-16",90,"!"
"Sim-Animal-Ind-16",100,"!"
"Sim-Animal-Ind-17",10,"!"
"Sim-Animal-Ind-17",20,"A1"
"Sim-Animal-Ind-17",30,"A10+"
"Sim-Animal-Ind-17",40,"A10+"
"Sim-Animal-Ind-17",50,"A10+"
"Sim-Animal-Ind-17",60,"A10+"
"Sim-Animal-Ind-17",70,"A10+"
"Sim-Animal-Ind-17",80,"A10+"
"Sim-Animal-Ind-17",90,"A10+"
"Sim-Animal-Ind-17",100,"!"
"Sim-Animal-Ind-18",10,"!"
"Sim-Animal-Ind-18",20,"A1"
"Sim-Animal-Ind-18",30,"A10+"
"Sim-Animal-Ind-18",40,"!"
"Sim-Animal-Ind-18",50,"!"
"Sim-Animal-Ind-18",60,"!"
"Sim-Animal-Ind-18",70,"!"
