"t",Value
"start","0.7"
"14","0.7"
"28","0.7"
"42","0.7"
"56","0.7"
"70","0.7"
"84","0.7"
"98","0.7"
"112","0.7"
"126","0.7"
"140","0.3"
"154","0.3"
"168","0.3"
"182","0.3"
"196","0.3"
"210","0.3"
"224","0.3"
"238","0.3"
"252","0.3"
"266","0.3"
"280","1"
"294","1"
"308","1"
"322","1"
"336","1"
"350","1"
"364","1"
"378","1"
"392","1"
"406","1"
"420","0.3"
"434","0.3"
"448","0.3"
"462","0.3"
"476","0.3"
"490","0.3"
"504","0.3"
"518","0.3"
"532","0.3"
"546","0.3"
"560","0.3"
"574","0.3"
"end","0.3"
