"Start","End","Number"
0,14,0
14,28,1
28,42,19
42,56,194
56,70,1461
70,84,11723
84,98,77511
98,112,171283
112,126,149990
126,140,99578
140,154,60593
154,168,34902
168,182,19918
182,196,11224
196,210,6349
210,224,3523
224,238,1993
238,252,1122
252,266,632
266,280,314
280,294,461
294,308,1718
308,322,6778
322,336,11904
336,350,9685
350,364,5997
364,378,3615
378,392,3511
392,406,7051
406,420,17420
420,434,43325
434,448,98897
448,462,127074
462,476,88875
476,490,49482
490,504,25711
504,518,12731
518,532,6379
532,546,3042
546,560,1499
560,574,719
574,588,367
