"ID","t"
"Sim-People-Ind-1",10.8569
"Sim-People-Ind-2",11.8999
"Sim-People-Ind-3",7.67236
"Sim-People-Ind-4",15.4855
"Sim-People-Ind-5",12.9168
"Sim-People-Ind-6",11.3839
"Sim-People-Ind-7",14.0927
"Sim-People-Ind-8",6.95333
"Sim-People-Ind-9",12.2476
"Sim-People-Ind-10",14.075
"Sim-People-Ind-11",22.293
"Sim-People-Ind-12",8.80446
"Sim-People-Ind-13",12.7974
"Sim-People-Ind-14",10.5009
"Sim-People-Ind-15",14.6859
"Sim-People-Ind-16",10.2704
"Sim-People-Ind-17",7.15939
"Sim-People-Ind-18",13.4122
"Sim-People-Ind-19",12.7999
"Sim-People-Ind-20",15.1951
"Sim-People-Ind-21",15.5682
"Sim-People-Ind-22",12.0761
"Sim-People-Ind-23",11.0164
"Sim-People-Ind-24",10.7654
"Sim-People-Ind-25",15.6004
"Sim-People-Ind-26",18.3921
"Sim-People-Ind-27",1.55008
"Sim-People-Ind-28",8.00425
"Sim-People-Ind-29",10.7643
"Sim-People-Ind-30",13.0422
"Sim-People-Ind-31",15.1572
"Sim-People-Ind-32",13.27
"Sim-People-Ind-33",17.9798
"Sim-People-Ind-34",2.04866
"Sim-People-Ind-35",14.0689
"Sim-People-Ind-36",10.965
"Sim-People-Ind-37",16.5575
"Sim-People-Ind-38",11.6504
"Sim-People-Ind-39",14.1464
"Sim-People-Ind-40",9.35073
"Sim-People-Ind-41",12.0338
"Sim-People-Ind-42",0.904696
"Sim-People-Ind-43",8.68697
"Sim-People-Ind-44",14.0657
"Sim-People-Ind-45",9.77264
"Sim-People-Ind-46",13.5533
"Sim-People-Ind-47",10.1458
"Sim-People-Ind-48",14.3541
"Sim-People-Ind-49",12.2303
"Sim-People-Ind-50",19.1669
