"Start","End","Number"
0,14,1
14,28,29
28,42,306
42,56,2508
56,70,20141
70,84,158777
84,98,683763
98,112,560624
112,126,324551
126,140,185865
140,154,105514
154,168,58917
168,182,33270
182,196,18750
196,210,10377
210,224,5849
224,238,3150
238,252,1756
252,266,950
266,280,972
280,294,3834
294,308,16890
308,322,49117
322,336,35327
336,350,19051
350,364,10532
364,378,8427
378,392,19327
392,406,48843
406,420,122666
420,434,300847
434,448,520350
448,462,309853
462,476,150531
476,490,72835
490,504,35377
504,518,17151
518,532,8189
532,546,3909
546,560,1837
560,574,857
574,588,396
