"t",Value
"start","1"
"14","1"
"28","1"
"42","1"
"56","1"
"70","1"
"84","1"
"98","0.3"
"112","0.3"
"126","0.3"
"140","0.3"
"154","0.3"
"168","0.3"
"182","0.3"
"196","0.3"
"210","0.3"
"224","0.3"
"238","0.3"
"252","0.3"
"266","0.3"
"280","0.9"
"294","0.9"
"308","0.9"
"322","0.3"
"336","0.3"
"350","0.3"
"364","0.3"
"378","0.7"
"392","0.7"
"406","0.7"
"420","0.7"
"434","0.7"
"448","0.3"
"462","0.3"
"476","0.3"
"490","0.3"
"504","0.3"
"518","0.3"
"532","0.3"
"546","0.3"
"560","0.3"
"574","0.3"
"end","0.3"
