"ID","t"
"Sim-People-Ind-1",34.1175
"Sim-People-Ind-2",55.0894
"Sim-People-Ind-3",17.4486
"Sim-People-Ind-4",24.8655
"Sim-People-Ind-5",45.6552
"Sim-People-Ind-6",70.2468
"Sim-People-Ind-7",32.268
"Sim-People-Ind-8",29.8839
"Sim-People-Ind-9",13.7362
"Sim-People-Ind-10",36.2239
"Sim-People-Ind-11",33.9117
"Sim-People-Ind-12",61.1027
"Sim-People-Ind-13",21.4899
"Sim-People-Ind-14",29.9537
"Sim-People-Ind-15",19.0232
"Sim-People-Ind-16",50.2041
"Sim-People-Ind-17",19.4229
"Sim-People-Ind-18",52.3463
"Sim-People-Ind-19",16.043
"Sim-People-Ind-20",36.325
"Sim-People-Ind-21",18.1074
"Sim-People-Ind-22",30.1247
"Sim-People-Ind-23",11.1598
"Sim-People-Ind-24",25.7011
"Sim-People-Ind-25",20.0292
"Sim-People-Ind-26",47.995
"Sim-People-Ind-27",3.84613
"Sim-People-Ind-28",68.3522
"Sim-People-Ind-29",33.3676
"Sim-People-Ind-30",19.189
"Sim-People-Ind-31",17.0065
"Sim-People-Ind-32",30.3868
"Sim-People-Ind-33",68.8379
"Sim-People-Ind-34",22.2244
"Sim-People-Ind-35",16.4951
"Sim-People-Ind-36",35.2689
"Sim-People-Ind-37",54.9422
"Sim-People-Ind-38",94.4313
"Sim-People-Ind-39",14.4332
"Sim-People-Ind-40",21.1121
"Sim-People-Ind-41",43.0421
"Sim-People-Ind-42",11.0677
"Sim-People-Ind-43",13.1932
"Sim-People-Ind-44",21.141
"Sim-People-Ind-45",56.5529
"Sim-People-Ind-46",46.2414
"Sim-People-Ind-47",11.3419
"Sim-People-Ind-48",28.1957
"Sim-People-Ind-49",33.3959
"Sim-People-Ind-50",87.7404
"Sim-People-Ind-51",1.24062
"Sim-People-Ind-52",46.8706
"Sim-People-Ind-53",14.0494
"Sim-People-Ind-54",28.5507
"Sim-People-Ind-55",25.1547
"Sim-People-Ind-56",20.2546
"Sim-People-Ind-57",13.0307
"Sim-People-Ind-58",6.71739
"Sim-People-Ind-59",56.954
"Sim-People-Ind-60",56.9087
"Sim-People-Ind-61",6.22324
"Sim-People-Ind-62",24.3786
"Sim-People-Ind-63",21.8822
"Sim-People-Ind-64",27.5655
"Sim-People-Ind-65",27.3487
"Sim-People-Ind-66",34.0819
"Sim-People-Ind-67",20.0936
"Sim-People-Ind-68",25.2995
"Sim-People-Ind-69",12.3297
"Sim-People-Ind-70",15.7379
"Sim-People-Ind-71",27.1486
"Sim-People-Ind-72",24.469
"Sim-People-Ind-73",22.8482
"Sim-People-Ind-74",12.2279
"Sim-People-Ind-75",55.5335
"Sim-People-Ind-76",13.5599
"Sim-People-Ind-77",21.5657
"Sim-People-Ind-78",20.6585
"Sim-People-Ind-79",25.0608
"Sim-People-Ind-80",20.1831
"Sim-People-Ind-81",26.7621
"Sim-People-Ind-82",16.7334
"Sim-People-Ind-83",18.3635
"Sim-People-Ind-84",24.0906
"Sim-People-Ind-85",19.8789
"Sim-People-Ind-86",30.2986
"Sim-People-Ind-87",10.019
"Sim-People-Ind-88",22.65
"Sim-People-Ind-89",26.7171
"Sim-People-Ind-90",7.49078
"Sim-People-Ind-91",11.066
"Sim-People-Ind-92",24.1343
"Sim-People-Ind-93",22.0425
"Sim-People-Ind-94",15.4768
"Sim-People-Ind-95",30.2817
"Sim-People-Ind-96",23.5382
"Sim-People-Ind-97",25.7402
"Sim-People-Ind-98",20.683
"Sim-People-Ind-99",23.6613
"Sim-People-Ind-100",35.8319
"Sim-People-Ind-101",40.1514
"Sim-People-Ind-102",1.76081
