"ID","t","DS"
"Sim-People-Ind-1",20,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-1",40,"R:0.9|I:0.1"
"Sim-People-Ind-1",60,"R:0.9|I:0.1"
"Sim-People-Ind-1",80,"R:0.9|I:0.1"
"Sim-People-Ind-1",100,"R:0.9|I:0.1"
"Sim-People-Ind-2",20,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-2",40,"I:0.9|S:0.1"
"Sim-People-Ind-2",60,"R:0.9|I:0.1"
"Sim-People-Ind-2",80,"R:0.9|I:0.1"
"Sim-People-Ind-2",100,"R:0.9|I:0.1"
"Sim-People-Ind-3",20,"R:0.9|I:0.1"
"Sim-People-Ind-3",40,"R:0.9|I:0.1"
"Sim-People-Ind-3",60,"R:0.9|I:0.1"
"Sim-People-Ind-3",80,"R:0.9|I:0.1"
"Sim-People-Ind-3",100,"R:0.9|I:0.1"
"Sim-People-Ind-4",20,"I:0.9|S:0.1"
"Sim-People-Ind-4",40,"R:0.9|I:0.1"
"Sim-People-Ind-4",60,"R:0.9|I:0.1"
"Sim-People-Ind-4",80,"R:0.9|I:0.1"
"Sim-People-Ind-4",100,"R:0.9|I:0.1"
"Sim-People-Ind-5",20,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-5",40,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-5",60,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-5",80,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-5",100,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-6",20,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-6",40,"R:0.9|I:0.1"
"Sim-People-Ind-6",60,"R:0.9|I:0.1"
"Sim-People-Ind-6",80,"R:0.9|I:0.1"
"Sim-People-Ind-6",100,"R:0.9|I:0.1"
"Sim-People-Ind-7",20,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-7",40,"I:0.9|S:0.1"
"Sim-People-Ind-7",60,"R:0.9|I:0.1"
"Sim-People-Ind-7",80,"R:0.9|I:0.1"
"Sim-People-Ind-7",100,"R:0.9|I:0.1"
"Sim-People-Ind-8",20,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-8",40,"R:0.9|I:0.1"
"Sim-People-Ind-8",60,"R:0.9|I:0.1"
"Sim-People-Ind-8",80,"R:0.9|I:0.1"
"Sim-People-Ind-8",100,"R:0.9|I:0.1"
"Sim-People-Ind-9",20,"I:0.9|S:0.1"
"Sim-People-Ind-9",40,"R:0.9|I:0.1"
"Sim-People-Ind-9",60,"R:0.9|I:0.1"
"Sim-People-Ind-9",80,"R:0.9|I:0.1"
"Sim-People-Ind-9",100,"R:0.9|I:0.1"
"Sim-People-Ind-10",20,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-10",40,"R:0.9|I:0.1"
"Sim-People-Ind-10",60,"R:0.9|I:0.1"
"Sim-People-Ind-10",80,"R:0.9|I:0.1"
"Sim-People-Ind-10",100,"R:0.9|I:0.1"
"Sim-People-Ind-11",20,"I:0.9|S:0.1"
"Sim-People-Ind-11",40,"I:0.9|S:0.1"
"Sim-People-Ind-11",60,"R:0.9|I:0.1"
"Sim-People-Ind-11",80,"R:0.9|I:0.1"
"Sim-People-Ind-11",100,"R:0.9|I:0.1"
"Sim-People-Ind-12",20,"R:0.9|I:0.1"
"Sim-People-Ind-12",40,"R:0.9|I:0.1"
"Sim-People-Ind-12",60,"R:0.9|I:0.1"
"Sim-People-Ind-12",80,"R:0.9|I:0.1"
"Sim-People-Ind-12",100,"R:0.9|I:0.1"
"Sim-People-Ind-13",20,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-13",40,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-13",60,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-13",80,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-13",100,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-14",20,"I:0.9|S:0.1"
"Sim-People-Ind-14",40,"R:0.9|I:0.1"
"Sim-People-Ind-14",60,"R:0.9|I:0.1"
"Sim-People-Ind-14",80,"R:0.9|I:0.1"
"Sim-People-Ind-14",100,"R:0.9|I:0.1"
"Sim-People-Ind-15",20,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-15",40,"R:0.9|I:0.1"
"Sim-People-Ind-15",60,"R:0.9|I:0.1"
"Sim-People-Ind-15",80,"R:0.9|I:0.1"
"Sim-People-Ind-15",100,"R:0.9|I:0.1"
"Sim-People-Ind-16",20,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-16",40,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-16",60,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-16",80,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-16",100,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-17",20,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-17",40,"R:0.9|I:0.1"
"Sim-People-Ind-17",60,"R:0.9|I:0.1"
"Sim-People-Ind-17",80,"R:0.9|I:0.1"
"Sim-People-Ind-17",100,"R:0.9|I:0.1"
"Sim-People-Ind-18",20,"R:0.9|I:0.1"
"Sim-People-Ind-18",40,"R:0.9|I:0.1"
"Sim-People-Ind-18",60,"R:0.9|I:0.1"
"Sim-People-Ind-18",80,"R:0.9|I:0.1"
"Sim-People-Ind-18",100,"R:0.9|I:0.1"
"Sim-People-Ind-19",20,"I:0.9|S:0.1"
"Sim-People-Ind-19",40,"R:0.9|I:0.1"
"Sim-People-Ind-19",60,"R:0.9|I:0.1"
"Sim-People-Ind-19",80,"R:0.9|I:0.1"
"Sim-People-Ind-19",100,"R:0.9|I:0.1"
"Sim-People-Ind-20",20,"I:0.9|S:0.1"
"Sim-People-Ind-20",40,"R:0.9|I:0.1"
"Sim-People-Ind-20",60,"R:0.9|I:0.1"
"Sim-People-Ind-20",80,"R:0.9|I:0.1"
"Sim-People-Ind-20",100,"R:0.9|I:0.1"
"Sim-People-Ind-21",20,"I:0.9|S:0.1"
"Sim-People-Ind-21",40,"R:0.9|I:0.1"
"Sim-People-Ind-21",60,"R:0.9|I:0.1"
"Sim-People-Ind-21",80,"R:0.9|I:0.1"
"Sim-People-Ind-21",100,"R:0.9|I:0.1"
"Sim-People-Ind-22",20,"I:0.9|S:0.1"
"Sim-People-Ind-22",40,"R:0.9|I:0.1"
"Sim-People-Ind-22",60,"R:0.9|I:0.1"
"Sim-People-Ind-22",80,"R:0.9|I:0.1"
"Sim-People-Ind-22",100,"R:0.9|I:0.1"
"Sim-People-Ind-23",20,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-23",40,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-23",60,"R:0.9|I:0.1"
"Sim-People-Ind-23",80,"R:0.9|I:0.1"
"Sim-People-Ind-23",100,"R:0.9|I:0.1"
"Sim-People-Ind-24",20,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-24",40,"R:0.9|I:0.1"
"Sim-People-Ind-24",60,"R:0.9|I:0.1"
"Sim-People-Ind-24",80,"R:0.9|I:0.1"
"Sim-People-Ind-24",100,"R:0.9|I:0.1"
"Sim-People-Ind-25",20,"R:0.9|I:0.1"
"Sim-People-Ind-25",40,"R:0.9|I:0.1"
"Sim-People-Ind-25",60,"R:0.9|I:0.1"
"Sim-People-Ind-25",80,"R:0.9|I:0.1"
"Sim-People-Ind-25",100,"R:0.9|I:0.1"
"Sim-People-Ind-26",20,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-26",40,"I:0.9|S:0.1"
"Sim-People-Ind-26",60,"R:0.9|I:0.1"
"Sim-People-Ind-26",80,"R:0.9|I:0.1"
"Sim-People-Ind-26",100,"R:0.9|I:0.1"
"Sim-People-Ind-27",20,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-27",40,"R:0.9|I:0.1"
"Sim-People-Ind-27",60,"R:0.9|I:0.1"
"Sim-People-Ind-27",80,"R:0.9|I:0.1"
"Sim-People-Ind-27",100,"R:0.9|I:0.1"
"Sim-People-Ind-28",20,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-28",40,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-28",60,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-28",80,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-28",100,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-29",20,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-29",40,"R:0.9|I:0.1"
"Sim-People-Ind-29",60,"R:0.9|I:0.1"
"Sim-People-Ind-29",80,"R:0.9|I:0.1"
"Sim-People-Ind-29",100,"R:0.9|I:0.1"
"Sim-People-Ind-30",20,"R:0.9|I:0.1"
"Sim-People-Ind-30",40,"R:0.9|I:0.1"
"Sim-People-Ind-30",60,"R:0.9|I:0.1"
"Sim-People-Ind-30",80,"R:0.9|I:0.1"
"Sim-People-Ind-30",100,"R:0.9|I:0.1"
"Sim-People-Ind-31",20,"R:0.9|I:0.1"
"Sim-People-Ind-31",40,"R:0.9|I:0.1"
"Sim-People-Ind-31",60,"R:0.9|I:0.1"
"Sim-People-Ind-31",80,"R:0.9|I:0.1"
"Sim-People-Ind-31",100,"R:0.9|I:0.1"
"Sim-People-Ind-32",20,"I:0.9|S:0.1"
"Sim-People-Ind-32",40,"R:0.9|I:0.1"
"Sim-People-Ind-32",60,"R:0.9|I:0.1"
"Sim-People-Ind-32",80,"R:0.9|I:0.1"
"Sim-People-Ind-32",100,"R:0.9|I:0.1"
"Sim-People-Ind-33",20,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-33",40,"R:0.9|I:0.1"
"Sim-People-Ind-33",60,"R:0.9|I:0.1"
"Sim-People-Ind-33",80,"R:0.9|I:0.1"
"Sim-People-Ind-33",100,"R:0.9|I:0.1"
"Sim-People-Ind-34",20,"R:0.9|I:0.1"
"Sim-People-Ind-34",40,"R:0.9|I:0.1"
"Sim-People-Ind-34",60,"R:0.9|I:0.1"
"Sim-People-Ind-34",80,"R:0.9|I:0.1"
"Sim-People-Ind-34",100,"R:0.9|I:0.1"
"Sim-People-Ind-35",20,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-35",40,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-35",60,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-35",80,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-35",100,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-36",20,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-36",40,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-36",60,"I:0.9|S:0.1"
"Sim-People-Ind-36",80,"R:0.9|I:0.1"
"Sim-People-Ind-36",100,"R:0.9|I:0.1"
"Sim-People-Ind-37",20,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-37",40,"R:0.9|I:0.1"
"Sim-People-Ind-37",60,"R:0.9|I:0.1"
"Sim-People-Ind-37",80,"R:0.9|I:0.1"
"Sim-People-Ind-37",100,"R:0.9|I:0.1"
"Sim-People-Ind-38",20,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-38",40,"R:0.9|I:0.1"
"Sim-People-Ind-38",60,"R:0.9|I:0.1"
"Sim-People-Ind-38",80,"R:0.9|I:0.1"
"Sim-People-Ind-38",100,"R:0.9|I:0.1"
"Sim-People-Ind-39",20,"I:0.9|S:0.1"
"Sim-People-Ind-39",40,"R:0.9|I:0.1"
"Sim-People-Ind-39",60,"R:0.9|I:0.1"
"Sim-People-Ind-39",80,"R:0.9|I:0.1"
"Sim-People-Ind-39",100,"R:0.9|I:0.1"
"Sim-People-Ind-40",20,"I:0.9|S:0.1"
"Sim-People-Ind-40",40,"R:0.9|I:0.1"
"Sim-People-Ind-40",60,"R:0.9|I:0.1"
"Sim-People-Ind-40",80,"R:0.9|I:0.1"
"Sim-People-Ind-40",100,"R:0.9|I:0.1"
"Sim-People-Ind-41",20,"R:0.9|I:0.1"
"Sim-People-Ind-41",40,"R:0.9|I:0.1"
"Sim-People-Ind-41",60,"R:0.9|I:0.1"
"Sim-People-Ind-41",80,"R:0.9|I:0.1"
"Sim-People-Ind-41",100,"R:0.9|I:0.1"
"Sim-People-Ind-42",20,"I:0.9|S:0.1"
"Sim-People-Ind-42",40,"R:0.9|I:0.1"
"Sim-People-Ind-42",60,"R:0.9|I:0.1"
"Sim-People-Ind-42",80,"R:0.9|I:0.1"
"Sim-People-Ind-42",100,"R:0.9|I:0.1"
"Sim-People-Ind-43",20,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-43",40,"R:0.9|I:0.1"
"Sim-People-Ind-43",60,"R:0.9|I:0.1"
"Sim-People-Ind-43",80,"R:0.9|I:0.1"
"Sim-People-Ind-43",100,"R:0.9|I:0.1"
"Sim-People-Ind-44",20,"S:0.9|I:0.1|R:0.1"
"Sim-People-Ind-44",40,"R:0.9|I:0.1"
"Sim-People-Ind-44",60,"R:0.9|I:0.1"
"Sim-People-Ind-44",80,"R:0.9|I:0.1"
"Sim-People-Ind-44",100,"R:0.9|I:0.1"
"Sim-People-Ind-45",20,"I:0.9|S:0.1"
"Sim-People-Ind-45",40,"R:0.9|I:0.1"
"Sim-People-Ind-45",60,"R:0.9|I:0.1"
"Sim-People-Ind-45",80,"R:0.9|I:0.1"
"Sim-People-Ind-45",100,"R:0.9|I:0.1"
"Sim-People-Ind-46",20,"I:0.9|S:0.1"
"Sim-People-Ind-46",40,"R:0.9|I:0.1"
"Sim-People-Ind-46",60,"R:0.9|I:0.1"
"Sim-People-Ind-46",80,"R:0.9|I:0.1"
"Sim-People-Ind-46",100,"R:0.9|I:0.1"
"Sim-People-Ind-47",20,"R:0.9|I:0.1"
"Sim-People-Ind-47",40,"R:0.9|I:0.1"
"Sim-People-Ind-47",60,"R:0.9|I:0.1"
"Sim-People-Ind-47",80,"R:0.9|I:0.1"
"Sim-People-Ind-47",100,"R:0.9|I:0.1"
"Sim-People-Ind-48",20,"I:0.9|S:0.1"
"Sim-People-Ind-48",40,"R:0.9|I:0.1"
