"ID","t","DS"
"Ind-1",0,"I"
"Ind-2",0,"I"
"Ind-3",0,"S"
"Ind-4",0,"S"
"Ind-5",0,"S"
"Ind-6",0,"S"
"Ind-7",0,"S"
"Ind-8",0,"S"
"Ind-9",0,"S"
"Ind-10",0,"S"
"Ind-11",0,"S"
"Ind-12",0,"S"
"Ind-13",0,"S"
"Ind-14",0,"S"
"Ind-15",0,"S"
"Ind-16",0,"S"
"Ind-17",0,"S"
"Ind-18",0,"S"
"Ind-19",0,"S"
"Ind-20",0,"S"
"Ind-21",0,"S"
"Ind-22",0,"S"
"Ind-23",0,"S"
"Ind-24",0,"S"
"Ind-25",0,"S"
"Ind-26",0,"S"
"Ind-27",0,"S"
"Ind-28",0,"S"
"Ind-29",0,"S"
"Ind-30",0,"S"
"Ind-31",0,"S"
"Ind-32",0,"S"
"Ind-33",0,"S"
"Ind-34",0,"S"
"Ind-35",0,"S"
"Ind-36",0,"S"
"Ind-37",0,"S"
"Ind-38",0,"S"
"Ind-39",0,"S"
"Ind-40",0,"S"
"Ind-41",0,"S"
"Ind-42",0,"S"
"Ind-43",0,"S"
"Ind-44",0,"S"
"Ind-45",0,"S"
"Ind-46",0,"S"
"Ind-47",0,"S"
"Ind-48",0,"S"
"Ind-49",0,"S"
"Ind-50",0,"S"
"Ind-51",0,"S"
"Ind-52",0,"S"
"Ind-53",0,"S"
"Ind-54",0,"S"
"Ind-55",0,"S"
"Ind-56",0,"S"
"Ind-57",0,"S"
"Ind-58",0,"S"
"Ind-59",0,"S"
"Ind-60",0,"S"
"Ind-61",0,"S"
"Ind-62",0,"S"
"Ind-63",0,"S"
"Ind-64",0,"S"
"Ind-65",0,"S"
"Ind-66",0,"S"
"Ind-67",0,"S"
"Ind-68",0,"S"
"Ind-69",0,"S"
"Ind-70",0,"S"
"Ind-71",0,"S"
"Ind-72",0,"S"
"Ind-73",0,"S"
"Ind-74",0,"S"
"Ind-75",0,"S"
"Ind-76",0,"S"
"Ind-77",0,"S"
"Ind-78",0,"S"
"Ind-79",0,"S"
"Ind-80",0,"S"
"Ind-81",0,"S"
"Ind-82",0,"S"
"Ind-83",0,"S"
"Ind-84",0,"S"
"Ind-85",0,"S"
"Ind-86",0,"S"
"Ind-87",0,"S"
"Ind-88",0,"S"
"Ind-89",0,"S"
"Ind-90",0,"S"
"Ind-91",0,"S"
"Ind-92",0,"S"
"Ind-93",0,"S"
"Ind-94",0,"S"
"Ind-95",0,"S"
"Ind-96",0,"S"
"Ind-97",0,"S"
"Ind-98",0,"S"
"Ind-99",0,"S"
"Ind-100",0,"S"
