"ID","t","DS"
"Sim-People-Ind-1",0,"S"
"Sim-People-Ind-2",0,"S"
"Sim-People-Ind-3",0,"S"
"Sim-People-Ind-4",0,"S"
"Sim-People-Ind-5",0,"S"
"Sim-People-Ind-6",0,"S"
"Sim-People-Ind-7",0,"S"
"Sim-People-Ind-8",0,"S"
"Sim-People-Ind-9",0,"S"
"Sim-People-Ind-10",0,"S"
"Sim-People-Ind-11",0,"S"
"Sim-People-Ind-12",0,"S"
"Sim-People-Ind-13",0,"S"
"Sim-People-Ind-14",0,"S"
"Sim-People-Ind-15",0,"S"
"Sim-People-Ind-16",0,"S"
"Sim-People-Ind-17",0,"S"
"Sim-People-Ind-18",0,"S"
"Sim-People-Ind-19",0,"S"
"Sim-People-Ind-20",0,"S"
"Sim-People-Ind-21",0,"S"
"Sim-People-Ind-22",0,"S"
"Sim-People-Ind-23",0,"S"
"Sim-People-Ind-24",0,"S"
"Sim-People-Ind-25",0,"S"
"Sim-People-Ind-26",0,"S"
"Sim-People-Ind-27",0,"S"
"Sim-People-Ind-28",0,"S"
"Sim-People-Ind-29",0,"S"
"Sim-People-Ind-30",0,"S"
"Sim-People-Ind-31",0,"S"
"Sim-People-Ind-32",0,"S"
"Sim-People-Ind-33",0,"S"
"Sim-People-Ind-34",0,"S"
"Sim-People-Ind-35",0,"S"
"Sim-People-Ind-36",0,"S"
"Sim-People-Ind-37",0,"S"
"Sim-People-Ind-38",0,"S"
"Sim-People-Ind-39",0,"S"
"Sim-People-Ind-40",0,"S"
"Sim-People-Ind-41",0,"S"
"Sim-People-Ind-42",0,"S"
"Sim-People-Ind-43",0,"S"
"Sim-People-Ind-44",0,"S"
"Sim-People-Ind-45",0,"S"
"Sim-People-Ind-46",0,"S"
"Sim-People-Ind-47",0,"S"
"Sim-People-Ind-48",0,"S"
"Sim-People-Ind-49",0,"S"
"Sim-People-Ind-50",0,"S"
"Sim-People-Ind-51",0,"S"
"Sim-People-Ind-52",0,"S"
"Sim-People-Ind-53",0,"S"
"Sim-People-Ind-54",0,"S"
"Sim-People-Ind-55",0,"S"
"Sim-People-Ind-56",0,"S"
"Sim-People-Ind-57",0,"S"
"Sim-People-Ind-58",0,"S"
"Sim-People-Ind-59",0,"S"
"Sim-People-Ind-60",0,"S"
"Sim-People-Ind-61",0,"S"
"Sim-People-Ind-62",0,"S"
"Sim-People-Ind-63",0,"S"
"Sim-People-Ind-64",0,"S"
"Sim-People-Ind-65",0,"S"
"Sim-People-Ind-66",0,"S"
"Sim-People-Ind-67",0,"S"
"Sim-People-Ind-68",0,"S"
"Sim-People-Ind-69",0,"S"
"Sim-People-Ind-70",0,"S"
"Sim-People-Ind-71",0,"S"
"Sim-People-Ind-72",0,"S"
"Sim-People-Ind-73",0,"S"
"Sim-People-Ind-74",0,"S"
"Sim-People-Ind-75",0,"S"
"Sim-People-Ind-76",0,"S"
"Sim-People-Ind-77",0,"S"
"Sim-People-Ind-78",0,"S"
"Sim-People-Ind-79",0,"S"
"Sim-People-Ind-80",0,"S"
"Sim-People-Ind-81",0,"S"
"Sim-People-Ind-82",0,"S"
"Sim-People-Ind-83",0,"S"
"Sim-People-Ind-84",0,"S"
"Sim-People-Ind-85",0,"S"
"Sim-People-Ind-86",0,"S"
"Sim-People-Ind-87",0,"S"
"Sim-People-Ind-88",0,"S"
"Sim-People-Ind-89",0,"S"
"Sim-People-Ind-90",0,"S"
"Sim-People-Ind-91",0,"S"
"Sim-People-Ind-92",0,"S"
"Sim-People-Ind-93",0,"S"
"Sim-People-Ind-94",0,"S"
"Sim-People-Ind-95",0,"S"
"Sim-People-Ind-96",0,"S"
"Sim-People-Ind-97",0,"S"
"Sim-People-Ind-98",0,"S"
"Sim-People-Ind-99",0,"S"
"Sim-People-Ind-100",0,"S"
"Sim-People-Ind-101",0,"S"
"Sim-People-Ind-102",0,"S"
"Sim-People-Ind-103",0,"S"
"Sim-People-Ind-104",0,"S"
"Sim-People-Ind-105",0,"S"
"Sim-People-Ind-106",0,"S"
"Sim-People-Ind-107",0,"S"
"Sim-People-Ind-108",0,"S"
"Sim-People-Ind-109",0,"S"
"Sim-People-Ind-110",0,"S"
"Sim-People-Ind-111",0,"S"
"Sim-People-Ind-112",0,"S"
"Sim-People-Ind-113",0,"S"
"Sim-People-Ind-114",0,"S"
"Sim-People-Ind-115",0,"S"
"Sim-People-Ind-116",0,"S"
"Sim-People-Ind-117",0,"S"
"Sim-People-Ind-118",0,"S"
"Sim-People-Ind-119",0,"S"
"Sim-People-Ind-120",0,"S"
"Sim-People-Ind-121",0,"S"
"Sim-People-Ind-122",0,"S"
"Sim-People-Ind-123",0,"S"
