"ID","t","DS"
"Ind-1",10,"R"
"Ind-1",20,"R"
"Ind-1",30,"R"
"Ind-1",40,"R"
"Ind-1",50,"R"
"Ind-1",60,"R"
"Ind-1",70,"R"
"Ind-1",80,"R"
"Ind-1",90,"R"
"Ind-1",100,"R"
"Ind-2",10,"I"
"Ind-2",20,"R"
"Ind-2",30,"R"
"Ind-2",40,"R"
"Ind-2",50,"R"
"Ind-2",60,"R"
"Ind-2",70,"R"
"Ind-2",80,"R"
"Ind-2",90,"R"
"Ind-2",100,"R"
"Ind-3",10,"I"
"Ind-3",20,"R"
"Ind-3",30,"R"
"Ind-3",40,"R"
"Ind-3",50,"R"
"Ind-3",60,"R"
"Ind-3",70,"R"
"Ind-3",80,"R"
"Ind-3",90,"R"
"Ind-3",100,"R"
"Ind-4",10,"S"
"Ind-4",20,"S"
"Ind-4",30,"I"
"Ind-4",40,"R"
"Ind-4",50,"R"
"Ind-4",60,"R"
"Ind-4",70,"R"
"Ind-4",80,"R"
"Ind-4",90,"R"
"Ind-4",100,"R"
"Ind-5",10,"S"
"Ind-5",20,"I"
"Ind-5",30,"I"
"Ind-5",40,"I"
"Ind-5",50,"D"
"Ind-5",60,"D"
"Ind-5",70,"D"
"Ind-5",80,"D"
"Ind-5",90,"D"
"Ind-5",100,"D"
"Ind-6",10,"S"
"Ind-6",20,"S"
"Ind-6",30,"I"
"Ind-6",40,"R"
"Ind-6",50,"R"
"Ind-6",60,"R"
"Ind-6",70,"R"
"Ind-6",80,"R"
"Ind-6",90,"R"
"Ind-6",100,"R"
"Ind-7",10,"S"
"Ind-7",20,"I"
"Ind-7",30,"I"
"Ind-7",40,"I"
"Ind-7",50,"D"
"Ind-7",60,"D"
"Ind-7",70,"D"
"Ind-7",80,"D"
"Ind-7",90,"D"
"Ind-7",100,"D"
"Ind-8",10,"S"
"Ind-8",20,"S"
"Ind-8",30,"S"
"Ind-8",40,"I"
"Ind-8",50,"R"
"Ind-8",60,"R"
"Ind-8",70,"R"
"Ind-8",80,"R"
"Ind-8",90,"R"
"Ind-8",100,"R"
"Ind-9",10,"S"
"Ind-9",20,"S"
"Ind-9",30,"S"
"Ind-9",40,"S"
"Ind-9",50,"S"
"Ind-9",60,"S"
"Ind-9",70,"S"
"Ind-9",80,"S"
"Ind-9",90,"S"
"Ind-9",100,"S"
"Ind-10",10,"S"
"Ind-10",20,"S"
"Ind-10",30,"I"
