"ID","t"
"Prod-2",11.9102
"Prod-3",35.0951
"Prod-4",37.0875
"Prod-5",50.9392
"Prod-6",32.0997
"Prod-7",38.8977
"Prod-8",34.792
"Prod-9",34.2935
"Prod-10",42.4166
"Prod-12",28.3912
"Prod-13",34.2063
"Prod-14",33.4449
"Prod-15",34.7961
"Prod-16",50.4268
"Prod-17",30.2377
"Prod-18",48.9554
"Prod-19",35.7629
"Prod-21",32.142
"Prod-24",42.0246
"Prod-27",31.9967
"Prod-29",39.9194
"Prod-30",37.0843
"Prod-31",37.9428
"Prod-32",60.052
"Prod-33",39.3678
"Prod-34",30.4692
"Prod-36",37.2557
"Prod-38",39.5422
"Prod-39",11.0471
"Prod-40",53.0407
"Prod-41",35.9715
"Prod-44",35.352
"Prod-45",34.3547
"Prod-46",16.2806
"Prod-47",23.468
"Prod-48",51.6021
"Prod-49",24.9702
"Prod-50",36.3887
"Prod-51",37.9167
"Prod-53",36.869
"Prod-56",17.0964
"Prod-57",66.332
"Prod-58",25.4393
"Prod-59",38.3802
"Prod-60",35.453
"Prod-62",34.2194
"Prod-63",31.7822
"Prod-64",34.6479
"Prod-65",35.1974
"Prod-67",41.1193
"Prod-70",37.8084
"Prod-71",33.5611
"Prod-72",32.6964
"Prod-74",41.6151
"Prod-75",43.6453
"Prod-76",49.2711
"Prod-77",36.103
"Prod-78",40.4746
"Prod-79",33.5101
"Prod-80",31.4766
"Prod-82",40.4482
"Prod-83",37.5956
"Prod-86",36.0716
"Prod-89",34.7626
"Prod-90",45.4635
"Prod-91",37.8902
"Prod-92",35.1015
"Prod-93",34.6022
"Prod-95",28.5761
"Prod-97",39.1865
"Prod-98",34.8458
"Prod-99",24.7102
"Prod-100",22.6095
"Prod-102",33.9163
"Prod-103",36.5589
"Prod-104",51.9117
"Prod-105",28.8228
"Prod-106",41.2976
"Prod-109",55.2701
"Prod-110",38.6817
"Prod-111",21.3131
"Prod-112",34.5681
"Prod-113",36.172
"Prod-114",33.445
"Prod-115",29.7219
"Prod-116",28.4991
"Prod-117",38.3012
"Prod-118",24.1683
"Prod-119",36.7095
"Prod-121",50.0679
"Prod-122",38.1697
"Prod-123",35.7582
"Prod-125",38.9805
"Prod-126",39.2358
"Prod-127",34.6139
"Prod-128",36.3562
"Prod-129",36.3954
"Prod-130",36.1656
"Prod-131",25.2594
"Prod-132",35.5843
"Prod-133",38.2576
"Prod-134",45.4154
"Prod-135",42.1751
"Prod-137",43.266
"Prod-138",44.0777
"Prod-139",37.2093
"Prod-140",43.555
"Prod-142",47.6943
"Prod-143",36.8086
"Prod-144",19.358
"Prod-145",37.3805
"Prod-146",34.97
"Prod-149",36.0884
"Prod-150",32.5453
"Prod-151",33.8201
"Prod-152",28.3008
"Prod-154",44.5311
"Prod-156",42.8186
"Prod-159",43.6808
"Prod-160",31.2408
"Prod-162",42.2556
"Prod-163",40.7283
"Prod-166",34.3416
"Prod-167",39.5006
"Prod-169",27.0124
"Prod-170",57.2816
"Prod-171",39.6657
"Prod-173",45.4229
"Prod-174",34.3414
"Prod-176",33.3068
"Prod-177",34.3528
"Prod-179",40.33
"Prod-181",32.2285
"Prod-182",38.8729
"Prod-183",35.0301
"Prod-184",27.8513
"Prod-185",34.5987
"Prod-186",42.2413
"Prod-187",39.3074
"Prod-189",27.5965
"Prod-190",27.3777
"Prod-191",36.7246
"Prod-192",37.0653
"Prod-194",35.961
"Prod-195",43.5681
"Prod-197",32.0907
"Prod-198",35.3132
"Prod-199",34.5751
"Prod-200",34.0999
"Prod-201",28.4636
"Prod-202",32.7314
"Prod-203",27.2258
"Prod-204",45.4483
"Prod-207",29.3547
"Prod-211",43.575
"Prod-212",40.7385
"Prod-214",44.6846
"Prod-215",28.1782
"Prod-216",27.1227
"Prod-218",39.7728
"Prod-219",38.3379
"Prod-221",35.4303
"Prod-222",32.3249
"Prod-223",23.6458
"Prod-224",37.1988
"Prod-225",37.3725
"Prod-226",44.7893
"Prod-227",37.356
"Prod-229",34.6417
"Prod-230",29.4888
"Prod-232",27.6056
"Prod-233",46.8754
"Prod-234",25.2243
"Prod-235",38.0305
"Prod-238",39.6526
"Prod-239",40.2664
"Prod-240",41.897
"Prod-241",33.6918
"Prod-242",36.8053
"Prod-245",27.0754
"Prod-246",48.4339
"Prod-247",39.2819
"Prod-249",28.6065
"Prod-250",62.3046
"Prod-252",34.8845
"Prod-253",37.1576
"Prod-254",38.5522
"Prod-255",33.5877
"Prod-256",28.6255
"Prod-257",34.2468
"Prod-258",34.8518
"Prod-259",50.9428
"Prod-260",49.0294
"Prod-261",31.4972
"Prod-262",45.5369
"Prod-263",35.2407
"Prod-264",28.734
"Prod-265",46.2331
"Prod-266",46.2849
"Prod-267",38.5194
"Prod-269",41.2197
"Prod-270",34.7224
"Prod-271",39.5199
"Prod-272",32.9648
"Prod-273",35.5946
"Prod-274",19.2302
"Prod-275",47.7756
"Prod-276",58.7989
"Prod-277",30.8872
"Prod-278",26.7727
"Prod-279",33.7918
"Prod-280",35.9024
"Prod-282",39.0552
"Prod-283",17.9306
"Prod-284",35.7529
"Prod-285",34.8519
"Prod-286",29.771
"Prod-287",23.4517
"Prod-288",32.4736
"Prod-289",33.3555
"Prod-290",35.6232
"Prod-292",40.8754
"Prod-293",35.2767
"Prod-294",19.4673
"Prod-297",57.4942
"Prod-298",30.0116
"Prod-299",29.7835
"Prod-301",39.2426
"Prod-302",32.3512
"Prod-305",34.8938
"Prod-306",31.3573
"Prod-307",32.4254
"Prod-308",37.6741
"Prod-309",41.1682
"Prod-310",24.4069
"Prod-311",29.8245
"Prod-313",34.2983
"Prod-314",45.1725
"Prod-315",31.2895
"Prod-316",35.9028
"Prod-318",32.4389
"Prod-319",49.5018
"Prod-320",19.3111
"Prod-321",37.8887
"Prod-322",36.1131
"Prod-323",43.6612
"Prod-324",43.8178
"Prod-325",19.8216
"Prod-326",35.3567
"Prod-327",31.8986
"Prod-328",22.9677
"Prod-329",43.2983
"Prod-330",28.4238
"Prod-332",30.4689
"Prod-338",26.0973
"Prod-339",34.1826
"Prod-341",32.5406
"Prod-342",34.3303
"Prod-343",30.8268
"Prod-344",24.7024
"Prod-345",23.4057
"Prod-346",33.6874
"Prod-347",35.7631
"Prod-348",34.7425
"Prod-349",40.2606
"Prod-350",22.8259
"Prod-351",42.8405
"Prod-352",32.9229
"Prod-353",32.199
"Prod-354",43.9935
"Prod-355",28.1416
"Prod-356",42.3289
"Prod-357",32.4005
"Prod-358",38.8219
"Prod-359",23.6139
"Prod-360",42.1756
"Prod-362",36.7816
"Prod-363",41.8461
"Prod-365",25.2093
"Prod-366",42.7737
"Prod-367",33.0768
"Prod-368",28.8009
"Prod-369",26.0301
"Prod-370",27.3914
"Prod-373",33.9361
"Prod-374",38.8142
"Prod-375",17.6391
"Prod-376",29.5731
"Prod-377",30.6883
"Prod-378",40.8477
"Prod-379",28.864
"Prod-380",24.2823
"Prod-381",33.0777
