"ID","t"
"Prod-3",23.8905
"Prod-4",27.7983
"Prod-5",34.0893
"Prod-6",23.3167
"Prod-7",31.1898
"Prod-8",27.288
"Prod-9",21.8215
"Prod-10",31.7231
"Prod-11",28.9513
"Prod-12",17.8128
"Prod-13",25.5853
"Prod-14",28.2108
"Prod-15",24.6887
"Prod-16",40.9098
"Prod-17",22.2124
"Prod-18",35.8833
"Prod-19",27.0765
"Prod-20",26.687
"Prod-21",25.9415
"Prod-23",36.3358
"Prod-24",34.7598
"Prod-25",24.7659
"Prod-26",27.8039
"Prod-27",24.8357
"Prod-29",31.4265
"Prod-30",19.131
"Prod-31",25.1173
"Prod-32",51.5252
"Prod-33",28.5266
"Prod-34",23.0468
"Prod-35",25.547
"Prod-36",26.0862
"Prod-38",30.3353
"Prod-39",3.30512
"Prod-40",35.0629
"Prod-41",29.291
"Prod-42",19.3054
"Prod-43",32.1867
"Prod-44",20.4073
"Prod-45",25.8908
"Prod-46",8.56765
"Prod-47",17.7584
"Prod-48",40.9963
"Prod-49",15.8879
"Prod-50",26.9338
"Prod-51",29.562
"Prod-52",26.2386
"Prod-53",25.8132
"Prod-54",24.1763
"Prod-55",11.784
"Prod-56",9.01382
"Prod-57",52.8267
"Prod-58",17.851
"Prod-59",27.9042
"Prod-60",28.1643
"Prod-61",29.2301
"Prod-62",27.1275
"Prod-63",22.9671
"Prod-64",26.3942
"Prod-65",25.5213
"Prod-66",32.3317
"Prod-67",27.4937
"Prod-69",27.8299
"Prod-70",26.2812
"Prod-71",25.9074
"Prod-72",22.0241
"Prod-73",28.5799
"Prod-74",32.8792
"Prod-75",30.6978
"Prod-76",38.2346
"Prod-77",25.6048
"Prod-78",26.6196
"Prod-79",21.1384
"Prod-80",23.7931
"Prod-81",19.8794
"Prod-82",33.4383
"Prod-83",22.7765
"Prod-84",29.259
"Prod-85",37.2712
"Prod-86",28.3067
"Prod-87",21.7467
"Prod-88",30.9346
"Prod-89",26.2725
"Prod-90",30.0129
"Prod-91",28.5003
"Prod-92",24.071
"Prod-93",26.1686
"Prod-94",34.7132
"Prod-95",15.5548
"Prod-96",32.4268
"Prod-97",26.2066
"Prod-98",23.6908
"Prod-99",17.4847
"Prod-100",14.1424
"Prod-102",23.9841
"Prod-103",30.8678
"Prod-104",42.2703
"Prod-105",15.6376
"Prod-106",30.9967
"Prod-107",22.7863
"Prod-108",19.6264
"Prod-109",43.0002
"Prod-110",28.2835
"Prod-111",9.5594
"Prod-112",23.8204
"Prod-113",28.1429
"Prod-114",26.4577
"Prod-115",25.1964
"Prod-116",20.6571
"Prod-117",26.683
"Prod-118",16.3599
"Prod-119",28.0575
"Prod-120",25.9998
"Prod-121",40.3346
"Prod-122",27.671
"Prod-123",23.8071
"Prod-125",26.5785
"Prod-126",26.2374
"Prod-127",25.7726
"Prod-128",24.0515
"Prod-129",26.7967
"Prod-130",22.3348
"Prod-131",13.5967
"Prod-132",25.9362
"Prod-133",28.5781
"Prod-134",31.9847
"Prod-135",25.9668
"Prod-137",33.3418
"Prod-138",34.9736
"Prod-139",30.4154
"Prod-140",20.2271
"Prod-141",19.514
"Prod-142",37.1353
"Prod-143",25.7819
"Prod-144",11.3318
"Prod-145",28.7352
"Prod-146",27.1177
"Prod-147",23.6481
"Prod-148",31.1917
"Prod-149",27.4073
"Prod-150",23.968
"Prod-151",22.3219
"Prod-152",18.1516
"Prod-153",21.3247
"Prod-154",29.8469
"Prod-155",28.5811
