"ID","t"
"Ind-1",11.2129
"Ind-2",31.8072
"Ind-5",60.1956
"Ind-7",37.5686
"Ind-8",50.3454
"Ind-9",42.5919
"Ind-10",57.9878
"Ind-11",37.212
"Ind-12",25.0148
"Ind-13",28.3766
"Ind-14",19.729
"Ind-16",52.2819
"Ind-19",45.9696
"Ind-21",69.0484
"Ind-23",43.9724
"Ind-26",22.7785
"Ind-27",37.0691
"Ind-30",28.1079
"Ind-31",48.9353
"Ind-34",64.9804
"Ind-35",16.0495
"Ind-37",20.3829
"Ind-39",29.9401
"Ind-40",31.3213
"Ind-41",60.8976
"Ind-42",52.2441
"Ind-44",22.4057
"Ind-46",18.8694
"Ind-47",53.0098
"Ind-48",47.3388
"Ind-50",46.2581
"Ind-58",42.8914
"Ind-61",27.074
"Ind-63",22.5417
"Ind-64",47.798
"Ind-65",29.5708
"Ind-69",35.493
"Ind-71",55.6633
"Ind-74",44.775
"Ind-75",19.4464
"Ind-82",35.3392
"Ind-85",44.2715
"Ind-87",43.8963
"Ind-90",57.2471
"Ind-91",32.0154
"Ind-96",75.6021
"Ind-97",26.0511
"Ind-98",69.9765
"Ind-99",14.7322
"Ind-100",17.4688
"Ind-106",17.595
"Ind-108",39.982
"Ind-112",26.3167
"Ind-116",14.9012
"Ind-117",19.5469
"Ind-120",48.5408
"Ind-127",16.1935
"Ind-128",30.404
"Ind-129",61.7039
"Ind-133",19.556
"Ind-134",64.9054
"Ind-136",52.4137
"Ind-143",28.26
"Ind-148",21.129
"Ind-151",67.7153
"Ind-155",14.4215
"Ind-157",20.635
"Ind-158",21.4852
"Ind-159",30.7563
"Ind-160",37.0211
"Ind-162",42.933
"Ind-163",50.2512
"Ind-164",63.1902
"Ind-166",44.1705
"Ind-167",55.5838
"Ind-169",55.7517
"Ind-173",37.3939
"Ind-179",39.7928
"Ind-184",36.8334
"Ind-185",51.6155
"Ind-186",56.0106
"Ind-188",28.0817
"Ind-190",69.2756
"Ind-191",55.1542
"Ind-194",18.91
"Ind-197",25.4446
