"name","x","y"
"G1",0,0
"G2",10,0
"G3",20,0
"G4",30,0
"G5",40,0
"G6",50,0
"G7",60,0
"G8",70,0
"G9",80,0
"G10",90,0
"G11",0,10
"G12",10,10
"G13",20,10
"G14",30,10
"G15",40,10
"G16",50,10
"G17",60,10
"G18",70,10
"G19",80,10
"G20",90,10
"G21",0,20
"G22",10,20
"G23",20,20
"G24",30,20
"G25",40,20
"G26",50,20
"G27",60,20
"G28",70,20
"G29",80,20
"G30",90,20
"G31",0,30
"G32",10,30
"G33",20,30
"G34",30,30
"G35",40,30
"G36",50,30
"G37",60,30
"G38",70,30
"G39",80,30
"G40",90,30
"G41",0,40
"G42",10,40
"G43",20,40
"G44",30,40
"G45",40,40
"G46",50,40
"G47",60,40
"G48",70,40
"G49",80,40
"G50",90,40
"G51",0,50
"G52",10,50
"G53",20,50
"G54",30,50
"G55",40,50
"G56",50,50
"G57",60,50
"G58",70,50
"G59",80,50
"G60",90,50
