ID,value
"Prod-1",-0.121966
"Prod-2",0.68429
"Prod-3",0.0332695
"Prod-4",0.0336061
"Prod-5",0.462532
"Prod-6",2.12468
"Prod-7",1.02096
"Prod-8",-0.127842
"Prod-9",-0.687155
"Prod-10",-0.935842
"Prod-11",-0.77274
"Prod-12",-2.01529
"Prod-13",-0.894625
"Prod-14",-0.18468
"Prod-15",-0.0737384
"Prod-16",0.376912
"Prod-17",1.40231
"Prod-18",-0.335232
"Prod-19",1.21152
"Prod-20",-0.285115
"Prod-21",-1.31428
"Prod-22",-0.470959
"Prod-23",1.67327
"Prod-24",-0.405608
"Prod-25",-0.60696
"Prod-26",-0.988121
"Prod-27",1.1047
"Prod-28",-0.971749
"Prod-29",0.158739
"Prod-30",1.41817
"Prod-31",0.567956
"Prod-32",0.515601
"Prod-33",1.11675
"Prod-34",-1.43572
"Prod-35",0.941005
"Prod-36",-0.417904
"Prod-37",-0.134846
"Prod-38",0.746108
"Prod-39",0.0958485
"Prod-40",0.0188441
"Prod-41",-0.15785
"Prod-42",1.10216
"Prod-43",0.132609
"Prod-44",0.126917
"Prod-45",0.990603
"Prod-46",0.930069
"Prod-47",-0.741903
"Prod-48",2.00478
"Prod-49",0.775815
"Prod-50",1.34531
"Prod-51",-0.49468
"Prod-52",-0.580189
"Prod-53",0.915132
"Prod-54",-1.24121
"Prod-55",0.552047
"Prod-56",-0.925458
"Prod-57",-0.704301
"Prod-58",-0.383384
"Prod-59",-0.357408
"Prod-60",-0.449441
"Prod-61",1.19776
"Prod-62",0.697497
"Prod-63",-1.65522
"Prod-64",0.0701917
"Prod-65",1.65698
"Prod-66",0.157694
"Prod-67",-1.86658
"Prod-68",2.47052
"Prod-69",-1.95263
"Prod-70",-2.13356
"Prod-71",-0.155241
"Prod-72",1.17403
"Prod-73",2.03893
"Prod-74",-1.073
"Prod-75",0.310326
"Prod-76",-0.15434
"Prod-77",1.57041
"Prod-78",1.05627
"Prod-79",0.246996
"Prod-80",0.00821708
"Prod-81",-1.46997
"Prod-82",1.44558
"Prod-83",-0.828201
"Prod-84",-0.648699
"Prod-85",-0.496046
"Prod-86",2.24665
"Prod-87",0.254104
"Prod-88",-1.80695
"Prod-89",-0.0107926
"Prod-90",0.255869
"Prod-91",-0.184951
"Prod-92",-0.94816
"Prod-93",-0.495083
"Prod-94",0.24477
"Prod-95",1.98181
"Prod-96",0.232541
"Prod-97",-0.264061
"Prod-98",0.893471
"Prod-99",-0.754735
"Prod-100",0.75639
"Prod-101",-0.119264
"Prod-102",0.648174
"Prod-103",-1.30538
"Prod-104",-0.310841
"Prod-105",0.403917
"Prod-106",-0.14996
"Prod-107",-0.10097
"Prod-108",-0.745222
"Prod-109",-0.721057
"Prod-110",-0.270716
"Prod-111",0.800938
"Prod-112",0.798906
"Prod-113",-0.182112
"Prod-114",-1.57762
"Prod-115",-1.67735
"Prod-116",0.144427
"Prod-117",0.417924
"Prod-118",-0.767222
"Prod-119",-1.04089
"Prod-120",-1.63431
"Prod-121",1.2676
"Prod-122",1.1216
"Prod-123",-1.51859
"Prod-124",0.259407
"Prod-125",-0.719342
"Prod-126",-0.178398
"Prod-127",0.082862
"Prod-128",0.430305
"Prod-129",0.427298
"Prod-130",0.591976
"Prod-131",0.296617
"Prod-132",-0.708972
"Prod-133",1.19924
"Prod-134",-0.546401
"Prod-135",-0.378369
"Prod-136",-0.383067
"Prod-137",-0.120966
"Prod-138",-0.124187
"Prod-139",0.35527
"Prod-140",-1.24412
"Prod-141",1.05139
"Prod-142",0.575471
"Prod-143",0.787009
"Prod-144",0.113362
"Prod-145",0.0238647
"Prod-146",2.1489
"Prod-147",-0.076231
"Prod-148",-0.128412
"Prod-149",-1.01702
"Prod-150",0.247507
"Prod-151",0.523237
"Prod-152",0.316951
"Prod-153",0.534639
"Prod-154",0.37317
"Prod-155",1.22046
"Prod-156",0.792834
"Prod-157",1.40552
"Prod-158",-0.216166
"Prod-159",-1.20529
"Prod-160",-0.508348
"Prod-161",-1.78378
"Prod-162",1.27013
"Prod-163",0.119519
"Prod-164",-0.167429
"Prod-165",-0.359927
"Prod-166",1.75934
"Prod-167",0.570407
"Prod-168",-0.0327991
"Prod-169",1.50029
"Prod-170",-0.0429193
"Prod-171",-1.07327
"Prod-172",-0.0787302
"Prod-173",-0.166518
"Prod-174",0.331002
"Prod-175",-1.80377
"Prod-176",-1.07801
"Prod-177",-0.448975
"Prod-178",2.18669
"Prod-179",-0.551673
"Prod-180",-0.894732
"Prod-181",-1.23969
"Prod-182",0.736724
"Prod-183",-1.72654
"Prod-184",0.429306
"Prod-185",-1.20143
"Prod-186",1.08904
"Prod-187",-0.993965
"Prod-188",-0.938547
"Prod-189",-0.657171
"Prod-190",-1.91776
"Prod-191",-0.940773
"Prod-192",-0.978687
"Prod-193",1.02966
"Prod-194",0.105537
"Prod-195",0.780661
"Prod-196",1.2266
"Prod-197",-1.98331
"Prod-198",-1.70342
"Prod-199",0.435995
"Prod-200",-1.46257
"Prod-201",0.46613
"Prod-202",1.50773
"Prod-203",-0.502792
"Prod-204",-0.477283
"Prod-205",-0.81713
"Prod-206",0.207691
"Prod-207",0.647941
"Prod-208",-1.37773
"Prod-209",-0.919703
"Prod-210",0.561505
"Prod-211",0.669551
"Prod-212",0.0837821
"Prod-213",0.00546047
"Prod-214",-1.03941
"Prod-215",-1.05664
"Prod-216",0.969769
"Prod-217",-0.280976
"Prod-218",0.604396
"Prod-219",-0.304881
"Prod-220",0.748814
"Prod-221",1.28757
"Prod-222",-0.672981
"Prod-223",-0.676586
"Prod-224",-0.356796
"Prod-225",-0.14384
"Prod-226",-0.62517
"Prod-227",0.658692
"Prod-228",-1.54861
"Prod-229",0.581263
"Prod-230",-1.17711
"Prod-231",0.617596
"Prod-232",1.14513
"Prod-233",0.921724
"Prod-234",0.347787
"Prod-235",-1.94045
"Prod-236",0.174357
"Prod-237",0.540069
"Prod-238",-0.760973
"Prod-239",-0.266475
"Prod-240",0.753642
"Prod-241",-0.390263
"Prod-242",-0.584289
"Prod-243",0.498673
"Prod-244",-0.289191
"Prod-245",0.023597
"Prod-246",0.3113
"Prod-247",1.49112
"Prod-248",-1.01442
"Prod-249",0.131154
"Prod-250",-0.297845
"Prod-251",0.524619
