"ID","t","DS","Group","Sex"
"Prod-1186","start","I","G1","F"
"Prod-1716","start","I","G1","F"
"Prod-1246","start","S","G1","M"
"Prod-595","start","S","G1","M"
"Prod-545","start","S","G1","M"
"Prod-1621","start","S","G1","M"
"Prod-784","start","S","G1","F"
"Prod-673","start","S","G1","F"
"Prod-734","start","S","G1","F"
"Prod-280","start","S","G1","F"
"Prod-943","start","I","G2","F"
"Prod-1036","start","I","G2","F"
"Prod-1433","start","S","G2","F"
"Prod-1068","start","S","G2","F"
"Prod-211","start","S","G2","M"
"Prod-370","start","S","G2","F"
"Prod-430","start","S","G2","M"
"Prod-643","start","S","G2","M"
"Prod-441","start","S","G2","M"
"Prod-1789","start","S","G2","M"
"Prod-1214","start","I","G3","F"
"Prod-197","start","I","G3","F"
"Prod-1292","start","S","G3","M"
"Prod-709","start","S","G3","F"
"Prod-1202","start","S","G3","M"
"Prod-76","start","S","G3","F"
"Prod-1893","start","S","G3","F"
"Prod-1253","start","S","G3","F"
"Prod-1148","start","S","G3","M"
"Prod-936","start","S","G3","F"
"Prod-666","start","I","G4","F"
"Prod-625","start","I","G4","F"
"Prod-1869","start","S","G4","F"
"Prod-27","start","S","G4","F"
"Prod-1325","start","S","G4","F"
"Prod-1726","start","S","G4","F"
"Prod-110","start","S","G4","M"
"Prod-40","start","S","G4","M"
"Prod-1922","start","S","G4","M"
"Prod-944","start","S","G4","F"
"Prod-1965","start","I","G5","F"
"Prod-425","start","I","G5","F"
"Prod-1694","start","S","G5","F"
"Prod-1795","start","S","G5","F"
"Prod-163","start","S","G5","M"
"Prod-19","start","S","G5","F"
"Prod-1265","start","S","G5","F"
"Prod-518","start","S","G5","M"
"Prod-1080","start","S","G5","M"
"Prod-722","start","S","G5","M"
"Prod-1111","start","I","G6","F"
"Prod-563","start","I","G6","M"
"Prod-1473","start","S","G6","M"
"Prod-1745","start","S","G6","F"
"Prod-1735","start","S","G6","F"
"Prod-874","start","S","G6","F"
