"ID","t"
"Sim-People-Ind-1",35.3545
"Sim-People-Ind-2",47.1393
"Sim-People-Ind-3",44.6704
"Sim-People-Ind-4",70.4541
"Sim-People-Ind-5",37.1448
"Sim-People-Ind-6",55.5685
"Sim-People-Ind-7",55.3191
"Sim-People-Ind-8",33.251
"Sim-People-Ind-9",32.1003
"Sim-People-Ind-10",32.1066
"Sim-People-Ind-11",44.7911
"Sim-People-Ind-12",26.1892
"Sim-People-Ind-13",22.5732
"Sim-People-Ind-14",53.7609
"Sim-People-Ind-15",52.6106
"Sim-People-Ind-16",35.4424
"Sim-People-Ind-18",37.6118
"Sim-People-Ind-19",50.3971
"Sim-People-Ind-20",38.6136
"Sim-People-Ind-22",58.6948
"Sim-People-Ind-23",34.7861
"Sim-People-Ind-24",13.3762
"Sim-People-Ind-25",45.1982
"Sim-People-Ind-26",24.7087
"Sim-People-Ind-27",33.2786
"Sim-People-Ind-28",33.4677
"Sim-People-Ind-29",16.7002
"Sim-People-Ind-30",36.2822
"Sim-People-Ind-31",55.1467
"Sim-People-Ind-33",80.8754
"Sim-People-Ind-34",51.8059
"Sim-People-Ind-35",39.1345
"Sim-People-Ind-36",30.1841
"Sim-People-Ind-37",45.0966
"Sim-People-Ind-38",88.7795
"Sim-People-Ind-40",31.5889
"Sim-People-Ind-41",30.0216
"Sim-People-Ind-42",41.4931
"Sim-People-Ind-43",28.6505
"Sim-People-Ind-44",75.155
"Sim-People-Ind-45",36.5951
"Sim-People-Ind-46",22.6454
"Sim-People-Ind-47",57.8861
"Sim-People-Ind-48",38.1305
"Sim-People-Ind-49",24.8314
"Sim-People-Ind-50",40.0375
"Sim-People-Ind-51",32.0946
"Sim-People-Ind-52",27.0652
"Sim-People-Ind-53",47.1291
"Sim-People-Ind-54",38.8625
"Sim-People-Ind-55",70.2218
"Sim-People-Ind-56",41.286
"Sim-People-Ind-58",43.9486
"Sim-People-Ind-59",58.2566
"Sim-People-Ind-60",40.0842
"Sim-People-Ind-61",18.936
"Sim-People-Ind-62",82.8075
"Sim-People-Ind-63",33.5145
"Sim-People-Ind-64",43.2225
"Sim-People-Ind-65",47.3806
"Sim-People-Ind-66",49.7848
"Sim-People-Ind-67",23.7977
"Sim-People-Ind-68",43.8183
"Sim-People-Ind-69",56.2897
"Sim-People-Ind-70",50.145
"Sim-People-Ind-71",41.9812
"Sim-People-Ind-72",43.3891
"Sim-People-Ind-73",68.5921
"Sim-People-Ind-74",28.9292
"Sim-People-Ind-75",30.9989
"Sim-People-Ind-76",29.3152
"Sim-People-Ind-77",52.9118
"Sim-People-Ind-78",34.3203
"Sim-People-Ind-79",34.3531
"Sim-People-Ind-80",44.0697
