"ID","t","DS"
"Sim-People-Ind-1",20,"S"
"Sim-People-Ind-1",40,"S"
"Sim-People-Ind-1",60,"S"
"Sim-People-Ind-1",80,"S"
"Sim-People-Ind-1",100,"I"
"Sim-People-Ind-2",20,"S"
"Sim-People-Ind-2",40,"S"
"Sim-People-Ind-2",60,"S"
"Sim-People-Ind-2",80,"I"
"Sim-People-Ind-2",100,"I"
"Sim-People-Ind-3",20,"S"
"Sim-People-Ind-3",40,"S"
"Sim-People-Ind-3",60,"S"
"Sim-People-Ind-3",80,"I"
"Sim-People-Ind-3",100,"I"
"Sim-People-Ind-4",20,"S"
"Sim-People-Ind-4",40,"S"
"Sim-People-Ind-4",60,"S"
"Sim-People-Ind-4",80,"I"
"Sim-People-Ind-4",100,"I"
"Sim-People-Ind-5",20,"S"
"Sim-People-Ind-5",40,"S"
"Sim-People-Ind-5",60,"S"
"Sim-People-Ind-5",80,"I"
"Sim-People-Ind-5",100,"I"
"Sim-People-Ind-6",20,"S"
"Sim-People-Ind-6",40,"I"
"Sim-People-Ind-6",60,"I"
"Sim-People-Ind-6",80,"I"
"Sim-People-Ind-6",100,"I"
"Sim-People-Ind-7",20,"S"
"Sim-People-Ind-7",40,"S"
"Sim-People-Ind-7",60,"S"
"Sim-People-Ind-7",80,"S"
"Sim-People-Ind-7",100,"I"
"Sim-People-Ind-8",20,"S"
"Sim-People-Ind-8",40,"I"
"Sim-People-Ind-8",60,"I"
"Sim-People-Ind-8",80,"I"
"Sim-People-Ind-8",100,"I"
"Sim-People-Ind-9",20,"S"
"Sim-People-Ind-9",40,"S"
"Sim-People-Ind-9",60,"S"
"Sim-People-Ind-9",80,"I"
"Sim-People-Ind-9",100,"I"
"Sim-People-Ind-10",20,"S"
"Sim-People-Ind-10",40,"S"
"Sim-People-Ind-10",60,"S"
"Sim-People-Ind-10",80,"I"
"Sim-People-Ind-10",100,"I"
"Sim-People-Ind-11",20,"S"
"Sim-People-Ind-11",40,"S"
"Sim-People-Ind-11",60,"S"
"Sim-People-Ind-11",80,"I"
"Sim-People-Ind-11",100,"I"
"Sim-People-Ind-12",20,"S"
"Sim-People-Ind-12",40,"S"
"Sim-People-Ind-12",60,"S"
"Sim-People-Ind-12",80,"I"
"Sim-People-Ind-12",100,"I"
"Sim-People-Ind-13",20,"S"
"Sim-People-Ind-13",40,"S"
"Sim-People-Ind-13",60,"I"
"Sim-People-Ind-13",80,"I"
"Sim-People-Ind-13",100,"I"
"Sim-People-Ind-14",20,"S"
"Sim-People-Ind-14",40,"S"
"Sim-People-Ind-14",60,"S"
"Sim-People-Ind-14",80,"I"
"Sim-People-Ind-14",100,"I"
"Sim-People-Ind-15",20,"S"
"Sim-People-Ind-15",40,"S"
"Sim-People-Ind-15",60,"S"
"Sim-People-Ind-15",80,"I"
"Sim-People-Ind-15",100,"I"
"Sim-People-Ind-16",20,"S"
"Sim-People-Ind-16",40,"S"
"Sim-People-Ind-16",60,"I"
"Sim-People-Ind-16",80,"I"
"Sim-People-Ind-16",100,"I"
"Sim-People-Ind-17",20,"S"
"Sim-People-Ind-17",40,"S"
"Sim-People-Ind-17",60,"I"
"Sim-People-Ind-17",80,"I"
"Sim-People-Ind-17",100,"I"
"Sim-People-Ind-18",20,"S"
"Sim-People-Ind-18",40,"S"
"Sim-People-Ind-18",60,"I"
"Sim-People-Ind-18",80,"I"
"Sim-People-Ind-18",100,"I"
"Sim-People-Ind-19",20,"S"
"Sim-People-Ind-19",40,"S"
"Sim-People-Ind-19",60,"S"
"Sim-People-Ind-19",80,"I"
"Sim-People-Ind-19",100,"I"
"Sim-People-Ind-20",20,"S"
"Sim-People-Ind-20",40,"S"
"Sim-People-Ind-20",60,"S"
"Sim-People-Ind-20",80,"I"
"Sim-People-Ind-20",100,"I"
"Sim-People-Ind-21",20,"S"
"Sim-People-Ind-21",40,"S"
"Sim-People-Ind-21",60,"I"
"Sim-People-Ind-21",80,"I"
"Sim-People-Ind-21",100,"I"
"Sim-People-Ind-22",20,"S"
"Sim-People-Ind-22",40,"S"
"Sim-People-Ind-22",60,"S"
"Sim-People-Ind-22",80,"I"
"Sim-People-Ind-22",100,"I"
"Sim-People-Ind-23",20,"S"
"Sim-People-Ind-23",40,"S"
