"ID","t"
"Sim-People-Ind-1",81.7494
"Sim-People-Ind-4",67.0766
"Sim-People-Ind-8",28.5442
"Sim-People-Ind-9",78.5693
"Sim-People-Ind-10",65.3738
"Sim-People-Ind-11",61.6266
"Sim-People-Ind-16",48.8159
"Sim-People-Ind-17",52.7676
"Sim-People-Ind-18",51.6266
"Sim-People-Ind-19",65.242
"Sim-People-Ind-21",49.2578
"Sim-People-Ind-23",74.1381
"Sim-People-Ind-24",48.7775
"Sim-People-Ind-25",51.0517
"Sim-People-Ind-28",50.4204
"Sim-People-Ind-33",72.4681
"Sim-People-Ind-35",51.0954
"Sim-People-Ind-38",52.7012
"Sim-People-Ind-40",33.5717
"Sim-People-Ind-41",80.4313
"Sim-People-Ind-43",23.4725
"Sim-People-Ind-45",69.3732
"Sim-People-Ind-46",47.3504
"Sim-People-Ind-49",63.3409
"Sim-People-Ind-50",85.0049
"Sim-People-Ind-51",73.3902
"Sim-People-Ind-53",22.6316
"Sim-People-Ind-56",69.0604
"Sim-People-Ind-60",67.0509
"Sim-People-Ind-63",63.0052
"Sim-People-Ind-64",63.2159
"Sim-People-Ind-65",33.8435
"Sim-People-Ind-66",43.4161
"Sim-People-Ind-68",95.9732
"Sim-People-Ind-69",79.7543
"Sim-People-Ind-70",55.9795
"Sim-People-Ind-72",51.7194
"Sim-People-Ind-73",66.3667
"Sim-People-Ind-74",17.2163
"Sim-People-Ind-76",35.9222
"Sim-People-Ind-81",41.1837
"Sim-People-Ind-83",59.7725
"Sim-People-Ind-84",47.3468
"Sim-People-Ind-88",47.1427
"Sim-People-Ind-89",75.9897
"Sim-People-Ind-90",55.8894
"Sim-People-Ind-94",14.7055
"Sim-People-Ind-95",80.3139
"Sim-People-Ind-98",95.3424
"Sim-People-Ind-99",41.7516
"Sim-People-Ind-100",76.1566
