"t","DS","Population"
10,"S",10136
20,"S",9767.0
30,"S",9431.0
40,"S",7930
50,"S",7137
60,"S",6809
70,"S",6768
80,"S",6043
90,"S",5487
100,"S",5328
110,"S",4693
120,"S",4431
130,"S",4490
140,"S",4183
150,"S",3906
160,"S",3582
170,"S",3196
180,"S",2960
190,"S",2688
200,"S",2600
10,"I",2
20,"I",37
30,"I",287
40,"I",1274
50,"I",890.0
60,"I",443
70,"I",219
80,"I",610
90,"I",540
100,"I",370
110,"I",535
120,"I",267
130,"I",204
140,"I",197
150,"I",261
160,"I",322
170,"I",342
180,"I",272
190,"I",229
200,"I",184
10,"R",5
20,"R",11
30,"R",97.0
40,"R",719
50,"R",2095
60,"R",2671
70,"R",2958
80,"R",3384
90,"R",4075
100,"R",4380
110,"R",4764
120,"R",5201
130,"R",5352
140,"R",5753
150,"R",6030
160,"R",6190
170,"R",6383
180,"R",6792
190,"R",7012
200,"R",7203
