"ID","t","DS","Group"
"Prod-231",0,"I","G1"
"Prod-346",0,"I","G1"
"Prod-467",0,"S","G1"
"Prod-61",0,"S","G1"
"Prod-7",0,"S","G1"
"Prod-235",0,"S","G1"
"Prod-303",0,"S","G1"
"Prod-13",0,"S","G1"
"Prod-572",0,"S","G1"
"Prod-179",0,"S","G1"
"Prod-520",0,"I","G2"
"Prod-380",0,"I","G2"
"Prod-469",0,"S","G2"
"Prod-552",0,"S","G2"
"Prod-180",0,"S","G2"
"Prod-488",0,"S","G2"
"Prod-185",0,"S","G2"
"Prod-100",0,"S","G2"
"Prod-522",0,"S","G2"
"Prod-252",0,"S","G2"
"Prod-147",0,"I","G3"
"Prod-77",0,"I","G3"
"Prod-337",0,"S","G3"
"Prod-332",0,"S","G3"
"Prod-532",0,"S","G3"
"Prod-123",0,"S","G3"
"Prod-10",0,"S","G3"
"Prod-484",0,"S","G3"
"Prod-512",0,"S","G3"
"Prod-155",0,"S","G3"
"Prod-550",0,"I","G4"
"Prod-160",0,"I","G4"
"Prod-428",0,"S","G4"
"Prod-432",0,"S","G4"
"Prod-190",0,"S","G4"
"Prod-449",0,"S","G4"
"Prod-334",0,"S","G4"
"Prod-48",0,"S","G4"
"Prod-322",0,"S","G4"
"Prod-462",0,"S","G4"
"Prod-53",0,"I","G5"
"Prod-186",0,"I","G5"
"Prod-483",0,"S","G5"
"Prod-569",0,"S","G5"
"Prod-556",0,"S","G5"
"Prod-121",0,"S","G5"
"Prod-154",0,"S","G5"
"Prod-355",0,"S","G5"
"Prod-422",0,"S","G5"
"Prod-137",0,"S","G5"
"Prod-282",0,"I","G6"
"Prod-201",0,"I","G6"
"Prod-413",0,"S","G6"
"Prod-534",0,"S","G6"
"Prod-65",0,"S","G6"
"Prod-22",0,"S","G6"
"Prod-269",0,"S","G6"
"Prod-266",0,"S","G6"
"Prod-389",0,"S","G6"
"Prod-8",0,"S","G6"
"Prod-315",0,"I","G7"
"Prod-316",0,"I","G7"
"Prod-495",0,"S","G7"
"Prod-19",0,"S","G7"
"Prod-258",0,"S","G7"
"Prod-581",0,"S","G7"
"Prod-51",0,"S","G7"
"Prod-171",0,"S","G7"
"Prod-344",0,"S","G7"
"Prod-361",0,"S","G7"
"Prod-486",0,"I","G8"
"Prod-457",0,"I","G8"
"Prod-559",0,"S","G8"
"Prod-487",0,"S","G8"
"Prod-536",0,"S","G8"
"Prod-345",0,"S","G8"
"Prod-394",0,"S","G8"
"Prod-129",0,"S","G8"
"Prod-567",0,"S","G8"
"Prod-503",0,"S","G8"
"Prod-482",0,"I","G9"
"Prod-543",0,"I","G9"
"Prod-45",0,"S","G9"
"Prod-148",0,"S","G9"
"Prod-514",0,"S","G9"
"Prod-485",0,"S","G9"
"Prod-499",0,"S","G9"
"Prod-507",0,"S","G9"
"Prod-74",0,"S","G9"
"Prod-479",0,"S","G9"
"Prod-318",0,"I","G10"
"Prod-537",0,"I","G10"
"Prod-338",0,"S","G10"
"Prod-308",0,"S","G10"
"Prod-515",0,"S","G10"
"Prod-368",0,"S","G10"
"Prod-411",0,"S","G10"
"Prod-246",0,"S","G10"
"Prod-352",0,"S","G10"
"Prod-518",0,"S","G10"
"Prod-237",0,"I","G11"
"Prod-79",0,"I","G11"
"Prod-392",0,"S","G11"
"Prod-236",0,"S","G11"
"Prod-393",0,"S","G11"
"Prod-58",0,"S","G11"
"Prod-227",0,"S","G11"
"Prod-116",0,"S","G11"
"Prod-54",0,"S","G11"
"Prod-331",0,"S","G11"
"Prod-139",0,"I","G12"
"Prod-183",0,"I","G12"
"Prod-263",0,"S","G12"
"Prod-558",0,"S","G12"
"Prod-205",0,"S","G12"
"Prod-212",0,"S","G12"
"Prod-402",0,"S","G12"
"Prod-240",0,"S","G12"
"Prod-502",0,"S","G12"
"Prod-133",0,"S","G12"
"Prod-385",0,"I","G13"
"Prod-560",0,"I","G13"
"Prod-586",0,"S","G13"
"Prod-208",0,"S","G13"
"Prod-136",0,"S","G13"
"Prod-489",0,"S","G13"
"Prod-403",0,"S","G13"
"Prod-101",0,"S","G13"
"Prod-256",0,"S","G13"
"Prod-275",0,"S","G13"
"Prod-243",0,"I","G14"
"Prod-3",0,"I","G14"
"Prod-39",0,"S","G14"
"Prod-450",0,"S","G14"
"Prod-546",0,"S","G14"
"Prod-182",0,"S","G14"
"Prod-529",0,"S","G14"
"Prod-446",0,"S","G14"
"Prod-49",0,"S","G14"
"Prod-455",0,"S","G14"
"Prod-161",0,"I","G15"
"Prod-149",0,"I","G15"
"Prod-566",0,"S","G15"
"Prod-527",0,"S","G15"
"Prod-356",0,"S","G15"
"Prod-52",0,"S","G15"
"Prod-216",0,"S","G15"
"Prod-75",0,"S","G15"
"Prod-525",0,"S","G15"
"Prod-239",0,"S","G15"
"Prod-423",0,"I","G16"
"Prod-268",0,"I","G16"
"Prod-478",0,"S","G16"
"Prod-78",0,"S","G16"
"Prod-72",0,"S","G16"
"Prod-84",0,"S","G16"
"Prod-15",0,"S","G16"
"Prod-99",0,"S","G16"
"Prod-27",0,"S","G16"
"Prod-472",0,"S","G16"
"Prod-497",0,"I","G17"
"Prod-250",0,"I","G17"
"Prod-371",0,"S","G17"
"Prod-280",0,"S","G17"
"Prod-396",0,"S","G17"
"Prod-538",0,"S","G17"
"Prod-299",0,"S","G17"
"Prod-551",0,"S","G17"
"Prod-12",0,"S","G17"
"Prod-328",0,"S","G17"
"Prod-159",0,"I","G18"
"Prod-141",0,"I","G18"
"Prod-95",0,"S","G18"
"Prod-421",0,"S","G18"
"Prod-319",0,"S","G18"
"Prod-384",0,"S","G18"
"Prod-521",0,"S","G18"
"Prod-597",0,"S","G18"
"Prod-447",0,"S","G18"
"Prod-206",0,"S","G18"
"Prod-508",0,"I","G19"
"Prod-262",0,"I","G19"
"Prod-132",0,"S","G19"
"Prod-383",0,"S","G19"
"Prod-253",0,"S","G19"
"Prod-545",0,"S","G19"
"Prod-416",0,"S","G19"
"Prod-233",0,"S","G19"
"Prod-9",0,"S","G19"
"Prod-494",0,"S","G19"
"Prod-388",0,"I","G20"
"Prod-600",0,"I","G20"
"Prod-223",0,"S","G20"
"Prod-528",0,"S","G20"
"Prod-400",0,"S","G20"
"Prod-327",0,"S","G20"
"Prod-90",0,"S","G20"
"Prod-397",0,"S","G20"
"Prod-454",0,"S","G20"
"Prod-69",0,"S","G20"
"Prod-541",0,"I","G21"
"Prod-465",0,"I","G21"
"Prod-568",0,"S","G21"
"Prod-369",0,"S","G21"
"Prod-341",0,"S","G21"
"Prod-261",0,"S","G21"
"Prod-409",0,"S","G21"
"Prod-222",0,"S","G21"
"Prod-214",0,"S","G21"
"Prod-585",0,"S","G21"
"Prod-370",0,"I","G22"
"Prod-28",0,"I","G22"
"Prod-349",0,"S","G22"
"Prod-562",0,"S","G22"
"Prod-4",0,"S","G22"
"Prod-444",0,"S","G22"
"Prod-20",0,"S","G22"
"Prod-320",0,"S","G22"
"Prod-576",0,"S","G22"
"Prod-286",0,"S","G22"
"Prod-143",0,"I","G23"
"Prod-35",0,"I","G23"
"Prod-114",0,"S","G23"
"Prod-340",0,"S","G23"
"Prod-436",0,"S","G23"
"Prod-460",0,"S","G23"
"Prod-70",0,"S","G23"
"Prod-300",0,"S","G23"
"Prod-168",0,"S","G23"
"Prod-158",0,"S","G23"
"Prod-89",0,"I","G24"
"Prod-124",0,"I","G24"
"Prod-481",0,"S","G24"
"Prod-17",0,"S","G24"
"Prod-307",0,"S","G24"
"Prod-557",0,"S","G24"
"Prod-306",0,"S","G24"
"Prod-474",0,"S","G24"
"Prod-443",0,"S","G24"
"Prod-40",0,"S","G24"
"Prod-365",0,"I","G25"
"Prod-112",0,"I","G25"
"Prod-285",0,"S","G25"
"Prod-321",0,"S","G25"
"Prod-491",0,"S","G25"
"Prod-571",0,"S","G25"
"Prod-587",0,"S","G25"
"Prod-555",0,"S","G25"
"Prod-542",0,"S","G25"
"Prod-220",0,"S","G25"
"Prod-25",0,"I","G26"
"Prod-184",0,"I","G26"
"Prod-278",0,"S","G26"
"Prod-110",0,"S","G26"
"Prod-30",0,"S","G26"
"Prod-281",0,"S","G26"
"Prod-64",0,"S","G26"
"Prod-376",0,"S","G26"
"Prod-584",0,"S","G26"
"Prod-336",0,"S","G26"
"Prod-456",0,"I","G27"
"Prod-582",0,"I","G27"
"Prod-152",0,"S","G27"
"Prod-468",0,"S","G27"
"Prod-108",0,"S","G27"
"Prod-434",0,"S","G27"
"Prod-386",0,"S","G27"
"Prod-221",0,"S","G27"
"Prod-431",0,"S","G27"
"Prod-178",0,"S","G27"
"Prod-109",0,"I","G28"
"Prod-311",0,"I","G28"
"Prod-85",0,"S","G28"
"Prod-310",0,"S","G28"
"Prod-418",0,"S","G28"
"Prod-540",0,"S","G28"
"Prod-163",0,"S","G28"
"Prod-125",0,"S","G28"
"Prod-238",0,"S","G28"
"Prod-197",0,"S","G28"
"Prod-498",0,"I","G29"
"Prod-202",0,"I","G29"
"Prod-105",0,"S","G29"
"Prod-535",0,"S","G29"
"Prod-57",0,"S","G29"
"Prod-342",0,"S","G29"
"Prod-5",0,"S","G29"
"Prod-526",0,"S","G29"
"Prod-599",0,"S","G29"
"Prod-448",0,"S","G29"
"Prod-475",0,"I","G30"
"Prod-504",0,"I","G30"
"Prod-43",0,"S","G30"
"Prod-167",0,"S","G30"
"Prod-426",0,"S","G30"
"Prod-435",0,"S","G30"
