ID,value
"Ind-1",-0.582923
"Ind-2",-0.503165
"Ind-3",-0.344254
"Ind-4",-0.359385
"Ind-5",0.629633
"Ind-6",-0.675286
"Ind-7",-0.961702
"Ind-8",0.538522
"Ind-9",-0.30375
"Ind-10",-0.371727
"Ind-11",1.38271
"Ind-12",0.482127
"Ind-13",1.82648
"Ind-14",-0.495303
"Ind-15",-0.759637
"Ind-16",0.134698
"Ind-17",-0.78497
"Ind-18",0.95643
"Ind-19",0.179938
"Ind-20",-0.0310473
"Ind-21",-1.37231
"Ind-22",-0.397065
"Ind-23",-0.137835
"Ind-24",-1.62098
"Ind-25",0.0232225
"Ind-26",-3.74916
"Ind-27",0.493238
"Ind-28",-1.89948
"Ind-29",0.393851
"Ind-30",0.938794
"Ind-31",-2.30641
"Ind-32",-0.595812
"Ind-33",0.178119
"Ind-34",1.10521
"Ind-35",-1.07095
"Ind-36",0.824905
"Ind-37",0.197712
"Ind-38",-0.172718
"Ind-39",-0.55312
"Ind-40",-0.815499
"Ind-41",0.919649
"Ind-42",-1.65918
"Ind-43",-0.602582
"Ind-44",-0.831723
"Ind-45",1.06351
"Ind-46",-1.41017
"Ind-47",-0.134762
"Ind-48",-0.346531
"Ind-49",0.408705
"Ind-50",-0.966394
"Ind-51",-1.53273
"Ind-52",-0.969239
"Ind-53",1.12698
"Ind-54",-0.255851
"Ind-55",0.714366
"Ind-56",0.356433
"Ind-57",0.299148
"Ind-58",-2.23514
"Ind-59",-1.8097
"Ind-60",-1.28618
"Ind-61",0.271507
"Ind-62",1.49846
"Ind-63",-0.883433
"Ind-64",0.699802
"Ind-65",-0.703785
"Ind-66",-2.22332
"Ind-67",-0.373519
"Ind-68",0.759238
"Ind-69",-1.6867
"Ind-70",0.360336
"Ind-71",-1.05495
"Ind-72",-1.54825
"Ind-73",1.70378
"Ind-74",-0.455488
"Ind-75",-0.620968
"Ind-76",-0.0269413
"Ind-77",-0.828221
"Ind-78",-0.168716
"Ind-79",-0.792701
"Ind-80",-1.19116
"Ind-81",0.418323
"Ind-82",-0.879762
"Ind-83",0.226251
"Ind-84",0.294548
"Ind-85",0.0585913
"Ind-86",-0.206057
"Ind-87",0.198451
"Ind-88",-1.11087
"Ind-89",-1.47214
"Ind-90",-0.898433
"Ind-91",-1.32071
"Ind-92",1.31305
"Ind-93",1.63974
"Ind-94",1.98407
"Ind-95",-1.56447
"Ind-96",0.413612
"Ind-97",1.82421
"Ind-98",0.591673
"Ind-99",-0.390886
"Ind-100",-0.0919791
