"ID","t","DS"
"prod_1_1",0,"I"
"prod_1_2",0,"I"
"prod_1_3",0,"S"
"prod_1_4",0,"S"
"prod_1_5",0,"S"
"prod_1_6",0,"S"
"prod_1_7",0,"S"
"prod_1_8",0,"S"
"prod_1_9",0,"S"
"prod_1_10",0,"S"
"prod_2_1",0,"S"
"prod_2_2",0,"S"
"prod_2_3",0,"S"
"prod_2_4",0,"S"
"prod_2_5",0,"S"
"prod_2_6",0,"S"
"prod_2_7",0,"S"
"prod_2_8",0,"S"
"prod_2_9",0,"S"
"prod_2_10",0,"S"
"prod_3_1",0,"S"
"prod_3_2",0,"S"
"prod_3_3",0,"S"
"prod_3_4",0,"S"
"prod_3_5",0,"S"
"prod_3_6",0,"S"
"prod_3_7",0,"S"
"prod_3_8",0,"S"
"prod_3_9",0,"S"
"prod_3_10",0,"S"
"prod_4_1",0,"S"
"prod_4_2",0,"S"
"prod_4_3",0,"S"
"prod_4_4",0,"S"
"prod_4_5",0,"S"
"prod_4_6",0,"S"
"prod_4_7",0,"S"
"prod_4_8",0,"S"
"prod_4_9",0,"S"
"prod_4_10",0,"S"
"prod_5_1",0,"S"
"prod_5_2",0,"S"
"prod_5_3",0,"S"
"prod_5_4",0,"S"
"prod_5_5",0,"S"
"prod_5_6",0,"S"
"prod_5_7",0,"S"
"prod_5_8",0,"S"
"prod_5_9",0,"S"
"prod_5_10",0,"S"
"prod_6_1",0,"S"
"prod_6_2",0,"S"
"prod_6_3",0,"S"
"prod_6_4",0,"S"
"prod_6_5",0,"S"
"prod_6_6",0,"S"
"prod_6_7",0,"S"
"prod_6_8",0,"S"
"prod_6_9",0,"S"
"prod_6_10",0,"S"
"prod_7_1",0,"S"
"prod_7_2",0,"S"
"prod_7_3",0,"S"
"prod_7_4",0,"S"
"prod_7_5",0,"S"
"prod_7_6",0,"S"
"prod_7_7",0,"S"
"prod_7_8",0,"S"
"prod_7_9",0,"S"
"prod_7_10",0,"S"
"prod_8_1",0,"S"
"prod_8_2",0,"S"
"prod_8_3",0,"S"
"prod_8_4",0,"S"
"prod_8_5",0,"S"
"prod_8_6",0,"S"
"prod_8_7",0,"S"
"prod_8_8",0,"S"
"prod_8_9",0,"S"
"prod_8_10",0,"S"
"prod_9_1",0,"S"
"prod_9_2",0,"S"
"prod_9_3",0,"S"
"prod_9_4",0,"S"
"prod_9_5",0,"S"
"prod_9_6",0,"S"
"prod_9_7",0,"S"
"prod_9_8",0,"S"
"prod_9_9",0,"S"
"prod_9_10",0,"S"
"prod_10_1",0,"S"
"prod_10_2",0,"S"
"prod_10_3",0,"S"
"prod_10_4",0,"S"
"prod_10_5",0,"S"
"prod_10_6",0,"S"
"prod_10_7",0,"S"
"prod_10_8",0,"S"
"prod_10_9",0,"S"
"prod_10_10",0,"S"
"prod_11_1",0,"S"
"prod_11_2",0,"S"
"prod_11_3",0,"S"
"prod_11_4",0,"S"
"prod_11_5",0,"S"
"prod_11_6",0,"S"
"prod_11_7",0,"S"
"prod_11_8",0,"S"
"prod_11_9",0,"S"
"prod_11_10",0,"S"
"prod_12_1",0,"S"
"prod_12_2",0,"S"
"prod_12_3",0,"S"
"prod_12_4",0,"S"
"prod_12_5",0,"S"
"prod_12_6",0,"S"
"prod_12_7",0,"S"
"prod_12_8",0,"S"
"prod_12_9",0,"S"
"prod_12_10",0,"S"
"prod_13_1",0,"S"
"prod_13_2",0,"S"
"prod_13_3",0,"S"
"prod_13_4",0,"S"
"prod_13_5",0,"S"
"prod_13_6",0,"S"
"prod_13_7",0,"S"
"prod_13_8",0,"S"
"prod_13_9",0,"S"
"prod_13_10",0,"S"
"prod_14_1",0,"S"
"prod_14_2",0,"S"
"prod_14_3",0,"S"
"prod_14_4",0,"S"
"prod_14_5",0,"S"
"prod_14_6",0,"S"
"prod_14_7",0,"S"
"prod_14_8",0,"S"
"prod_14_9",0,"S"
"prod_14_10",0,"S"
"prod_15_1",0,"S"
"prod_15_2",0,"S"
"prod_15_3",0,"S"
"prod_15_4",0,"S"
"prod_15_5",0,"S"
"prod_15_6",0,"S"
"prod_15_7",0,"S"
"prod_15_8",0,"S"
"prod_15_9",0,"S"
"prod_15_10",0,"S"
"prod_16_1",0,"S"
"prod_16_2",0,"S"
"prod_16_3",0,"S"
"prod_16_4",0,"S"
"prod_16_5",0,"S"
"prod_16_6",0,"S"
"prod_16_7",0,"S"
"prod_16_8",0,"S"
"prod_16_9",0,"S"
"prod_16_10",0,"S"
"prod_17_1",0,"S"
"prod_17_2",0,"S"
"prod_17_3",0,"S"
"prod_17_4",0,"S"
"prod_17_5",0,"S"
"prod_17_6",0,"S"
"prod_17_7",0,"S"
"prod_17_8",0,"S"
"prod_17_9",0,"S"
"prod_17_10",0,"S"
"prod_18_1",0,"S"
"prod_18_2",0,"S"
"prod_18_3",0,"S"
"prod_18_4",0,"S"
"prod_18_5",0,"S"
"prod_18_6",0,"S"
"prod_18_7",0,"S"
"prod_18_8",0,"S"
"prod_18_9",0,"S"
"prod_18_10",0,"S"
"prod_19_1",0,"S"
"prod_19_2",0,"S"
"prod_19_3",0,"S"
"prod_19_4",0,"S"
"prod_19_5",0,"S"
"prod_19_6",0,"S"
"prod_19_7",0,"S"
"prod_19_8",0,"S"
"prod_19_9",0,"S"
"prod_19_10",0,"S"
"prod_20_1",0,"S"
"prod_20_2",0,"S"
"prod_20_3",0,"S"
"prod_20_4",0,"S"
"prod_20_5",0,"S"
"prod_20_6",0,"S"
"prod_20_7",0,"S"
"prod_20_8",0,"S"
"prod_20_9",0,"S"
"prod_20_10",0,"S"
"prod_21_1",0,"S"
"prod_21_2",0,"S"
"prod_21_3",0,"S"
"prod_21_4",0,"S"
"prod_21_5",0,"S"
"prod_21_6",0,"S"
"prod_21_7",0,"S"
"prod_21_8",0,"S"
"prod_21_9",0,"S"
"prod_21_10",0,"S"
"prod_22_1",0,"S"
"prod_22_2",0,"S"
"prod_22_3",0,"S"
"prod_22_4",0,"S"
"prod_22_5",0,"S"
"prod_22_6",0,"S"
"prod_22_7",0,"S"
"prod_22_8",0,"S"
"prod_22_9",0,"S"
"prod_22_10",0,"S"
"prod_23_1",0,"S"
"prod_23_2",0,"S"
"prod_23_3",0,"S"
"prod_23_4",0,"S"
"prod_23_5",0,"S"
"prod_23_6",0,"S"
"prod_23_7",0,"S"
"prod_23_8",0,"S"
"prod_23_9",0,"S"
"prod_23_10",0,"S"
"prod_24_1",0,"S"
"prod_24_2",0,"S"
"prod_24_3",0,"S"
"prod_24_4",0,"S"
"prod_24_5",0,"S"
"prod_24_6",0,"S"
"prod_24_7",0,"S"
"prod_24_8",0,"S"
"prod_24_9",0,"S"
"prod_24_10",0,"S"
"prod_25_1",0,"S"
"prod_25_2",0,"S"
"prod_25_3",0,"S"
"prod_25_4",0,"S"
"prod_25_5",0,"S"
"prod_25_6",0,"S"
"prod_25_7",0,"S"
"prod_25_8",0,"S"
"prod_25_9",0,"S"
"prod_25_10",0,"S"
"prod_26_1",0,"S"
"prod_26_2",0,"S"
"prod_26_3",0,"S"
"prod_26_4",0,"S"
"prod_26_5",0,"S"
"prod_26_6",0,"S"
"prod_26_7",0,"S"
"prod_26_8",0,"S"
"prod_26_9",0,"S"
"prod_26_10",0,"S"
"prod_27_1",0,"S"
"prod_27_2",0,"S"
"prod_27_3",0,"S"
"prod_27_4",0,"S"
"prod_27_5",0,"S"
"prod_27_6",0,"S"
"prod_27_7",0,"S"
"prod_27_8",0,"S"
"prod_27_9",0,"S"
"prod_27_10",0,"S"
"prod_28_1",0,"S"
"prod_28_2",0,"S"
"prod_28_3",0,"S"
"prod_28_4",0,"S"
"prod_28_5",0,"S"
"prod_28_6",0,"S"
"prod_28_7",0,"S"
"prod_28_8",0,"S"
"prod_28_9",0,"S"
"prod_28_10",0,"S"
"prod_29_1",0,"S"
"prod_29_2",0,"S"
"prod_29_3",0,"S"
"prod_29_4",0,"S"
"prod_29_5",0,"S"
"prod_29_6",0,"S"
"prod_29_7",0,"S"
"prod_29_8",0,"S"
"prod_29_9",0,"S"
"prod_29_10",0,"S"
"prod_30_1",0,"S"
"prod_30_2",0,"S"
"prod_30_3",0,"S"
