"ID","Value"
"prod_1_1",0.536888
"prod_1_2",1.03214
"prod_1_3",0.714422
"prod_1_4",0.718862
"prod_1_5",1.00696
"prod_1_6",3.78528
"prod_1_7",2.038
"prod_1_8",0.942503
"prod_1_9",0.614981
"prod_1_10",0.48712
"prod_2_1",0.280063
"prod_2_2",0.0719589
"prod_2_3",0.110959
"prod_2_4",0.165837
"prod_2_5",0.176036
"prod_2_6",0.246204
"prod_2_7",0.555271
"prod_2_8",0.1708
"prod_2_9",0.526893
"prod_2_10",0.189206
"prod_3_1",0.162956
"prod_3_2",0.209088
"prod_3_3",1.07586
"prod_3_4",0.280215
"prod_3_5",0.226317
"prod_3_6",0.157439
"prod_3_7",0.692972
"prod_3_8",0.161013
"prod_3_9",0.346415
"prod_3_10",0.891492
"prod_4_1",1.07032
"prod_4_2",1.25923
"prod_4_3",2.32714
"prod_4_4",0.37747
"prod_4_5",1.93996
"prod_4_6",0.768027
"prod_4_7",0.911848
"prod_4_8",1.74454
"prod_4_9",1.13943
"prod_4_10",1.08351
"prod_5_1",0.517964
"prod_5_2",1.45583
"prod_5_3",0.858573
"prod_5_4",0.875156
"prod_5_5",1.73967
"prod_5_6",1.86753
"prod_5_7",0.579794
"prod_5_8",4.2598
"prod_5_9",1.99564
"prod_5_10",3.21633
"prod_6_1",0.369842
"prod_6_2",0.286562
"prod_6_3",0.845672
"prod_6_4",0.180994
"prod_6_5",0.608557
"prod_6_6",0.21017
"prod_6_7",0.226188
"prod_6_8",0.27034
"prod_6_9",0.267434
"prod_6_10",0.243549
"prod_7_1",2.00924
"prod_7_2",2.01966
"prod_7_3",0.349501
"prod_7_4",1.01801
"prod_7_5",3.51468
"prod_7_6",1.36045
"prod_7_7",0.299266
"prod_7_8",6.56065
"prod_7_9",0.29484
"prod_7_10",0.224528
"prod_8_1",0.519317
"prod_8_2",1.55134
"prod_8_3",4.16233
"prod_8_4",0.511303
"prod_8_5",1.28173
"prod_8_6",0.93241
"prod_8_7",3.381
"prod_8_8",2.64229
"prod_8_9",1.57077
"prod_8_10",1.33906
"prod_9_1",0.139462
"prod_9_2",1.01707
"prod_9_3",0.224495
"prod_9_4",0.223225
"prod_9_5",0.229113
"prod_9_6",1.75516
"prod_9_7",0.48864
"prod_9_8",0.10652
"prod_9_9",0.352457
"prod_9_10",0.429201
"prod_10_1",0.504115
"prod_10_2",0.243265
"prod_10_3",0.280714
"prod_10_4",0.461286
"prod_10_5",1.83411
"prod_10_6",0.609518
"prod_10_7",0.428729
"prod_10_8",0.997834
"prod_10_9",0.313373
"prod_10_10",0.911088
"prod_11_1",0.538341
"prod_11_2",1.0017
"prod_11_3",0.237316
"prod_11_4",0.412829
"prod_11_5",0.687113
"prod_11_6",0.472122
"prod_11_7",0.482549
"prod_11_8",0.294993
"prod_11_9",0.283248
"prod_11_10",0.375874
"prod_12_1",1.35113
"prod_12_2",1.80822
"prod_12_3",0.982553
"prod_12_4",0.315595
"prod_12_5",0.233448
"prod_12_6",0.769695
"prod_12_7",0.960415
"prod_12_8",0.409738
"prod_12_9",0.314556
"prod_12_10",0.188177
"prod_13_1",2.15459
"prod_13_2",3.01963
"prod_13_3",0.457331
"prod_13_4",1.42287
"prod_13_5",0.69171
"prod_13_6",0.960301
"prod_13_7",1.14903
"prod_13_8",1.50206
"prod_13_9",1.55031
"prod_13_10",1.8055
"prod_14_1",0.815965
"prod_14_2",0.380725
"prod_14_3",1.52626
"prod_14_4",0.475433
"prod_14_5",0.501056
"prod_14_6",0.477413
"prod_14_7",0.559876
"prod_14_8",0.552574
"prod_14_9",0.782255
"prod_14_10",0.244985
"prod_15_1",1.73566
"prod_15_2",1.68888
"prod_15_3",2.30345
"prod_15_4",1.55595
"prod_15_5",1.47532
"prod_15_6",7.49866
"prod_15_7",1.73379
"prod_15_8",1.65603
"prod_15_9",0.845347
"prod_15_10",2.0093
"prod_16_1",1.02351
"prod_16_2",1.03677
"prod_16_3",1.33595
"prod_16_4",1.29339
"prod_16_5",2.62903
"prod_16_6",2.19098
"prod_16_7",3.7727
"prod_16_8",1.26618
"prod_16_9",0.595558
"prod_16_10",0.916928
"prod_17_1",0.101898
"prod_17_2",0.746825
"prod_17_3",0.395482
"prod_17_4",0.322
"prod_17_5",0.270872
"prod_17_6",1.30988
"prod_17_7",0.637225
"prod_17_8",0.426339
"prod_17_9",1.33322
"prod_17_10",0.472055
"prod_18_1",0.207366
"prod_18_2",0.331272
"prod_18_3",0.302606
"prod_18_4",0.435321
"prod_18_5",0.0873167
