"ID","t","DS"
"Sim-People-Ind-1",10,"I"
"Sim-People-Ind-1",20,"I"
"Sim-People-Ind-1",30,"I"
"Sim-People-Ind-1",40,"I"
"Sim-People-Ind-1",50,"I"
"Sim-People-Ind-1",60,"I"
"Sim-People-Ind-1",70,"R"
"Sim-People-Ind-1",80,"R"
"Sim-People-Ind-1",90,"R"
"Sim-People-Ind-1",100,"R"
"Sim-People-Ind-2",10,"I"
"Sim-People-Ind-2",20,"I"
"Sim-People-Ind-2",30,"R"
"Sim-People-Ind-2",40,"R"
"Sim-People-Ind-2",50,"R"
"Sim-People-Ind-2",60,"R"
"Sim-People-Ind-2",70,"R"
"Sim-People-Ind-2",80,"R"
"Sim-People-Ind-2",90,"R"
"Sim-People-Ind-2",100,"R"
"Sim-People-Ind-3",10,"I"
"Sim-People-Ind-3",20,"R"
"Sim-People-Ind-3",30,"R"
"Sim-People-Ind-3",40,"R"
"Sim-People-Ind-3",50,"R"
"Sim-People-Ind-3",60,"R"
"Sim-People-Ind-3",70,"R"
"Sim-People-Ind-3",80,"R"
"Sim-People-Ind-3",90,"R"
"Sim-People-Ind-3",100,"R"
"Sim-People-Ind-4",10,"S"
"Sim-People-Ind-4",20,"R"
"Sim-People-Ind-4",30,"R"
"Sim-People-Ind-4",40,"R"
"Sim-People-Ind-4",50,"R"
"Sim-People-Ind-4",60,"R"
"Sim-People-Ind-4",70,"R"
"Sim-People-Ind-4",80,"R"
"Sim-People-Ind-4",90,"R"
"Sim-People-Ind-4",100,"R"
"Sim-People-Ind-5",10,"I"
"Sim-People-Ind-5",20,"I"
"Sim-People-Ind-5",30,"R"
"Sim-People-Ind-5",40,"R"
"Sim-People-Ind-5",50,"R"
"Sim-People-Ind-5",60,"R"
"Sim-People-Ind-5",70,"R"
"Sim-People-Ind-5",80,"R"
"Sim-People-Ind-5",90,"R"
"Sim-People-Ind-5",100,"R"
"Sim-People-Ind-6",10,"I"
"Sim-People-Ind-6",20,"I"
"Sim-People-Ind-6",30,"R"
"Sim-People-Ind-6",40,"R"
"Sim-People-Ind-6",50,"R"
"Sim-People-Ind-6",60,"R"
"Sim-People-Ind-6",70,"R"
"Sim-People-Ind-6",80,"R"
"Sim-People-Ind-6",90,"R"
"Sim-People-Ind-6",100,"R"
"Sim-People-Ind-7",10,"I"
"Sim-People-Ind-7",20,"I"
"Sim-People-Ind-7",30,"R"
"Sim-People-Ind-7",40,"R"
"Sim-People-Ind-7",50,"R"
"Sim-People-Ind-7",60,"R"
"Sim-People-Ind-7",70,"R"
"Sim-People-Ind-7",80,"R"
"Sim-People-Ind-7",90,"R"
"Sim-People-Ind-7",100,"R"
"Sim-People-Ind-8",10,"I"
"Sim-People-Ind-8",20,"R"
"Sim-People-Ind-8",30,"R"
"Sim-People-Ind-8",40,"R"
"Sim-People-Ind-8",50,"R"
"Sim-People-Ind-8",60,"R"
"Sim-People-Ind-8",70,"R"
"Sim-People-Ind-8",80,"R"
"Sim-People-Ind-8",90,"R"
"Sim-People-Ind-8",100,"R"
"Sim-People-Ind-9",10,"S"
"Sim-People-Ind-9",20,"I"
"Sim-People-Ind-9",30,"I"
"Sim-People-Ind-9",40,"I"
"Sim-People-Ind-9",50,"R"
"Sim-People-Ind-9",60,"R"
"Sim-People-Ind-9",70,"R"
"Sim-People-Ind-9",80,"R"
"Sim-People-Ind-9",90,"R"
"Sim-People-Ind-9",100,"R"
"Sim-People-Ind-10",10,"R"
"Sim-People-Ind-10",20,"R"
"Sim-People-Ind-10",30,"R"
"Sim-People-Ind-10",40,"R"
"Sim-People-Ind-10",50,"R"
"Sim-People-Ind-10",60,"R"
"Sim-People-Ind-10",70,"R"
"Sim-People-Ind-10",80,"R"
"Sim-People-Ind-10",90,"R"
"Sim-People-Ind-10",100,"R"
"Sim-People-Ind-11",10,"I"
"Sim-People-Ind-11",20,"I"
"Sim-People-Ind-11",30,"I"
"Sim-People-Ind-11",40,"I"
"Sim-People-Ind-11",50,"R"
"Sim-People-Ind-11",60,"R"
"Sim-People-Ind-11",70,"R"
"Sim-People-Ind-11",80,"R"
"Sim-People-Ind-11",90,"R"
"Sim-People-Ind-11",100,"R"
"Sim-People-Ind-12",10,"R"
"Sim-People-Ind-12",20,"R"
"Sim-People-Ind-12",30,"R"
"Sim-People-Ind-12",40,"R"
"Sim-People-Ind-12",50,"R"
"Sim-People-Ind-12",60,"R"
"Sim-People-Ind-12",70,"R"
"Sim-People-Ind-12",80,"R"
"Sim-People-Ind-12",90,"R"
"Sim-People-Ind-12",100,"R"
"Sim-People-Ind-13",10,"I"
"Sim-People-Ind-13",20,"R"
"Sim-People-Ind-13",30,"R"
"Sim-People-Ind-13",40,"R"
"Sim-People-Ind-13",50,"R"
"Sim-People-Ind-13",60,"R"
"Sim-People-Ind-13",70,"R"
"Sim-People-Ind-13",80,"R"
"Sim-People-Ind-13",90,"R"
"Sim-People-Ind-13",100,"R"
"Sim-People-Ind-14",10,"R"
"Sim-People-Ind-14",20,"R"
"Sim-People-Ind-14",30,"R"
"Sim-People-Ind-14",40,"R"
"Sim-People-Ind-14",50,"R"
"Sim-People-Ind-14",60,"R"
"Sim-People-Ind-14",70,"R"
"Sim-People-Ind-14",80,"R"
"Sim-People-Ind-14",90,"R"
"Sim-People-Ind-14",100,"R"
"Sim-People-Ind-15",10,"I"
"Sim-People-Ind-15",20,"R"
"Sim-People-Ind-15",30,"R"
"Sim-People-Ind-15",40,"R"
"Sim-People-Ind-15",50,"R"
"Sim-People-Ind-15",60,"R"
"Sim-People-Ind-15",70,"R"
"Sim-People-Ind-15",80,"R"
"Sim-People-Ind-15",90,"R"
"Sim-People-Ind-15",100,"R"
"Sim-People-Ind-16",10,"S"
"Sim-People-Ind-16",20,"I"
"Sim-People-Ind-16",30,"I"
"Sim-People-Ind-16",40,"I"
"Sim-People-Ind-16",50,"R"
"Sim-People-Ind-16",60,"R"
"Sim-People-Ind-16",70,"R"
"Sim-People-Ind-16",80,"R"
"Sim-People-Ind-16",90,"R"
"Sim-People-Ind-16",100,"R"
"Sim-People-Ind-17",10,"S"
"Sim-People-Ind-17",20,"R"
"Sim-People-Ind-17",30,"R"
"Sim-People-Ind-17",40,"R"
"Sim-People-Ind-17",50,"R"
"Sim-People-Ind-17",60,"R"
"Sim-People-Ind-17",70,"R"
"Sim-People-Ind-17",80,"R"
"Sim-People-Ind-17",90,"R"
"Sim-People-Ind-17",100,"R"
"Sim-People-Ind-18",10,"I"
"Sim-People-Ind-18",20,"R"
"Sim-People-Ind-18",30,"R"
"Sim-People-Ind-18",40,"R"
"Sim-People-Ind-18",50,"R"
"Sim-People-Ind-18",60,"R"
"Sim-People-Ind-18",70,"R"
"Sim-People-Ind-18",80,"R"
"Sim-People-Ind-18",90,"R"
"Sim-People-Ind-18",100,"R"
"Sim-People-Ind-19",10,"I"
"Sim-People-Ind-19",20,"R"
"Sim-People-Ind-19",30,"R"
"Sim-People-Ind-19",40,"R"
"Sim-People-Ind-19",50,"R"
"Sim-People-Ind-19",60,"R"
"Sim-People-Ind-19",70,"R"
"Sim-People-Ind-19",80,"R"
"Sim-People-Ind-19",90,"R"
"Sim-People-Ind-19",100,"R"
"Sim-People-Ind-20",10,"R"
"Sim-People-Ind-20",20,"R"
"Sim-People-Ind-20",30,"R"
"Sim-People-Ind-20",40,"R"
"Sim-People-Ind-20",50,"R"
"Sim-People-Ind-20",60,"R"
"Sim-People-Ind-20",70,"R"
"Sim-People-Ind-20",80,"R"
"Sim-People-Ind-20",90,"R"
"Sim-People-Ind-20",100,"R"
"Sim-People-Ind-21",10,"I"
"Sim-People-Ind-21",20,"R"
"Sim-People-Ind-21",30,"R"
"Sim-People-Ind-21",40,"R"
"Sim-People-Ind-21",50,"R"
"Sim-People-Ind-21",60,"R"
"Sim-People-Ind-21",70,"R"
"Sim-People-Ind-21",80,"R"
"Sim-People-Ind-21",90,"R"
"Sim-People-Ind-21",100,"R"
"Sim-People-Ind-22",10,"I"
"Sim-People-Ind-22",20,"R"
"Sim-People-Ind-22",30,"R"
"Sim-People-Ind-22",40,"R"
"Sim-People-Ind-22",50,"R"
"Sim-People-Ind-22",60,"R"
"Sim-People-Ind-22",70,"R"
"Sim-People-Ind-22",80,"R"
"Sim-People-Ind-22",90,"R"
"Sim-People-Ind-22",100,"R"
"Sim-People-Ind-23",10,"S"
"Sim-People-Ind-23",20,"I"
"Sim-People-Ind-23",30,"R"
"Sim-People-Ind-23",40,"R"
"Sim-People-Ind-23",50,"R"
"Sim-People-Ind-23",60,"R"
"Sim-People-Ind-23",70,"R"
"Sim-People-Ind-23",80,"R"
"Sim-People-Ind-23",90,"R"
"Sim-People-Ind-23",100,"R"
"Sim-People-Ind-24",10,"I"
"Sim-People-Ind-24",20,"R"
"Sim-People-Ind-24",30,"R"
"Sim-People-Ind-24",40,"R"
"Sim-People-Ind-24",50,"R"
"Sim-People-Ind-24",60,"R"
"Sim-People-Ind-24",70,"R"
"Sim-People-Ind-24",80,"R"
"Sim-People-Ind-24",90,"R"
"Sim-People-Ind-24",100,"R"
"Sim-People-Ind-25",10,"S"
"Sim-People-Ind-25",20,"I"
"Sim-People-Ind-25",30,"R"
"Sim-People-Ind-25",40,"R"
"Sim-People-Ind-25",50,"R"
"Sim-People-Ind-25",60,"R"
"Sim-People-Ind-25",70,"R"
"Sim-People-Ind-25",80,"R"
"Sim-People-Ind-25",90,"R"
"Sim-People-Ind-25",100,"R"
"Sim-People-Ind-26",10,"S"
"Sim-People-Ind-26",20,"I"
"Sim-People-Ind-26",30,"R"
"Sim-People-Ind-26",40,"R"
"Sim-People-Ind-26",50,"R"
"Sim-People-Ind-26",60,"R"
"Sim-People-Ind-26",70,"R"
"Sim-People-Ind-26",80,"R"
"Sim-People-Ind-26",90,"R"
"Sim-People-Ind-26",100,"R"
"Sim-People-Ind-27",10,"R"
"Sim-People-Ind-27",20,"R"
"Sim-People-Ind-27",30,"R"
"Sim-People-Ind-27",40,"R"
"Sim-People-Ind-27",50,"R"
"Sim-People-Ind-27",60,"R"
"Sim-People-Ind-27",70,"R"
"Sim-People-Ind-27",80,"R"
"Sim-People-Ind-27",90,"R"
"Sim-People-Ind-27",100,"R"
"Sim-People-Ind-28",10,"I"
"Sim-People-Ind-28",20,"R"
"Sim-People-Ind-28",30,"R"
"Sim-People-Ind-28",40,"R"
"Sim-People-Ind-28",50,"R"
"Sim-People-Ind-28",60,"R"
"Sim-People-Ind-28",70,"R"
"Sim-People-Ind-28",80,"R"
"Sim-People-Ind-28",90,"R"
"Sim-People-Ind-28",100,"R"
"Sim-People-Ind-29",10,"S"
"Sim-People-Ind-29",20,"I"
"Sim-People-Ind-29",30,"I"
"Sim-People-Ind-29",40,"R"
"Sim-People-Ind-29",50,"R"
"Sim-People-Ind-29",60,"R"
"Sim-People-Ind-29",70,"R"
"Sim-People-Ind-29",80,"R"
"Sim-People-Ind-29",90,"R"
"Sim-People-Ind-29",100,"R"
"Sim-People-Ind-30",10,"R"
"Sim-People-Ind-30",20,"R"
"Sim-People-Ind-30",30,"R"
"Sim-People-Ind-30",40,"R"
"Sim-People-Ind-30",50,"R"
"Sim-People-Ind-30",60,"R"
"Sim-People-Ind-30",70,"R"
"Sim-People-Ind-30",80,"R"
"Sim-People-Ind-30",90,"R"
"Sim-People-Ind-30",100,"R"
"Sim-People-Ind-31",10,"S"
"Sim-People-Ind-31",20,"R"
"Sim-People-Ind-31",30,"R"
"Sim-People-Ind-31",40,"R"
"Sim-People-Ind-31",50,"R"
"Sim-People-Ind-31",60,"R"
"Sim-People-Ind-31",70,"R"
"Sim-People-Ind-31",80,"R"
"Sim-People-Ind-31",90,"R"
"Sim-People-Ind-31",100,"R"
"Sim-People-Ind-32",10,"I"
"Sim-People-Ind-32",20,"I"
"Sim-People-Ind-32",30,"I"
"Sim-People-Ind-32",40,"R"
"Sim-People-Ind-32",50,"R"
"Sim-People-Ind-32",60,"R"
"Sim-People-Ind-32",70,"R"
"Sim-People-Ind-32",80,"R"
"Sim-People-Ind-32",90,"R"
"Sim-People-Ind-32",100,"R"
"Sim-People-Ind-33",10,"R"
"Sim-People-Ind-33",20,"R"
"Sim-People-Ind-33",30,"R"
"Sim-People-Ind-33",40,"R"
"Sim-People-Ind-33",50,"R"
"Sim-People-Ind-33",60,"R"
"Sim-People-Ind-33",70,"R"
"Sim-People-Ind-33",80,"R"
"Sim-People-Ind-33",90,"R"
"Sim-People-Ind-33",100,"R"
"Sim-People-Ind-34",10,"I"
"Sim-People-Ind-34",20,"R"
"Sim-People-Ind-34",30,"R"
"Sim-People-Ind-34",40,"R"
"Sim-People-Ind-34",50,"R"
"Sim-People-Ind-34",60,"R"
"Sim-People-Ind-34",70,"R"
"Sim-People-Ind-34",80,"R"
"Sim-People-Ind-34",90,"R"
"Sim-People-Ind-34",100,"R"
"Sim-People-Ind-35",10,"S"
"Sim-People-Ind-35",20,"I"
"Sim-People-Ind-35",30,"I"
"Sim-People-Ind-35",40,"I"
"Sim-People-Ind-35",50,"R"
"Sim-People-Ind-35",60,"R"
"Sim-People-Ind-35",70,"R"
"Sim-People-Ind-35",80,"R"
"Sim-People-Ind-35",90,"R"
"Sim-People-Ind-35",100,"R"
"Sim-People-Ind-36",10,"S"
"Sim-People-Ind-36",20,"R"
"Sim-People-Ind-36",30,"R"
"Sim-People-Ind-36",40,"R"
"Sim-People-Ind-36",50,"R"
"Sim-People-Ind-36",60,"R"
"Sim-People-Ind-36",70,"R"
"Sim-People-Ind-36",80,"R"
"Sim-People-Ind-36",90,"R"
"Sim-People-Ind-36",100,"R"
"Sim-People-Ind-37",10,"S"
"Sim-People-Ind-37",20,"I"
"Sim-People-Ind-37",30,"R"
"Sim-People-Ind-37",40,"R"
"Sim-People-Ind-37",50,"R"
"Sim-People-Ind-37",60,"R"
"Sim-People-Ind-37",70,"R"
"Sim-People-Ind-37",80,"R"
"Sim-People-Ind-37",90,"R"
"Sim-People-Ind-37",100,"R"
"Sim-People-Ind-38",10,"R"
"Sim-People-Ind-38",20,"R"
"Sim-People-Ind-38",30,"R"
"Sim-People-Ind-38",40,"R"
"Sim-People-Ind-38",50,"R"
"Sim-People-Ind-38",60,"R"
"Sim-People-Ind-38",70,"R"
"Sim-People-Ind-38",80,"R"
"Sim-People-Ind-38",90,"R"
"Sim-People-Ind-38",100,"R"
"Sim-People-Ind-39",10,"I"
"Sim-People-Ind-39",20,"R"
