"ID","t"
"Sim-People-Ind-3",58.9587
"Sim-People-Ind-4",38.4623
"Sim-People-Ind-5",41.1824
"Sim-People-Ind-6",37.1884
"Sim-People-Ind-7",39.3116
"Sim-People-Ind-8",55.5443
"Sim-People-Ind-9",42.6972
"Sim-People-Ind-10",37.4922
"Sim-People-Ind-12",30.3663
"Sim-People-Ind-13",54.2102
"Sim-People-Ind-14",32.8877
"Sim-People-Ind-16",44.0957
"Sim-People-Ind-17",39.1506
"Sim-People-Ind-18",73.2779
"Sim-People-Ind-19",64.829
"Sim-People-Ind-20",27.6268
"Sim-People-Ind-21",44.2203
"Sim-People-Ind-22",55.4668
"Sim-People-Ind-23",33.2494
"Sim-People-Ind-24",79.73
"Sim-People-Ind-25",29.8428
"Sim-People-Ind-27",37.0834
"Sim-People-Ind-28",38.7036
"Sim-People-Ind-29",33.7886
"Sim-People-Ind-30",44.7346
"Sim-People-Ind-31",45.8928
"Sim-People-Ind-32",39.1779
"Sim-People-Ind-33",56.1641
"Sim-People-Ind-34",58.0989
"Sim-People-Ind-35",27.602
"Sim-People-Ind-36",63.0101
"Sim-People-Ind-37",49.9268
"Sim-People-Ind-38",38.0519
"Sim-People-Ind-39",27.1226
"Sim-People-Ind-40",51.4518
"Sim-People-Ind-41",93.8643
"Sim-People-Ind-42",58.3268
"Sim-People-Ind-43",45.9082
"Sim-People-Ind-45",48.7052
"Sim-People-Ind-46",68.4527
"Sim-People-Ind-47",41.6423
"Sim-People-Ind-48",33.7315
"Sim-People-Ind-49",53.9458
"Sim-People-Ind-50",98.1196
"Sim-People-Ind-51",37.1361
"Sim-People-Ind-52",40.4078
"Sim-People-Ind-53",38.2479
"Sim-People-Ind-54",36.2298
"Sim-People-Ind-55",62.5545
"Sim-People-Ind-56",71.5309
"Sim-People-Ind-57",24.6883
"Sim-People-Ind-58",24.5228
"Sim-People-Ind-59",38.9637
"Sim-People-Ind-60",50.9523
"Sim-People-Ind-61",51.3884
"Sim-People-Ind-62",82.0184
"Sim-People-Ind-63",47.3029
"Sim-People-Ind-65",39.0809
"Sim-People-Ind-66",38.2638
"Sim-People-Ind-67",29.0173
"Sim-People-Ind-69",52.4942
"Sim-People-Ind-70",46.7149
"Sim-People-Ind-71",35.1981
"Sim-People-Ind-72",47.5784
"Sim-People-Ind-73",30.2368
"Sim-People-Ind-74",38.6187
"Sim-People-Ind-75",53.0594
"Sim-People-Ind-77",73.032
"Sim-People-Ind-78",43.4189
"Sim-People-Ind-79",37.7954
"Sim-People-Ind-80",52.6607
"Sim-People-Ind-81",35.9358
"Sim-People-Ind-82",48.0699
"Sim-People-Ind-83",35.9006
"Sim-People-Ind-84",41.3458
"Sim-People-Ind-85",13.4625
"Sim-People-Ind-86",41.6034
"Sim-People-Ind-87",58.1955
"Sim-People-Ind-88",58.8114
"Sim-People-Ind-89",29.6964
"Sim-People-Ind-90",38.7301
"Sim-People-Ind-91",47.4433
"Sim-People-Ind-92",37.786
"Sim-People-Ind-94",66.978
"Sim-People-Ind-95",24.4194
"Sim-People-Ind-96",51.0004
"Sim-People-Ind-97",39.0412
"Sim-People-Ind-98",29.2161
"Sim-People-Ind-99",49.0383
"Sim-People-Ind-100",34.2928
"Sim-People-Ind-101",6.99011
