"t","DS","Sex","Population"
10,"S","M",4960
20,"S","M",4873
30,"S","M",4833
40,"S","M",4963
50,"S","M",4911
60,"S","M",5055
70,"S","M",4945
80,"S","M",5132
90,"S","M",5030
100,"S","M",5061
110,"S","M",4953
120,"S","M",4982
130,"S","M",5110
140,"S","M",4867
150,"S","M",5031
160,"S","M",4995
170,"S","M",5063
180,"S","M",5077
190,"S","M",5028
200,"S","M",5004
210,"S","M",4984
220,"S","M",5012
230,"S","M",4840
240,"S","M",4990
250,"S","M",4890
260,"S","M",5094
270,"S","M",4903
280,"S","M",5048
290,"S","M",4978
300,"S","M",4912
310,"S","M",5010
320,"S","M",5015
330,"S","M",4953
340,"S","M",5005
350,"S","M",5046
360,"S","M",5088
370,"S","M",5040
380,"S","M",5021
390,"S","M",4852
400,"S","M",5056
410,"S","M",5017
420,"S","M",4994
430,"S","M",4855
440,"S","M",4913
450,"S","M",4894
460,"S","M",4959
470,"S","M",5077
480,"S","M",4949
490,"S","M",4952
500,"S","M",5116
510,"S","M",4963
520,"S","M",5092
530,"S","M",5014
540,"S","M",4978
550,"S","M",5001
560,"S","M",5007
570,"S","M",5060
580,"S","M",5005
590,"S","M",5060
600,"S","M",5030
610,"S","M",4899
620,"S","M",4975
630,"S","M",4971
640,"S","M",4933
650,"S","M",5096
660,"S","M",5063
670,"S","M",4926
680,"S","M",4845
690,"S","M",4991
700,"S","M",4967
710,"S","M",5030
720,"S","M",5083
730,"S","M",4974
740,"S","M",4864
750,"S","M",5023
760,"S","M",5025
770,"S","M",5117
780,"S","M",5019
790,"S","M",4958
800,"S","M",5080
810,"S","M",4983
820,"S","M",4955
830,"S","M",4931
840,"S","M",5034
850,"S","M",4904
860,"S","M",5056
870,"S","M",5132
880,"S","M",4920
890,"S","M",4862
900,"S","M",4945
910,"S","M",4978
920,"S","M",4956
930,"S","M",4998
940,"S","M",5021
950,"S","M",5112
960,"S","M",5007
970,"S","M",4976
980,"S","M",4986
990,"S","M",5083
1000,"S","M",5008
1010,"S","M",4987
1020,"S","M",4912
1030,"S","M",5106
1040,"S","M",4965
1050,"S","M",4997
1060,"S","M",4991
1070,"S","M",5008
1080,"S","M",5001
1090,"S","M",5004
10,"S","F",4951
20,"S","F",5040
30,"S","F",4857
40,"S","F",4934
50,"S","F",4744
60,"S","F",4641
70,"S","F",4722
80,"S","F",4705
90,"S","F",4638
100,"S","F",4527
110,"S","F",4537
120,"S","F",4487
130,"S","F",4403
140,"S","F",4234
150,"S","F",4132
160,"S","F",3977
170,"S","F",3856
180,"S","F",3831
190,"S","F",3641
200,"S","F",3424
210,"S","F",3393
220,"S","F",3150
230,"S","F",3053
240,"S","F",2914
250,"S","F",2742
260,"S","F",2634
270,"S","F",2511
280,"S","F",2481
290,"S","F",2358
300,"S","F",2226
310,"S","F",2243
320,"S","F",2215
330,"S","F",2260
340,"S","F",2145
350,"S","F",2120
360,"S","F",2152
370,"S","F",2026
380,"S","F",2010
390,"S","F",2013
400,"S","F",1976
410,"S","F",2005
420,"S","F",2001
430,"S","F",2021
440,"S","F",1990
450,"S","F",1954
460,"S","F",1962
470,"S","F",1884
480,"S","F",1973
490,"S","F",1941
500,"S","F",1906
510,"S","F",1740
520,"S","F",1658
530,"S","F",1684
540,"S","F",1611
550,"S","F",1572
560,"S","F",1500
570,"S","F",1415
580,"S","F",1380
590,"S","F",1338
600,"S","F",1196
610,"S","F",1174
620,"S","F",1116
630,"S","F",1068
640,"S","F",1082
650,"S","F",1019
660,"S","F",1000
670,"S","F",931
680,"S","F",975
690,"S","F",945
700,"S","F",834
710,"S","F",872
720,"S","F",858
730,"S","F",864
740,"S","F",877
750,"S","F",856
760,"S","F",896
770,"S","F",903
780,"S","F",845
790,"S","F",859
800,"S","F",813
810,"S","F",829
820,"S","F",824
830,"S","F",831
840,"S","F",804
850,"S","F",762
860,"S","F",788
870,"S","F",761
880,"S","F",731
890,"S","F",700
900,"S","F",685
910,"S","F",649
920,"S","F",621
930,"S","F",600
940,"S","F",585
950,"S","F",541
960,"S","F",524
970,"S","F",483
980,"S","F",450
990,"S","F",467
1000,"S","F",443
1010,"S","F",429
1020,"S","F",419
1030,"S","F",381
1040,"S","F",376
1050,"S","F",400
1060,"S","F",406
1070,"S","F",372
1080,"S","F",375
1090,"S","F",374
10,"I","M",0
20,"I","M",0
30,"I","M",0
40,"I","M",0
50,"I","M",0
60,"I","M",0
70,"I","M",0
80,"I","M",0
90,"I","M",0
100,"I","M",0
110,"I","M",0
120,"I","M",0
130,"I","M",0
140,"I","M",0
150,"I","M",0
160,"I","M",0
170,"I","M",0
180,"I","M",0
190,"I","M",0
200,"I","M",0
210,"I","M",0
220,"I","M",0
230,"I","M",0
240,"I","M",0
250,"I","M",0
260,"I","M",0
270,"I","M",0
280,"I","M",0
290,"I","M",0
300,"I","M",0
310,"I","M",0
320,"I","M",0
330,"I","M",0
340,"I","M",0
350,"I","M",0
360,"I","M",0
370,"I","M",0
380,"I","M",0
390,"I","M",0
400,"I","M",0
410,"I","M",0
420,"I","M",0
430,"I","M",0
440,"I","M",0
450,"I","M",0
460,"I","M",0
470,"I","M",0
480,"I","M",0
490,"I","M",0
500,"I","M",0
510,"I","M",0
520,"I","M",0
530,"I","M",0
540,"I","M",0
550,"I","M",0
560,"I","M",0
570,"I","M",0
580,"I","M",0
590,"I","M",0
600,"I","M",0
610,"I","M",0
620,"I","M",0
630,"I","M",0
640,"I","M",0
650,"I","M",0
660,"I","M",0
670,"I","M",0
680,"I","M",0
690,"I","M",0
700,"I","M",0
710,"I","M",0
720,"I","M",0
730,"I","M",0
740,"I","M",0
750,"I","M",0
760,"I","M",0
770,"I","M",0
780,"I","M",0
790,"I","M",0
800,"I","M",0
810,"I","M",0
820,"I","M",0
830,"I","M",0
840,"I","M",0
850,"I","M",0
860,"I","M",0
870,"I","M",0
880,"I","M",0
890,"I","M",0
900,"I","M",0
910,"I","M",0
920,"I","M",0
930,"I","M",0
940,"I","M",0
950,"I","M",0
960,"I","M",0
970,"I","M",0
980,"I","M",0
990,"I","M",0
1000,"I","M",0
1010,"I","M",0
1020,"I","M",0
1030,"I","M",0
1040,"I","M",0
1050,"I","M",0
1060,"I","M",0
1070,"I","M",0
1080,"I","M",0
1090,"I","M",0
10,"I","F",54
20,"I","F",91
30,"I","F",126
40,"I","F",151
50,"I","F",155
60,"I","F",186
70,"I","F",185
80,"I","F",240
90,"I","F",230
100,"I","F",245
110,"I","F",301
120,"I","F",295
130,"I","F",353
140,"I","F",401
150,"I","F",488
160,"I","F",544
170,"I","F",650
180,"I","F",673
190,"I","F",802
200,"I","F",869
210,"I","F",899
220,"I","F",968
230,"I","F",1059
240,"I","F",1122
250,"I","F",1036
260,"I","F",1127
270,"I","F",1116
280,"I","F",1114
290,"I","F",1131
300,"I","F",1095
310,"I","F",1065
320,"I","F",967
330,"I","F",877
340,"I","F",866
350,"I","F",807
360,"I","F",755
370,"I","F",711
380,"I","F",640
390,"I","F",564
400,"I","F",528
410,"I","F",462
420,"I","F",432
430,"I","F",411
440,"I","F",384
450,"I","F",330
460,"I","F",355
470,"I","F",345
480,"I","F",342
490,"I","F",368
500,"I","F",333
510,"I","F",372
520,"I","F",375
530,"I","F",365
540,"I","F",433
550,"I","F",442
560,"I","F",462
570,"I","F",463
580,"I","F",479
590,"I","F",501
600,"I","F",480
610,"I","F",511
620,"I","F",555
630,"I","F",510
640,"I","F",476
650,"I","F",505
660,"I","F",410
670,"I","F",409
680,"I","F",390
690,"I","F",357
700,"I","F",341
710,"I","F",353
720,"I","F",299
730,"I","F",295
740,"I","F",240
750,"I","F",253
760,"I","F",256
770,"I","F",213
780,"I","F",238
790,"I","F",190
800,"I","F",192
810,"I","F",142
820,"I","F",161
830,"I","F",161
840,"I","F",170
850,"I","F",163
860,"I","F",161
870,"I","F",179
880,"I","F",164
890,"I","F",142
900,"I","F",181
910,"I","F",169
920,"I","F",195
930,"I","F",197
940,"I","F",172
950,"I","F",203
960,"I","F",208
970,"I","F",220
980,"I","F",210
990,"I","F",255
1000,"I","F",206
1010,"I","F",213
1020,"I","F",206
1030,"I","F",173
1040,"I","F",175
1050,"I","F",132
1060,"I","F",143
1070,"I","F",109
1080,"I","F",118
1090,"I","F",113
10,"R","M",0
20,"R","M",1
30,"R","M",1
40,"R","M",3
50,"R","M",1
60,"R","M",4
70,"R","M",2
80,"R","M",0
90,"R","M",1
