"l","t",Value
"Farm-1","1","step({I,Farm-1|Farm-96|Farm-79|Farm-168|Farm-68|Farm-130|Farm-74|Farm-192|Farm-29|Farm-175})"
"Farm-1","20","step({I,Farm-104|Farm-1|Farm-63|Farm-86|Farm-178|Farm-136|Farm-92|Farm-97|Farm-158|Farm-46})"
"Farm-1","26","step({I,Farm-157|Farm-198|Farm-151|Farm-1|Farm-54|Farm-83|Farm-86|Farm-60|Farm-81|Farm-25})"
"Farm-1","54","step({I,Farm-105|Farm-65|Farm-1|Farm-120|Farm-130|Farm-2|Farm-195|Farm-133|Farm-59|Farm-41})"
"Farm-1","72","step({I,Farm-57|Farm-188|Farm-155|Farm-123|Farm-1|Farm-187|Farm-135|Farm-45|Farm-5|Farm-2})"
"Farm-2","8","step({I,Farm-185|Farm-17|Farm-56|Farm-2|Farm-169|Farm-130|Farm-169|Farm-53|Farm-80|Farm-111})"
"Farm-2","24","step({I,Farm-2|Farm-167|Farm-197|Farm-141|Farm-37|Farm-103|Farm-117|Farm-158|Farm-122|Farm-44})"
"Farm-2","30","step({I,Farm-166|Farm-102|Farm-18|Farm-133|Farm-42|Farm-170|Farm-137|Farm-36|Farm-14|Farm-2})"
"Farm-2","34","step({I,Farm-147|Farm-154|Farm-2|Farm-62|Farm-47|Farm-101|Farm-191|Farm-112|Farm-20|Farm-125})"
"Farm-2","48","step({I,Farm-73|Farm-101|Farm-31|Farm-86|Farm-182|Farm-2|Farm-194|Farm-139|Farm-20|Farm-58})"
"Farm-2","54","step({I,Farm-105|Farm-65|Farm-1|Farm-120|Farm-130|Farm-2|Farm-195|Farm-133|Farm-59|Farm-41})"
"Farm-2","59","step({I,Farm-2|Farm-19|Farm-124|Farm-77|Farm-20|Farm-197|Farm-180|Farm-55|Farm-95|Farm-96})"
"Farm-2","64","step({I,Farm-55|Farm-2|Farm-5|Farm-29|Farm-103|Farm-45|Farm-74|Farm-12|Farm-183|Farm-177})"
"Farm-2","72","step({I,Farm-57|Farm-188|Farm-155|Farm-123|Farm-1|Farm-187|Farm-135|Farm-45|Farm-5|Farm-2})"
"Farm-2","89","step({I,Farm-159|Farm-103|Farm-2|Farm-28|Farm-143|Farm-119|Farm-141|Farm-73|Farm-126|Farm-87})"
"Farm-3","6","step({I,Farm-133|Farm-3|Farm-125|Farm-135|Farm-195|Farm-176|Farm-102|Farm-12|Farm-91|Farm-4})"
"Farm-3","28","step({I,Farm-191|Farm-3|Farm-107|Farm-61|Farm-177|Farm-51|Farm-136|Farm-163|Farm-87|Farm-151})"
"Farm-3","95","step({I,Farm-54|Farm-40|Farm-99|Farm-70|Farm-67|Farm-14|Farm-3|Farm-183|Farm-83|Farm-136})"
"Farm-4","6","step({I,Farm-133|Farm-3|Farm-125|Farm-135|Farm-195|Farm-176|Farm-102|Farm-12|Farm-91|Farm-4})"
"Farm-4","15","step({I,Farm-4|Farm-47|Farm-153|Farm-189|Farm-150|Farm-68|Farm-98|Farm-68|Farm-36|Farm-35})"
"Farm-4","44","step({I,Farm-140|Farm-76|Farm-21|Farm-193|Farm-15|Farm-4|Farm-196|Farm-30|Farm-52|Farm-44})"
"Farm-5","43","step({I,Farm-110|Farm-104|Farm-70|Farm-5|Farm-30|Farm-27|Farm-142|Farm-142|Farm-123|Farm-135})"
"Farm-5","47","step({I,Farm-136|Farm-128|Farm-110|Farm-55|Farm-30|Farm-172|Farm-128|Farm-60|Farm-93|Farm-5})"
"Farm-5","57","step({I,Farm-23|Farm-55|Farm-17|Farm-154|Farm-5|Farm-28|Farm-53|Farm-175|Farm-36|Farm-87})"
"Farm-5","61","step({I,Farm-5|Farm-75|Farm-133|Farm-126|Farm-183|Farm-135|Farm-65|Farm-64|Farm-167|Farm-156})"
"Farm-5","64","step({I,Farm-55|Farm-2|Farm-5|Farm-29|Farm-103|Farm-45|Farm-74|Farm-12|Farm-183|Farm-177})"
"Farm-5","72","step({I,Farm-57|Farm-188|Farm-155|Farm-123|Farm-1|Farm-187|Farm-135|Farm-45|Farm-5|Farm-2})"
"Farm-6","45","step({I,Farm-196|Farm-55|Farm-195|Farm-6|Farm-178|Farm-142|Farm-56|Farm-179|Farm-6|Farm-126})"
"Farm-6","50","step({I,Farm-6|Farm-184|Farm-109|Farm-199|Farm-77|Farm-162|Farm-93|Farm-166|Farm-108|Farm-178})"
"Farm-6","62","step({I,Farm-143|Farm-113|Farm-80|Farm-107|Farm-18|Farm-134|Farm-6|Farm-178|Farm-137|Farm-179})"
"Farm-6","97","step({I,Farm-181|Farm-131|Farm-129|Farm-7|Farm-183|Farm-6|Farm-38|Farm-180|Farm-26|Farm-80})"
"Farm-7","12","step({I,Farm-176|Farm-21|Farm-19|Farm-71|Farm-111|Farm-7|Farm-194|Farm-65|Farm-45|Farm-29})"
"Farm-7","14","step({I,Farm-34|Farm-156|Farm-173|Farm-83|Farm-28|Farm-7|Farm-197|Farm-75|Farm-85|Farm-11})"
"Farm-7","37","step({I,Farm-18|Farm-48|Farm-168|Farm-105|Farm-103|Farm-130|Farm-109|Farm-7|Farm-117|Farm-155})"
