"ID","t"
"Sim-People-Ind-1",79.1838
"Sim-People-Ind-2",34.6027
"Sim-People-Ind-3",33.2342
"Sim-People-Ind-4",45.2968
"Sim-People-Ind-5",49.0183
"Sim-People-Ind-6",34.0622
"Sim-People-Ind-7",52.1474
"Sim-People-Ind-8",31.8809
"Sim-People-Ind-9",40.4906
"Sim-People-Ind-10",6.86396
"Sim-People-Ind-11",36.8632
"Sim-People-Ind-12",30.2932
"Sim-People-Ind-13",92.0054
"Sim-People-Ind-14",56.1073
"Sim-People-Ind-15",29.5883
"Sim-People-Ind-16",38.1222
"Sim-People-Ind-17",67.3524
"Sim-People-Ind-18",48.0533
"Sim-People-Ind-19",54.7146
"Sim-People-Ind-20",53.3329
"Sim-People-Ind-21",49.5627
"Sim-People-Ind-22",43.8664
"Sim-People-Ind-23",75.1863
"Sim-People-Ind-24",33.2168
"Sim-People-Ind-25",47.0406
"Sim-People-Ind-26",53.8247
"Sim-People-Ind-27",36.3133
"Sim-People-Ind-28",56.002
"Sim-People-Ind-29",36.6096
"Sim-People-Ind-30",47.3977
"Sim-People-Ind-31",79.0731
"Sim-People-Ind-32",80.6252
"Sim-People-Ind-33",58.2266
"Sim-People-Ind-34",47.0058
"Sim-People-Ind-35",25.7763
"Sim-People-Ind-36",46.7434
"Sim-People-Ind-37",59.9066
"Sim-People-Ind-38",49.7088
"Sim-People-Ind-39",57.2369
"Sim-People-Ind-40",60.3349
"Sim-People-Ind-41",59.3113
"Sim-People-Ind-42",45.998
"Sim-People-Ind-43",42.6148
"Sim-People-Ind-44",55.9474
"Sim-People-Ind-45",59.419
"Sim-People-Ind-46",64.7267
"Sim-People-Ind-47",56.177
"Sim-People-Ind-48",60.4798
"Sim-People-Ind-49",57.3407
"Sim-People-Ind-50",19.0505
"Sim-People-Ind-51",65.7759
"Sim-People-Ind-52",22.4683
"Sim-People-Ind-53",28.2799
"Sim-People-Ind-54",48.5273
"Sim-People-Ind-55",57.2567
"Sim-People-Ind-56",62.0185
"Sim-People-Ind-57",11.7921
"Sim-People-Ind-59",39.9731
"Sim-People-Ind-60",32.7391
"Sim-People-Ind-61",47.3796
"Sim-People-Ind-62",85.4737
"Sim-People-Ind-63",88.3056
"Sim-People-Ind-64",53.2295
"Sim-People-Ind-65",71.0762
"Sim-People-Ind-66",65.9225
"Sim-People-Ind-67",62.8221
"Sim-People-Ind-68",56.2096
"Sim-People-Ind-69",65.8084
"Sim-People-Ind-70",53.9173
"Sim-People-Ind-71",60.0422
"Sim-People-Ind-72",47.8781
"Sim-People-Ind-73",64.6076
"Sim-People-Ind-74",58.9392
"Sim-People-Ind-75",29.1631
"Sim-People-Ind-76",54.7613
"Sim-People-Ind-77",39.641
"Sim-People-Ind-78",70.8783
"Sim-People-Ind-79",64.1649
"Sim-People-Ind-80",50.1168
"Sim-People-Ind-81",82.0046
"Sim-People-Ind-82",28.4723
"Sim-People-Ind-83",64.0807
"Sim-People-Ind-84",36.0495
"Sim-People-Ind-85",4.72052
"Sim-People-Ind-86",58.8853
"Sim-People-Ind-87",76.9082
"Sim-People-Ind-88",16.2394
"Sim-People-Ind-89",74.3263
"Sim-People-Ind-90",38.562
"Sim-People-Ind-91",33.4519
"Sim-People-Ind-92",48.488
"Sim-People-Ind-93",32.1258
"Sim-People-Ind-94",16.9681
"Sim-People-Ind-95",58.5352
"Sim-People-Ind-96",48.1526
"Sim-People-Ind-97",12.2382
"Sim-People-Ind-98",17.271
"Sim-People-Ind-99",47.966
"Sim-People-Ind-100",58.9796
