"name","x","y"
"G1",0,0
"G2",10,0
"G3",20,0
"G4",30,0
"G5",40,0
"G6",50,0
"G7",60,0
"G8",70,0
"G9",80,0
"G10",90,0
"G11",100,0
"G12",110,0
"G13",120,0
"G14",130,0
"G15",140,0
"G16",150,0
"G17",160,0
"G18",170,0
"G19",180,0
"G20",190,0
"G21",0,10
"G22",10,10
"G23",20,10
"G24",30,10
"G25",40,10
"G26",50,10
"G27",60,10
"G28",70,10
"G29",80,10
"G30",90,10
"G31",100,10
"G32",110,10
"G33",120,10
"G34",130,10
"G35",140,10
"G36",150,10
"G37",160,10
"G38",170,10
"G39",180,10
"G40",190,10
"G41",0,20
"G42",10,20
"G43",20,20
"G44",30,20
"G45",40,20
"G46",50,20
"G47",60,20
"G48",70,20
"G49",80,20
"G50",90,20
"G51",100,20
"G52",110,20
"G53",120,20
"G54",130,20
"G55",140,20
"G56",150,20
"G57",160,20
"G58",170,20
"G59",180,20
"G60",190,20
"G61",0,30
"G62",10,30
"G63",20,30
"G64",30,30
"G65",40,30
"G66",50,30
"G67",60,30
"G68",70,30
"G69",80,30
"G70",90,30
"G71",100,30
"G72",110,30
"G73",120,30
"G74",130,30
"G75",140,30
"G76",150,30
"G77",160,30
"G78",170,30
"G79",180,30
"G80",190,30
"G81",0,40
"G82",10,40
"G83",20,40
"G84",30,40
"G85",40,40
"G86",50,40
"G87",60,40
"G88",70,40
"G89",80,40
"G90",90,40
"G91",100,40
"G92",110,40
"G93",120,40
"G94",130,40
"G95",140,40
"G96",150,40
"G97",160,40
"G98",170,40
"G99",180,40
"G100",190,40
"G101",0,50
"G102",10,50
"G103",20,50
"G104",30,50
"G105",40,50
"G106",50,50
"G107",60,50
"G108",70,50
"G109",80,50
"G110",90,50
"G111",100,50
"G112",110,50
"G113",120,50
"G114",130,50
"G115",140,50
"G116",150,50
"G117",160,50
"G118",170,50
"G119",180,50
"G120",190,50
"G121",0,60
"G122",10,60
"G123",20,60
"G124",30,60
"G125",40,60
"G126",50,60
"G127",60,60
"G128",70,60
"G129",80,60
"G130",90,60
"G131",100,60
"G132",110,60
"G133",120,60
"G134",130,60
"G135",140,60
"G136",150,60
"G137",160,60
"G138",170,60
"G139",180,60
"G140",190,60
"G141",0,70
"G142",10,70
"G143",20,70
"G144",30,70
"G145",40,70
"G146",50,70
"G147",60,70
"G148",70,70
"G149",80,70
"G150",90,70
"G151",100,70
"G152",110,70
"G153",120,70
"G154",130,70
"G155",140,70
"G156",150,70
"G157",160,70
"G158",170,70
"G159",180,70
"G160",190,70
"G161",0,80
"G162",10,80
"G163",20,80
"G164",30,80
"G165",40,80
"G166",50,80
"G167",60,80
"G168",70,80
"G169",80,80
"G170",90,80
"G171",100,80
"G172",110,80
"G173",120,80
"G174",130,80
"G175",140,80
"G176",150,80
"G177",160,80
"G178",170,80
"G179",180,80
"G180",190,80
"G181",0,90
"G182",10,90
"G183",20,90
"G184",30,90
"G185",40,90
"G186",50,90
"G187",60,90
"G188",70,90
"G189",80,90
"G190",90,90
"G191",100,90
"G192",110,90
"G193",120,90
"G194",130,90
"G195",140,90
"G196",150,90
"G197",160,90
"G198",170,90
"G199",180,90
"G200",190,90
