"ID","t","DS","Location"
"Ind-1","start","I","Farm-1"
"Ind-2","start","S","Farm-2"
"Ind-3","start","S","Farm-3"
"Ind-4","start","S","Farm-4"
"Ind-5","start","S","Farm-5"
"Ind-6","start","S","Farm-6"
"Ind-7","start","S","Farm-7"
"Ind-8","start","S","Farm-8"
"Ind-9","start","S","Farm-9"
"Ind-10","start","S","Farm-10"
"Ind-11","start","S","Farm-11"
"Ind-12","start","S","Farm-12"
"Ind-13","start","S","Farm-13"
"Ind-14","start","S","Farm-14"
"Ind-15","start","S","Farm-15"
"Ind-16","start","S","Farm-16"
"Ind-17","start","S","Farm-17"
"Ind-18","start","S","Farm-18"
"Ind-19","start","S","Farm-19"
"Ind-20","start","S","Farm-20"
"Ind-21","start","S","Farm-21"
"Ind-22","start","S","Farm-22"
"Ind-23","start","S","Farm-23"
"Ind-24","start","S","Farm-24"
"Ind-25","start","S","Farm-25"
"Ind-26","start","S","Farm-26"
"Ind-27","start","S","Farm-27"
"Ind-28","start","S","Farm-28"
"Ind-29","start","S","Farm-29"
"Ind-30","start","S","Farm-30"
"Ind-31","start","S","Farm-31"
"Ind-32","start","S","Farm-32"
"Ind-33","start","S","Farm-33"
"Ind-34","start","S","Farm-34"
"Ind-35","start","S","Farm-35"
"Ind-36","start","S","Farm-36"
"Ind-37","start","S","Farm-37"
"Ind-38","start","S","Farm-38"
"Ind-39","start","S","Farm-39"
"Ind-40","start","S","Farm-40"
"Ind-41","start","S","Farm-41"
"Ind-42","start","S","Farm-42"
"Ind-43","start","S","Farm-43"
"Ind-44","start","S","Farm-44"
"Ind-45","start","S","Farm-45"
"Ind-46","start","S","Farm-46"
"Ind-47","start","S","Farm-47"
"Ind-48","start","S","Farm-48"
"Ind-49","start","S","Farm-49"
"Ind-50","start","S","Farm-50"
"Ind-51","start","S","Farm-51"
"Ind-52","start","S","Farm-52"
"Ind-53","start","S","Farm-53"
"Ind-54","start","S","Farm-54"
"Ind-55","start","S","Farm-55"
"Ind-56","start","S","Farm-56"
"Ind-57","start","S","Farm-57"
"Ind-58","start","S","Farm-58"
"Ind-59","start","S","Farm-59"
"Ind-60","start","S","Farm-60"
"Ind-61","start","S","Farm-61"
"Ind-62","start","S","Farm-62"
"Ind-63","start","S","Farm-63"
"Ind-64","start","S","Farm-64"
