"ID","t"
"Ind1",190
"Ind2",190
"Ind3",190
"Ind4",190
"Ind5",190
"Ind6",190
"Ind7",190
"Ind8",190
"Ind9",190
"Ind10",190
"Ind11",190
"Ind12",190
"Ind13",190
"Ind14",190
"Ind15",190
"Ind16",190
"Ind17",190
"Ind18",190
"Ind19",190
"Ind20",190
"Ind21",190
"Ind22",190
"Ind23",190
"Ind24",190
"Ind25",190
"Ind26",190
"Ind27",190
"Ind28",190
"Ind29",190
"Ind30",190
"Ind31",190
"Ind32",190
"Ind33",190
"Ind34",190
"Ind35",190
"Ind36",190
"Ind37",190
"Ind38",190
"Ind39",190
"Ind40",190
"Ind41",190
"Ind42",190
"Ind43",190
"Ind44",190
"Ind45",190
"Ind46",190
"Ind47",190
"Ind48",190
"Ind49",190
"Ind50",190
"Ind51",190
"Ind52",190
"Ind53",190
"Ind54",190
"Ind55",190
"Ind56",190
"Ind57",190
"Ind58",190
"Ind59",190
"Ind60",190
"Ind61",190
"Ind62",190
"Ind63",190
"Ind64",190
"Ind65",190
"Ind66",190
"Ind67",190
"Ind68",190
"Ind69",190
"Ind70",190
"Ind71",190
"Ind72",190
"Ind73",190
"Ind74",190
"Ind75",190
"Ind76",190
"Ind77",190
"Ind78",190
"Ind79",190
"Ind80",190
"Ind81",190
"Ind82",190
"Ind83",190
"Ind84",190
"Ind85",190
"Ind86",190
"Ind87",190
"Ind88",190
"Ind89",190
"Ind90",190
"Ind91",190
"Ind92",190
"Ind93",190
"Ind94",190
"Ind95",190
"Ind96",190
"Ind97",190
"Ind98",190
"Ind99",190
"Ind100",190
"Ind101",190
"Ind102",190
"Ind103",190
"Ind104",190
"Ind105",190
"Ind106",190
"Ind107",190
"Ind108",190
"Ind109",190
"Ind110",190
"Ind111",190
"Ind112",190
"Ind113",190
"Ind114",190
"Ind115",190
"Ind116",190
"Ind117",190
"Ind118",190
"Ind119",190
"Ind120",190
"Ind121",190
"Ind122",190
"Ind123",190
"Ind124",190
"Ind125",190
"Ind126",190
"Ind127",190
"Ind128",190
"Ind129",190
"Ind130",190
"Ind131",190
"Ind132",190
"Ind133",190
"Ind134",190
"Ind135",190
"Ind136",190
"Ind137",190
"Ind138",190
"Ind139",190
"Ind140",190
"Ind141",190
"Ind142",190
"Ind143",190
"Ind144",190
"Ind145",190
"Ind146",190
"Ind147",190
"Ind148",190
"Ind149",190
"Ind150",190
"Ind151",190
"Ind152",190
"Ind153",190
"Ind154",190
"Ind155",190
"Ind156",190
"Ind157",190
"Ind158",190
"Ind159",190
"Ind160",190
"Ind161",190
"Ind162",190
"Ind163",190
"Ind164",190
"Ind165",190
"Ind166",190
"Ind167",190
"Ind168",190
"Ind169",190
"Ind170",190
"Ind171",190
"Ind172",190
"Ind173",190
"Ind174",190
"Ind175",190
"Ind176",190
"Ind177",190
"Ind178",190
"Ind179",190
"Ind180",190
"Ind181",190
"Ind182",190
"Ind183",190
"Ind184",190
"Ind185",190
"Ind186",190
"Ind187",190
"Ind188",190
"Ind189",190
"Ind190",190
"Ind191",190
"Ind192",190
"Ind193",190
"Ind194",190
"Ind195",190
"Ind196",190
"Ind197",190
"Ind198",190
"Ind199",190
"Ind200",190
"Ind201",190
"Ind202",190
"Ind203",190
"Ind204",190
"Ind205",190
